track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
FINAL BOSS,380VILV9jrUUVxKPHO0VSA,Ghengar,FINAL BOSS,0.355,0.92,1,-1.752,0,0.0988,0.000808,0.944,0.115,0.128,149.275
CLICK,0of4XBoLyjnbhTDgIRvQT5,Ghengar,CLICK,0.776,0.845,11,-4.62,1,0.233,0.0255,4.87e-06,0.887,0.485,140.037
COUNT DANKULA,7ID4QYCw8tcvAx0g4SH2aw,Ghengar,COUNT DANKULA,0.559,0.894,4,-2.726,0,0.343,0.0442,0.0138,0.0598,0.241,140.262
Heretic,5e1JJe8VPjbnkvFE44rjDP,Ghengar,Heretic,0.571,0.93,2,-3.83,1,0.306,0.0025,0.254,0.123,0.26,135.147
This Song Scares People,6sbeSaO962MMexWTHshpH0,Ghengar,This Song Scares People,0.594,0.975,1,-1.36,1,0.323,0.00313,0.0104,0.363,0.132,74.998
EXILE,48nZ2uUHhPBIJolojiRiid,Ghengar,NECROMANCER EP,0.698,0.904,6,-2.658,1,0.112,0.000542,0.887,0.71,0.165,140.023
POISON,4qaMHDxm6bHQHTJMSRzGqx,Ghengar,NECROMANCER EP,0.391,0.976,2,-3.896,1,0.287,0.0334,0.579,0.35,0.214,149.988
BAJA BLASTER,508qHPYB5x0CTw2F6oILwe,Ghengar,BAJA BLASTER,0.68,0.802,1,-1.235,1,0.0823,0.0106,0.00515,0.143,0.315,144.972
HASH SLINGING SLASHER,5JJ0nZ7zlBbHIKMAhxH6Wb,Ghengar,SACRIFICE EP,0.36,0.982,10,-2.644,0,0.363,0.00264,0.00128,0.888,0.404,138.213
PSYCHO,0x66nbDEEZtWx4qJdILucR,Ghengar,PSYCHO,0.41,0.985,2,-1.537,1,0.506,0.0161,0.000238,0.422,0.171,144.962
MALEVOLENT SHRINE,4XwweI2dzvYeTSX9IWgrlw,Ghengar,ADHD EP,0.83,0.884,11,-4.858,1,0.257,0.00268,0.0411,0.598,0.0843,143.031
NECROMANCER,4q6M0ocvDwZp0kbnWtYLaF,Ghengar,NECROMANCER EP,0.603,0.905,2,-3.151,1,0.216,0.0154,0.38,0.105,0.135,72.428
PUSH EM,5x4LUgrOxhstYk5557PO3t,Ghengar,PUSH EM,0.499,0.992,1,-1.446,0,0.11,0.000855,0.761,0.228,0.175,150.028
HELP MEEEE!!!,4G9fu12liktH8F1RArNvVz,Ghengar,HELP MEEEE!!!,0.68,0.957,11,-0.182,1,0.198,0.0184,0.284,0.747,0.477,145.085
ADHD,1XDcdMcAAq5qpvydu69X7D,Ghengar,ADHD,0.816,0.95,1,-0.202,0,0.189,0.0339,3.41e-05,0.319,0.068,143.033
THE OG,0pUp5f9v9g8X4JpOw1QCzb,Ghengar,THE OG,0.427,0.908,9,-5.571,1,0.309,0.0037,0.0528,0.137,0.18,152.219
DISRESPECT,6LC3yLPEqd506TCEivfQ7d,Ghengar,NECROMANCER EP,0.489,0.988,3,-0.766,0,0.395,0.00299,0.494,0.347,0.0598,140.051
CLICK - VIP,61hsHcoPqZD9P9fgsfHlF9,Ghengar,CLICK (VIP),0.767,0.882,1,-1.908,1,0.414,0.0477,0.0,0.482,0.692,139.957
Octopussy,4YbSwTXNCBatatfo4Khspt,Ghengar,The OG EP,0.519,0.891,0,-3.951,1,0.0881,0.0376,0.00147,0.104,0.0488,94.928
WAR,2kUq2iP9VsoIyH48plCbE8,Ghengar,SACRIFICE EP,0.274,0.913,8,-3.126,1,0.113,0.00025,2.26e-05,0.54,0.0781,169.684
SACRIFICE,0pKcMcGNeCVQWRPFlEq8Vc,Ghengar,SACRIFICE EP,0.42,0.987,2,-2.094,1,0.225,0.00191,0.546,0.419,0.219,139.224
BRAIN WASHER,7IBrxlxuzvvyOqGwCx3kmQ,Ghengar,NECROMANCER EP,0.568,0.99,5,-2.632,0,0.431,0.0395,0.000968,0.773,0.388,139.884
INSIDE,2FTILVTqEAq0NMonGTKYst,Ghengar,SACRIFICE EP,0.41,0.921,1,-3.704,1,0.325,0.0473,0.28,0.66,0.152,75.008
Blackout,42B3BJ3VYwTKjTbdhpkiph,Ghengar,Blackout,0.429,0.994,9,-0.93,1,0.406,0.11,0.0737,0.704,0.15,145.139
