track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
XOXO,5E8a5pF0xAZOGEoLIFKzT5,Gravagerz,XOXO,0.679,0.784,11,-5.435,1,0.133,0.0873,2.42e-05,0.117,0.293,140.071
Help Me Lose My Mind - Slowed Down,6eLaP1VW9Moy2AHijWfhxl,Gravagerz,Help Me Lose My Mind (Slowed Down),0.71,0.495,5,-10.315,0,0.0523,0.835,0.0312,0.137,0.103,120.062
Help Me Lose My Mind (Sped Up),0CyprQxMwhiRfOz0vgowVr,Gravagerz,Help Me Lose My Mind (Sped Up),0.659,0.507,9,-9.004,0,0.0877,0.837,0.405,0.118,0.0791,145.067
Chihiro - Ice Version,5HlctFqbvJLSHM07UjjUqq,Gravagerz,Chihiro (The Elements),0.793,0.447,8,-13.657,1,0.138,0.736,0.51,0.156,0.04,127.045
Pool - Gravagerz & FOREIGN MERCY VIP,0MLiWT2YgEoKfBK95fNNW5,Gravagerz,Pool (Gravagerz & FOREIGN MERCY VIP),0.512,0.913,11,-3.158,0,0.0627,0.147,0.103,0.112,0.101,86.955
Tough - Gravagerz Remix,3HvnYVNNNJ1YC4zRNi1Aox,Gravagerz,Tough (Gravagerz Remix),0.68,0.631,8,-9.289,0,0.0522,0.563,0.358,0.113,0.161,144.985
Cheap Game,0zoAqTTdGbYswEEt33fIl8,Gravagerz,Life of The Party,0.618,0.6,5,-9.071,0,0.106,0.337,0.00494,0.109,0.273,100.04
Carry Out,6CWmdsqVUWj5ziwZZcsBVT,Gravagerz,Carry Out,0.794,0.7,1,-11.066,0,0.108,0.0706,0.0,0.269,0.221,123.057
Pool - Gravagerz Version,7KhT1uCXFocwzoDXwdNtYO,Gravagerz,Pool (Gravagerz Version),0.693,0.735,2,-7.486,1,0.0705,0.419,0.137,0.306,0.434,144.946
take a deep breath,6RNkUkopEwuX1MirnyNgmN,Gravagerz,each day is different,0.655,0.545,5,-9.898,0,0.0425,0.781,0.504,0.116,0.439,80.006
Starz - DnB Remix,0es6ylDQTvD17R2PFb04yS,Gravagerz,Starz (DnB Remix),0.536,0.68,0,-8.958,1,0.0614,0.283,1.16e-06,0.1,0.21,79.899
Pose,1nzcvHYkZvRv2vmqkvFyq1,Gravagerz,Life of The Party,0.373,0.316,8,-15.194,0,0.0859,0.765,0.392,0.106,0.288,80.602
Chihiro - Fire Version,3o4v5PqQVu3dqw4ZXuxOo6,Gravagerz,Chihiro (The Elements),0.696,0.497,0,-14.069,1,0.168,0.735,0.758,0.125,0.0393,151.057
Gas Pedal,6kml7wSxKzLHun5cmno9Vf,Gravagerz,Gas Pedal,0.714,0.93,1,-6.601,1,0.194,0.0173,0.000647,0.299,0.182,125.09
Help Me Lose My Mind,0yKlFaSKtA5wdF8pWgyoo1,Gravagerz,Help Me Lose My Mind,0.678,0.553,7,-9.38,0,0.071,0.787,0.228,0.302,0.056,136.045
Chihiro,1kDqGWSeR27gWaMouyXD0C,Gravagerz,Chihiro,0.708,0.512,10,-13.235,1,0.0908,0.726,0.596,0.127,0.0432,140.014
Look Back at It,48UrMtsXCIMQbP7gZcbcOZ,Gravagerz,Look Back at It,0.828,0.863,6,-4.682,1,0.0829,0.178,0.000181,0.367,0.57,110.071
Life of The Party,6KhIHIaYOhPii4OAsrtybq,Gravagerz,Life of The Party,0.677,0.232,10,-15.775,0,0.0414,0.777,0.0665,0.202,0.156,130.054
The Best Part of Life,2vLS1KIeGBhXr3xEpGha5k,Gravagerz,The Best Part of Life,0.677,0.859,1,-8.629,0,0.0603,0.028,0.104,0.0957,0.418,124.994
The Fashion,4IAtGvmZkj0TcO9ItKMQ8l,Gravagerz,The Fashion,0.689,0.299,7,-17.036,0,0.315,0.783,0.0158,0.197,0.172,134.14
Gelato #33 - Jersey Club Remix,41khERVYDM468rRbDRu7fW,Gravagerz,Gelato #33 (Jersey Club Remix),0.72,0.592,1,-10.393,1,0.0412,0.0909,0.139,0.0889,0.409,145.978
Thinking About You,01IPI6TjP7g9gK0kMu0K3u,Gravagerz,Thinking About You,0.74,0.758,7,-4.554,0,0.124,0.591,2.86e-05,0.278,0.529,122.117
Change,4MQdTPomYUguanI4IGu9y5,Gravagerz,Life of The Party,0.669,0.267,4,-12.97,1,0.168,0.312,0.66,0.164,0.256,141.356
all we got is right now,6fSpnrIvGeWcHpETwOKU1A,Gravagerz,all we got is right now,0.601,0.686,6,-10.764,1,0.0697,0.351,0.0239,0.183,0.153,85.034
No Saviours,1tkS5WMi3dYto6Fe3tSfep,Gravagerz,Life of The Party,0.54,0.485,2,-10.879,0,0.0694,0.736,0.000709,0.41,0.298,127.868
Uber,1g8TRyM8DyssNPWf6udO4R,Gravagerz,Life of The Party,0.556,0.402,4,-13.373,0,0.203,0.4,6.6e-06,0.783,0.141,139.913
Help Me Lose My Mind - Sped Up,3Ou2WC3gUL8wKeliztowbF,Gravagerz,Help Me Lose My Mind (Slowed Down),0.659,0.507,9,-9.004,0,0.0879,0.837,0.405,0.118,0.083,145.067
No Sleep - Gravagerz Remix,4agFapCWF0j2I56gEEzFkj,Gravagerz,No Sleep (Gravagerz Remix),0.596,0.853,10,-5.042,0,0.267,0.393,1.83e-05,0.119,0.59,160.024
Better Now - Gravagerz Remix,20CJdRltkpD1CW40kqsUqw,Gravagerz,"Better Now (The Remixes, Pt. 1)",0.636,0.83,10,-4.861,0,0.218,0.108,1.45e-05,0.17,0.231,123.967
Solace,541NBYfyMGFMBgvgSsFNVD,Gravagerz,Life of The Party,0.267,0.352,1,-12.095,0,0.0348,0.706,5.84e-05,0.111,0.281,81.036
Grava's Concerto,5PSrpDB61tYkVijGX82wHg,Gravagerz,Life of The Party,0.808,0.297,6,-10.935,1,0.0687,0.436,0.64,0.102,0.0999,104.969
white moscato,5o2n3OX8MvmulrK4r5CwnN,Gravagerz,white moscato,0.564,0.586,1,-9.451,0,0.058,0.797,0.01,0.107,0.276,82.573
