track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
WARDOGZ,6BSPfADBMriOIJmiNnc6mC,GRAVEDGR,6 FEET UNDER,0.619,0.899,4,-3.914,0,0.397,0.0689,0.0,0.106,0.507,150.186
RAMPAGE,2QanQ4WoQAb8zwOzweQihV,GRAVEDGR,6 FEET UNDER,0.606,0.866,11,-3.044,1,0.365,0.00693,4.88e-05,0.345,0.368,75.135
LIKE A SLUT,6UD0bSbfyPo10AzpY3YLpI,GRAVEDGR,AFTERLIFE,0.737,0.999,2,-3.39,1,0.0916,0.000311,0.621,0.0636,0.149,150.03
KAMIKAZE,3Cftq8i56tpPh8mdSmiOF8,GRAVEDGR,6 FEET UNDER,0.744,0.801,8,-5.161,1,0.0841,0.0147,0.0227,0.118,0.198,140.07
FVCK YOU!,5UilnuWucZK5Px6RWiuGtG,GRAVEDGR,WALKING THROUGH MY CEMETERY VOL. V,0.668,0.985,7,-3.368,0,0.114,0.00219,0.359,0.152,0.428,155.032
So Alive (VIP),4ujGSBsaRjYUybB1dMX0MK,GRAVEDGR,So Alive (VIP),0.612,0.996,0,-1.193,0,0.134,0.000426,0.576,0.102,0.131,154.979
KAMIKAZE - VIP,5iE9g4oeVjeNf7yGtNKQMO,GRAVEDGR,6 FEET UNDER (Remixes),0.335,0.98,8,-0.931,1,0.0646,0.00196,0.18,0.511,0.194,95.11
6 FEET UNDER,3MoUZEDkD3ev41wp1pM9PW,GRAVEDGR,6 FEET UNDER,0.462,0.831,11,-6.577,1,0.262,0.0673,0.0,0.127,0.378,155.102
I AM NOT A WHORE,5mrLd36BdYIi0oIigq7u1D,GRAVEDGR,I AM NOT A WHORE,0.735,0.973,10,-1.551,1,0.128,0.00265,0.68,0.101,0.188,155.0
See You In My Dreams,7i9xnIjB6orpWk9wUmuskU,GRAVEDGR,See You In My Dreams & Not In My League,0.624,0.973,1,-5.493,1,0.0907,0.00381,0.401,0.0676,0.146,159.972
