track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Padam Padam - HAAi Remix,0hnYC81Psn8poERBlfkIFv,HAAi,Padam Padam (HAAi Remix),0.721,0.806,0,-6.12,1,0.0466,0.0036,0.311,0.159,0.293,137.989
Be Good,1W9d86MctMM8Hh76tWoGlS,HAAi,Be Good,0.495,0.494,0,-10.541,1,0.0338,0.00314,0.577,0.116,0.286,101.21
Always Ascending,4CSj193EuM6fwM7n6tO15G,HAAi,DJ-Kicks: HAAi,0.453,0.867,9,-8.991,1,0.102,0.0221,0.618,0.0796,0.0395,140.063
Lifetime - HAAi’s Green Lamborghini Romix,7czIjs2dvjjmGEQ8k4FJGl,HAAi,Lifetime Remixes,0.525,0.968,1,-7.056,1,0.0539,0.00325,0.582,0.262,0.601,130.01
Good Ol'Fashioned Rugs - Mixed,5WwM1mmgigcKxB4yCtghUo,HAAi,DJ-Kicks: Jayda G,0.631,0.823,0,-9.561,1,0.117,0.000315,0.944,0.24,0.193,126.736
Vale - HAAi’s Requiem for a Remix [Edit],3nyiXULJgoWHEFDNJiSj4M,HAAi,Kingdoms In Colour Remixed,0.53,0.808,9,-9.622,0,0.0364,0.000203,0.885,0.134,0.189,130.015
Vale - HAAi’s Requiem for a Remix,7bbCIgoxp4rkrY2gR3ACDg,HAAi,Vale (HAAi’s Requiem for a Remix),0.554,0.769,4,-11.258,0,0.0421,0.000223,0.901,0.093,0.13,130.034
Press Enter To Exit - HAAi Remix,3ZKfi1TNisSkbqCp7D2QDX,HAAi,V - Remixed,0.615,0.823,0,-6.222,1,0.0297,5.46e-05,0.901,0.0677,0.428,100.011
KEEP MOVING - HAAi Remix,3IyBP0KTL48nekOZEseT2a,HAAi,KEEP MOVING (HAAi Remix),0.601,0.978,10,-8.801,0,0.0726,0.000113,0.886,0.072,0.267,133.004
Growing Up With Muscle Cars,74wJHOOcYcZwUqLCHiEe4P,HAAi,Motorik Voodoo Bush Doof Musik,0.438,0.656,1,-10.421,1,0.0478,0.0282,0.974,0.309,0.0292,119.993
Scalar - HAAi Remix,0iGooa2YKPoK5lwTLzJIcS,HAAi,Yearning for the Infinite Remixed,0.438,0.6,1,-9.963,1,0.0389,0.009,0.703,0.112,0.159,130.999
ZiGGY (DJ-Kicks),1ustsXRV9SzZMuFnozNE6e,HAAi,ZiGGY (DJ-Kicks),0.636,0.889,0,-7.609,1,0.0397,0.0165,0.848,0.302,0.0396,139.985
Risk It - HAAi Remix,3N6nvgMfOplQrYOXdDLl6u,HAAi,Risk It (HAAi Remix),0.616,0.744,10,-9.222,0,0.032,0.000189,0.091,0.0556,0.524,135.002
SHiNE - Mixed,384369N0n8VtEBnxuqlF4V,HAAi,DJ-Kicks: HAAi,0.599,0.805,1,-9.463,1,0.0313,0.000243,0.837,0.25,0.0908,142.877
Escalate - HAAi Extended Mix,4KcaaJY4hXlDelfEHjosga,HAAi,Begin Again (Remixed),0.51,0.904,8,-6.197,1,0.0517,0.00253,0.128,0.18,0.197,135.013
Intro - Mixed,5jP0FQciLC30zEjEeHC5gH,HAAi,DJ-Kicks: HAAi,0.39,0.574,0,-15.796,0,0.0447,0.143,0.125,0.117,0.0621,140.04
DaDaDa,2SCUyLgnshHfHkn6yGMr7R,HAAi,DaDaDa,0.798,0.502,1,-11.246,0,0.0695,0.00117,0.892,0.0802,0.0776,119.968
Drumting,6c1ZMPDHue1nHrWiTJGao5,HAAi,Volume One,0.669,0.895,8,-9.061,1,0.0321,0.0037,0.743,0.666,0.419,110.023
ZiGGY (DJ-Kicks) - Mixed,2xp0pfEB3rXZXnmnaDPUBR,HAAi,DJ-Kicks: HAAi,0.641,0.832,0,-10.894,1,0.0392,0.0113,0.856,0.0892,0.0396,139.998
LIVE-O - Haai Remix Extended,1caNl8YJh204jQHwOT2u9b,HAAi,LIVE-O (HAAi remix),0.734,0.736,10,-8.787,0,0.156,0.162,0.0338,0.31,0.543,141.009
The Darkness That You Fear - HAAi Remix,5QBCTHGf5DKB1NeDf7uWuk,HAAi,The Darkness That You Fear (HAAi Remix),0.584,0.773,9,-8.239,1,0.0463,0.00347,0.115,0.707,0.166,130.014
Escalate - HAAi Remix,0RGn6Z9bK2EJnPxQZYWMT3,HAAi,Begin Again (Remixed),0.529,0.974,8,-4.656,1,0.055,0.000421,0.947,0.191,0.535,135.0
