track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
SINSATION,4DXFocUaBUzIfrfDOu5h4b,Hard Driver,SINSATION,0.318,0.948,1,-3.586,1,0.142,0.00947,0.00108,0.53,0.146,154.737
Down The Rabbit Hole,3F3roaeHwqNcTH4wzM1rJK,Hard Driver,SINSATION,0.486,0.992,11,-2.001,0,0.108,0.00604,0.0155,0.347,0.557,157.057
AM-PM (Gluttony),0wVfDOBgmgWYOy8PsAGxZ9,Hard Driver,SINSATION,0.474,0.981,7,-2.909,0,0.0823,0.036,0.000179,0.101,0.34,156.938
Closer & Closer (Lust),5Hh24XMcY7aKF7Xb8axAmx,Hard Driver,SINSATION,0.457,0.97,1,-2.617,0,0.197,0.00397,0.000347,0.183,0.125,158.006
Last Night - Album Edit,6p0VzK5IQvmvvQ1iyQ3Afd,Hard Driver,SINSATION,0.422,0.963,8,-2.861,0,0.298,0.0252,5e-05,0.0861,0.258,155.258
Fire To The Fuse (The Gathering 2024 OST),55kYKSrYZQ2iCK6mVdGhIz,Hard Driver,SINSATION,0.472,0.991,10,-2.602,0,0.351,0.00485,0.0667,0.416,0.215,156.989
I'm Still Standing,3I8RGaFmrWQPZ7RhY45yAw,Hard Driver,SINSATION,0.345,0.959,1,-2.594,0,0.0653,0.00261,0.00108,0.124,0.331,155.069
The End (Greed),1U8JJEcJ9tN55fWYcXlVMl,Hard Driver,SINSATION,0.354,0.945,1,-3.31,0,0.113,0.00529,0.000106,0.304,0.446,157.105
Liberation,3uEM14FJ6m0X8xNzVw48s8,Hard Driver,SINSATION,0.441,0.923,5,-4.795,0,0.114,0.00131,0.000144,0.134,0.122,154.926
Running Wild Forever - The Qontinent Anthem 2024,0iUK7pkt52W4dwEmzGg0eK,Hard Driver,SINSATION,0.349,0.99,9,-2.07,0,0.238,0.000762,0.00123,0.142,0.108,157.073
Backstabbers (Envy),6EADUF8l7wDKjX8pKtg0qN,Hard Driver,SINSATION,0.448,0.993,8,-1.708,0,0.172,0.0125,0.00365,0.262,0.398,156.968
Wide Awake,75C0ukstUjK1MfaEYdKeMr,Hard Driver,SINSATION,0.448,0.967,0,-2.482,0,0.0732,0.00893,0.000107,0.0595,0.373,157.083
Price We Pay (Pride),492XqyX4qX5APUh94Pwpco,Hard Driver,SINSATION,0.177,0.953,0,-1.839,0,0.344,0.0389,2.03e-05,0.249,0.159,156.968
No Rest For The Wicked - Krowdexx Remix,6Af9LOJ7C4fpJTwXngxN3M,Hard Driver,SINSATION,0.51,0.9,9,-3.936,0,0.15,0.00148,1.51e-05,0.0869,0.238,159.984
Delirium (Sloth),7KjgrtDErMQ7YlzqC5WPNy,Hard Driver,SINSATION,0.446,0.975,1,-0.546,1,0.186,0.0138,0.0317,0.137,0.136,159.818
Animals - Cryex Remix,0SPlxuzMMLe6HSBfIdA7nn,Hard Driver,SINSATION,0.499,0.992,11,-0.941,1,0.442,0.017,2.36e-05,0.603,0.0995,157.864
Cosmic Chaos,2Fs106I2zO1qnUZYhMyaKY,Hard Driver,SINSATION,0.404,0.982,1,-0.874,1,0.4,0.0107,0.000205,0.232,0.157,160.054
Anger Is My Acid (Wrath),6AZp6tfWvvHTWKkQP3BsH8,Hard Driver,SINSATION,0.322,0.954,9,-1.689,0,0.217,0.0185,0.000353,0.417,0.0701,159.997
XTRM1N8 - Fraw Remix,5NJFMuFP2UI857ZuZHi6Ry,Hard Driver,SINSATION,0.5,0.993,1,-0.878,1,0.121,0.00199,0.00559,0.746,0.482,160.061
Enter The Void (Qlimax 2023 Anthem) - Cinematic Version,0mJ6Oa9sev4w7hrK9QgLDi,Hard Driver,SINSATION,0.429,0.511,9,-11.208,1,0.0341,0.542,0.932,0.0918,0.035,120.012
