track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Stephanie - HNTR Remix,3flWoQdYrWyqUsHbURIJby,HNTR,Stephanie (HNTR Remix),0.765,0.948,6,-4.048,0,0.0436,0.00701,0.00651,0.113,0.743,134.011
gImmE gImmE,4z9QQWXBmY9ARRmqWeAbjX,HNTR,gImmE gImmE,0.591,0.971,0,-5.815,1,0.074,0.00074,0.143,0.0673,0.209,133.974
YES B!TCH,57Tm3QFBZuPMlF0CbsYVrD,HNTR,YES B!TCH,0.772,0.845,11,-3.839,1,0.138,0.000527,0.000404,0.29,0.298,131.033
Fall In Love Again,6lZbQiuqgiXvF9PzvVKZB9,HNTR,Voices (Expanded Edition),0.687,0.829,9,-4.134,1,0.0324,0.00275,0.143,0.0741,0.67,130.031
No Brake$,2q5egBQ2XINmx8j5uipF4t,HNTR,No Brake$,0.725,0.954,11,-5.945,0,0.0512,0.00141,0.506,0.102,0.553,129.989
Neverland (From Japan) - HNTR Remix,46LYR4d141ZLzwM7h3k30y,HNTR,The End Of Genesys (Deluxe),0.698,0.954,2,-4.482,1,0.0313,0.0039,0.772,0.0908,0.418,132.01
The Odyssey,76UeOPoR05GbXHBLxOwkk6,HNTR,Mind Games,0.777,0.896,5,-6.655,0,0.0423,0.0347,0.844,0.156,0.24,123.991
Hypnotic (feat. Kyozo),1KdVxthsHJ2J2jf3EPdtVi,HNTR,Hypnotic (feat. Kyozo),0.726,0.956,10,-6.04,1,0.0561,0.000224,0.53,0.201,0.513,134.003
Aftertaste,5Cf2pyHgpISB5OyNBEPrmc,HNTR,Aftertaste,0.624,0.845,1,-6.257,1,0.0556,0.0806,0.00591,0.632,0.0815,126.039
Be There - HNTR Remix,7rhrvWn9wPPADZckIWGBkE,HNTR,"Human Learning (Remixes, Pt. 1)",0.669,0.879,4,-7.846,1,0.043,0.0201,0.693,0.0875,0.19,126.006
Waiting Up (Reprise),0lGPTe6tKIH2leogs5I4CS,HNTR,Waiting Up (Reprise),0.821,0.845,9,-6.995,1,0.0525,0.00148,0.838,0.062,0.314,128.015
Oh Please,7l22c5ZACFSzIV5Lwomq9c,HNTR,Oh Please,0.716,0.883,7,-7.623,1,0.0436,0.00325,0.903,0.111,0.0387,126.013
Mind Games,30lKPAZzMLt4VSVyyR3uYU,HNTR,Mind Games,0.737,0.92,2,-6.196,1,0.0646,0.011,0.544,0.27,0.512,127.972
IN2,0plBifQkXyAOKDK0EKiOSZ,HNTR,IN2,0.648,0.886,1,-5.444,0,0.0367,0.013,0.264,0.0861,0.0389,126.01
Love Loss,4K7MW1hjO0xQtf8eLDNWTA,HNTR,Love Loss,0.706,0.949,1,-6.883,1,0.139,0.0308,0.794,0.091,0.298,126.001
Away Too Long,0mUg5pnPeoPxiKKAyN39zL,HNTR,I Might Forgive I Dont Forget,0.692,0.726,6,-9.446,0,0.0518,0.0183,0.894,0.22,0.0599,128.004
Never Forever,6iYj8jgdcnlj5SIzHdU4Bo,HNTR,Never Forever EP,0.654,0.83,0,-4.046,0,0.0374,0.0397,0.887,0.203,0.0814,127.989
I Dont Forget,0NB81ULTKQJdYw1NPe26W7,HNTR,I Might Forgive I Dont Forget,0.69,0.891,2,-8.748,1,0.0358,0.0139,0.185,0.0805,0.0805,125.996
My Favourite Dream,2UtkFuF09Bu0y7UIZnIx3I,HNTR,My Favourite Dream,0.721,0.881,8,-8.427,1,0.0486,0.0701,0.58,0.0615,0.0372,128.016
Inception,2HCfrjL6q4FWFdgbDqJMRK,HNTR,Mind Games,0.78,0.821,9,-5.678,1,0.0324,0.00461,0.916,0.0986,0.398,126.002
The First Time,2Ci3wTR2Ta11zkNhAM79kh,HNTR,I Might Forgive I Dont Forget,0.74,0.811,2,-8.519,1,0.0398,0.000204,0.85,0.673,0.0409,128.011
Floating,7M4n2XgkZjBMnTaZgRolM9,HNTR,Floating,0.725,0.932,6,-8.845,1,0.048,0.0183,0.868,0.677,0.13,126.009
I Dont Forget - Extended Mix,4Mh6c349vlDIvodtcJTqWt,HNTR,I Might Forgive I Dont Forget,0.707,0.885,2,-9.049,1,0.0368,0.00591,0.14,0.102,0.0534,125.991
Be There (RR040) - HNTR Remix,3xYrRaRIg9TLffaHElWLDX,HNTR,The Anjunabeats Rising Residency with Laura van Dam,0.635,0.731,6,-12.22,0,0.0438,0.094,0.693,0.2,0.215,124.99
Infinity,6nE5UCpYbxwHOINFoYpPOv,HNTR,Mind Games,0.658,0.758,5,-8.851,1,0.0621,0.00536,0.791,0.168,0.0419,128.001
You're Never Home,0kbMPvhSPStrDPX3DuNt2n,HNTR,Never Forever EP,0.693,0.746,2,-8.474,0,0.0419,0.000789,0.76,0.0767,0.239,126.01
The Odyssey - Extended Mix,1Fv26JjB2E4WfvyLVOuxFH,HNTR,Mind Games,0.851,0.894,5,-6.547,0,0.0455,0.0102,0.888,0.07,0.35,123.991
