track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
XXX,6rbx24ewWnr5EJAJEYDUmK,Holy Priest,XXX,0.597,0.976,1,-4.882,0,0.0528,0.000181,0.5,0.107,0.165,154.952
F*CK THE POLICE,3aJEySm2QaO3JCYboBwqyW,Holy Priest,F*CK THE POLICE,0.53,0.963,7,-8.531,1,0.109,0.00124,0.536,0.112,0.12,155.027
Phone Breaker,1qaOyof81U0qwFCWIMVVpB,Holy Priest,Shitty Kicks EP,0.48,0.928,11,-8.457,0,0.243,0.000468,0.412,0.526,0.125,159.991
Lost,7cwLJ72ZBKYJAl86HEOGRe,Holy Priest,Lost,0.689,0.878,11,-8.218,0,0.0591,0.00248,0.815,0.0698,0.126,137.988
DEVIL,5YZ61B6ojAKGBCynq3ajZb,Holy Priest,DEVIL,0.538,0.983,0,-7.285,1,0.134,0.000489,0.704,0.0622,0.081,155.007
Emergency Outbreak,55fHkxSEys1NwnamwxXJOx,Holy Priest,Emergency Outbreak,0.488,0.961,5,-7.29,0,0.0513,0.00506,0.735,0.309,0.155,145.004
Don't Give A FUCK,6QFARhOh73A2XWFj7WoFCm,Holy Priest,Shitty Kicks EP,0.615,0.982,11,-7.482,0,0.262,0.0012,0.629,0.131,0.0561,155.008
Agilator,4fp9DYlq6PQ1KeSVhwnk59,Holy Priest,Agilator,0.536,0.99,6,-5.744,0,0.0823,0.000396,0.769,0.0538,0.344,154.986
Motivation - Original Mix,2BklUdQRMt3A3ryBuT7sMT,Holy Priest,Motivation,0.732,0.957,1,-5.926,1,0.0574,0.000127,0.785,0.0904,0.658,154.978
Shitty Kicks,571uB9QxVSXQ22d5RIZ4QL,Holy Priest,Shitty Kicks EP,0.587,0.92,8,-6.86,1,0.43,0.00444,0.27,0.288,0.162,159.954
Bad Thoughts,2R7CPbBX9zRtzkp9tcAIXo,Holy Priest,Bad Thoughts,0.589,0.748,6,-5.352,0,0.168,0.261,0.00538,0.0612,0.264,155.001
Tres,0jI2TIEkxkiqakVUBxVyME,Holy Priest,Tres,0.725,0.971,11,-5.578,0,0.0917,0.00462,0.0873,0.113,0.125,140.025
Rave Penetrator - Original Mix,1sTx50pFcE9dz6T8XC25YC,Holy Priest,Rave Penetrator,0.682,0.942,8,-8.077,1,0.0815,0.000346,0.816,0.101,0.0604,145.003
Duo,2d5C4vqYIyBHfSeVy8zgXi,Holy Priest,Duo,0.846,0.675,7,-9.498,1,0.123,0.368,0.667,0.117,0.0712,137.003
New Shit,0pO7fLgUq5uQ9uxYxxs8LA,Holy Priest,New Shit,0.462,0.947,1,-5.687,1,0.445,0.00149,0.0111,0.123,0.146,160.05
Unus,7sC8O5Q3lrGngepFSv5iij,Holy Priest,Unus,0.506,0.855,6,-10.349,0,0.0408,0.000435,0.769,0.126,0.0392,130.0
Quattuor,3VnRBWSnrZzx58XcQpDEsN,Holy Priest,Quattuor,0.758,0.876,1,-10.009,1,0.0788,0.0427,0.849,0.372,0.196,135.035
2 Be High - Holy Priest Remix,5AasW9NXAJMfvun0XOLECt,Holy Priest,2 Be High (Holy Priest Remix),0.629,0.925,7,-5.596,1,0.332,0.000107,0.787,0.377,0.131,159.949
GO HARD,3fE4yPJSfjDK9OdFB0vDCX,Holy Priest,GO HARD,0.493,0.971,5,-0.513,0,0.0797,6.46e-05,0.049,0.302,0.195,159.995
Fuck This,3AF3nGA0feGjLByXNvvSKJ,Holy Priest,Fuck This,0.676,0.973,1,-6.344,1,0.0716,0.000284,0.744,0.121,0.072,151.996
Hit The Floor,5YNlE7p0YICNhoCohD5U4P,Holy Priest,Hit The Floor,0.599,0.993,11,-1.494,1,0.28,0.0894,0.00823,0.0654,0.182,159.915
Diamond Iris,4DgvGTK9OidLyMtUm9xtun,Holy Priest,Sensuality – Erotic Music 6,0.527,0.403,0,-10.591,1,0.0481,0.929,2.11e-06,0.468,0.259,119.838
Lively Mutants,34nfcguQDrswxC88vJt82U,Holy Priest,Bionic Hypnotic Music: Vol.3,0.371,0.226,2,-21.524,1,0.0488,0.867,0.897,0.111,0.249,114.59
Tremulous Women,47HDyl3OBfasVcqmcIamWG,Holy Priest,Ambient Light :Vol.4,0.649,0.422,6,-10.253,0,0.0374,0.203,0.771,0.104,0.0911,80.024
Fine Beatz,1HuLavxVaxSTKJciiYFjNY,Holy Priest,"Relax With Organic Music, Soundscapes and Hypnotic Patterns Vol.1",0.115,0.213,10,-17.209,0,0.0417,0.841,0.897,0.123,0.0343,71.377
Marching Computers,1a0vQLtKlcl2ST5SMci4Hh,Holy Priest,Music for the Greeks Goddesses: Athena,0.627,0.369,8,-22.744,1,0.043,0.00466,0.824,0.0887,0.757,159.975
Froody Teleprompters,1eOPeSgKtLNlL9Yuz9mnVV,Holy Priest,The Sounds of the Primordial Chaos: Vol.4,0.263,0.225,11,-21.523,0,0.0527,0.879,0.887,0.112,0.222,73.978
Europa experience,7wdwojd5PtlEH1sY5J0DUG,Holy Priest,Molecular Music Volume 6,0.673,0.608,2,-11.935,1,0.0375,0.00325,0.848,0.157,0.627,160.015
Black Mix,3aIsBz6jrYPCRT5oTlIaqS,Holy Priest,Astronomic sounds: Neptune,0.262,0.278,1,-23.507,1,0.0744,0.506,0.973,0.112,0.0349,76.783
Mad Googlers,66mzzvIhsyjq2A7aN4pY7l,Holy Priest,Music for the Greeks Goddesses: Aphrodites,0.475,0.476,8,-17.836,1,0.0435,0.972,0.91,0.119,0.486,106.972
