track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Deep End - Hybrid Minds Remix,45vPjSJ5NyIfBWIjilEhcy,Hybrid Minds,Deep End (Hybrid Minds Remix),0.313,0.8,11,-2.105,0,0.0463,0.106,3.33e-05,0.0973,0.132,87.997
Let Me Hold You,5soWKIkC6GnpZT99IatCYq,Hybrid Minds,Second Nature,0.456,0.722,8,-3.708,1,0.0455,0.378,0.0,0.0911,0.191,172.436
Let Me Hold You - Grafix Remix,6OcqU6LL9lAjxF2IdCLC6O,Hybrid Minds,Let Me Hold You (Grafix Remix),0.498,0.963,8,-3.725,1,0.0429,0.062,0.0676,0.12,0.297,173.048
Touch,1MjeCJXRMSaUMZ0KLdsQDn,Hybrid Minds,Touch,0.582,0.821,9,-4.303,1,0.0497,0.0355,0.117,0.083,0.0373,86.014
Delete Our Love,4JnimorZCaqxTjClLY2nGD,Hybrid Minds,Tides,0.556,0.922,11,-2.481,0,0.0522,0.0937,1.63e-06,0.111,0.253,174.02
Come Down,1QsYj5ILdwRstWgCP8LOH0,Hybrid Minds,Come Down,0.346,0.855,5,-2.459,1,0.0417,0.00609,0.00644,0.147,0.109,85.78
State Lines,0hI1a7BgvSGVoQkBcPbUjv,Hybrid Minds,State Lines,0.553,0.746,6,-3.637,0,0.0369,0.0458,0.00162,0.128,0.0731,86.949
Inside,6BkW2GQOQ85ZS2Sc2OGMWL,Hybrid Minds,Elements,0.396,0.769,8,-3.432,1,0.0365,0.00501,0.796,0.135,0.134,175.001
Stay,2nIixNuuV5eHCJydG5aYIB,Hybrid Minds,Tides,0.494,0.726,6,-3.798,0,0.0358,0.0506,0.142,0.112,0.0388,86.962
Tear Drops,2KVJEq0uhuKTqxpkb9srV6,Hybrid Minds,Tear Drops,0.459,0.924,11,-1.523,0,0.053,0.0929,0.252,0.117,0.346,173.912
Rescue Lights,1jbgBJQKDrbHONAdoaApDT,Hybrid Minds,Rescue Lights,0.561,0.851,2,-3.018,1,0.0353,0.0292,8.5e-06,0.326,0.262,87.017
Supernova,41scpcxZZ8riNgfmgSohGE,Hybrid Minds,Supernova,0.524,0.818,3,-2.034,0,0.0353,0.0133,0.138,0.129,0.293,174.001
Lights,4frxBwtRANvjsmv5cSTXeY,Hybrid Minds,Lights,0.381,0.664,7,-4.003,0,0.0449,0.182,7.72e-06,0.0923,0.315,113.951
Blame You (feat. Dylan),1OO7bKqN3XRDb0W6B3wM6i,Hybrid Minds,Reflections,0.571,0.809,5,-3.237,0,0.034,0.016,0.00497,0.109,0.0827,87.05
Cinnamon - Hybrid Minds Remix,7uBZSQP9x6kbaRgpK1Q2aw,Hybrid Minds,Cinnamon (Hybrid Minds Remix),0.378,0.917,1,-2.479,0,0.0412,0.0164,0.00917,0.0791,0.0798,84.967
Lonely Love (feat. Ashley Singh),7kUEIhefUtTQjKjTSC267y,Hybrid Minds,Lonely Love (feat. Ashley Singh),0.527,0.916,10,-2.378,1,0.0412,0.152,0.00197,0.115,0.18,87.04
Solitude,487Ump1JOYK3wSqB6KIOUd,Hybrid Minds,Solitude - UKF Drum & Bass 2017,0.574,0.885,11,-1.968,1,0.0368,0.0124,0.00583,0.109,0.0747,86.009
Meant to Be,65Ug1U9PK5Eqm5fzmJcXaZ,Hybrid Minds,Mountains,0.491,0.76,1,-4.009,1,0.0409,0.00281,0.491,0.121,0.0334,87.481
Fingerprints,79XwvTsooouG6DjyyIXNoe,Hybrid Minds,Tides,0.53,0.684,7,-3.88,0,0.0318,0.0196,0.000812,0.0914,0.0393,86.952
In Your Arms,2jQPk2W0aLux3bINeE0aJV,Hybrid Minds,In Your Arms [UKF10],0.543,0.848,9,-2.913,1,0.0419,0.158,0.0112,0.0762,0.0626,87.006
