track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Daydream,0WsROU8CJrMWBukK5IMs4y,I Hate Models,Warehouse Memories,0.431,0.916,11,-8.012,0,0.0602,9.98e-05,0.755,0.396,0.355,135.986
Toro - I Hate Models Speed Up Revival Edit of Andre VII RMX,7KnVy00zIJyFcsAIV1KWBT,I Hate Models,Toro (I Hate Models Speed Up Revival Edit of Andre VII RMX),0.722,0.849,6,-6.025,0,0.088,0.000531,0.373,0.0741,0.252,150.006
Nostalgica,1o8MltKgISnS3Dk0kWmnFu,I Hate Models,Forever Melancholia,0.534,0.979,1,-3.507,1,0.0465,0.000152,0.877,0.117,0.621,153.005
Sorrows Of The Moon,075c2lwxN8eSaqkH5Rt2MS,I Hate Models,Sorrows Of The Moon,0.487,0.929,8,-8.417,1,0.0381,0.0274,0.47,0.17,0.0396,134.028
Twin Souls,7q0uAZzbO232QlYZsl716J,I Hate Models,Forever Melancholia,0.656,0.879,2,-3.414,1,0.0397,3.3e-05,0.742,0.0787,0.303,151.506
Lazy In Hell,7vuRnqAlPp1yZScZfKyu8H,I Hate Models,Disco Inferno 01,0.555,0.962,1,-7.296,1,0.0373,0.000738,0.327,0.126,0.48,145.012
Sad Groove,5vXiixLxPm5yLnEgy6YvMN,I Hate Models,Disco Inferno 01,0.562,0.962,5,-6.369,1,0.0495,0.000312,0.877,0.435,0.149,145.0
Forever Melancholia,2oJMNBGXMZ5hXa0lqOQwIw,I Hate Models,Forever Melancholia,0.495,0.945,11,-3.329,0,0.0538,3.98e-05,0.285,0.4,0.29,156.03
Forgotten Future,5ukplSDAFh7nngeTBRUYrh,I Hate Models,Forever Melancholia,0.539,0.942,7,-3.406,1,0.0571,0.00052,0.00983,0.109,0.315,153.982
Werewolf Disco Club,6iUHeJeetiHa2olRVvtNXE,I Hate Models,Werewolf Disco Club,0.622,0.922,9,-5.224,1,0.0385,0.00218,0.821,0.12,0.214,146.004
For My People,0ZG5EiTjLZJRAEr05efBUS,I Hate Models,Forever Melancholia,0.461,0.996,7,-3.052,1,0.07,0.00663,0.813,0.444,0.16,156.02
Eternal Loneliness,3CyJNVETICgG6wsx2MNEYB,I Hate Models,Totsuka No Tsurugi,0.435,0.844,6,-8.353,1,0.0379,7.48e-05,0.762,0.521,0.0592,135.995
Two Steps From Heaven,11VfNXFzTxL23ar2XUo695,I Hate Models,Disco Inferno 01,0.631,0.924,4,-5.971,0,0.103,0.00164,0.678,0.31,0.318,145.006
Transcendental Fusion,2IewY0wJqyjOSUU934p2xQ,I Hate Models,Gemstones Obsidian,0.622,0.968,7,-6.745,1,0.0631,0.00525,0.877,0.146,0.128,145.997
Intergalactic Emotional Breakdown,5dHDxDXEMaRjmf0wHZLBmy,I Hate Models,Intergalactic Emotional Breakdown,0.593,0.733,6,-8.398,1,0.0417,0.00152,0.678,0.613,0.272,145.034
Warehouse Memories,3emkoeO3UHcDnYIXCr8iuy,I Hate Models,Warehouse Memories,0.645,0.935,0,-6.538,0,0.0918,0.000468,0.879,0.08,0.0627,135.989
Requiem of Desolation,37M18lUwlMVOQ1XQ3xKvaB,I Hate Models,Rave or Die 10,0.533,0.977,11,-6.623,0,0.0517,0.0372,0.907,0.105,0.0419,136.99
Cyanure Dance,2vPJlcwS31XkicWRCv5sFC,I Hate Models,Nigredo Edition,0.562,0.886,4,-5.962,0,0.0375,0.000559,0.801,0.106,0.153,130.992
Walpurgis Night,52rZwojL5onLXKtnuByHpU,I Hate Models,Midnight Cults,0.527,0.793,7,-8.796,1,0.0362,0.00201,0.832,0.112,0.208,132.006
Izanami,3wdzfS1YBvJghi3pMARyBG,I Hate Models,ARTS V - Five years of Arts,0.531,0.927,9,-8.553,0,0.0488,0.00244,0.652,0.122,0.339,140.004
She Said Fuck People I Have Drugs - Original Mix,5JUnr6QlR9vT4o4iLQ4J8T,I Hate Models,State Of Control EP,0.582,0.905,7,-8.815,1,0.0568,0.00072,0.728,0.133,0.355,136.998
It Will Last Forever,1So4cujPIlqeKKUrHowp5z,I Hate Models,Midnight Cults,0.49,0.787,11,-6.698,0,0.0352,5.5e-05,0.889,0.0695,0.0578,128.009
Totsuka No Tsurugi,4S1F8nRWikyKlNtrLHAm2w,I Hate Models,Totsuka No Tsurugi,0.408,0.962,11,-10.06,1,0.0493,0.000448,0.63,0.134,0.196,136.998
Shades Of Night,4NAZVNM9sk0CH6zFw92TJN,I Hate Models,Warehouse Memories,0.519,0.957,2,-6.331,0,0.174,0.0136,0.318,0.0825,0.0728,135.977
Velvet,1lAJoSSnYIcIFZmcGkwllx,I Hate Models,Intergalactic Emotional Breakdown,0.542,0.9,4,-8.515,0,0.0512,0.000711,0.913,0.098,0.815,144.008
Heartbreaker,0Y3SRdVn4yNpXD2rpTcPun,I Hate Models,Totsuka No Tsurugi,0.46,0.845,4,-7.478,0,0.056,0.000177,0.916,0.127,0.167,137.99
State Of Control - Original Mix,60UH1SV2nsQz3utDVqKHy8,I Hate Models,State Of Control EP,0.5,0.881,10,-8.588,0,0.0592,0.0037,0.8,0.127,0.0963,135.988
Warehouse Memories - Emmanuel AKNF Remix,3g4kchpBz91DpVi0g9Md95,I Hate Models,Warehouse Memories,0.516,0.932,2,-7.682,0,0.0382,0.00119,0.641,0.092,0.0525,132.007
Prey for Lust - Cleric Remix,1Wr1YkQhbLNPTZC5qiPFU6,I Hate Models,"RAW Compilation, Vol.2 : Second Breath",0.627,0.835,1,-11.63,1,0.0349,0.000245,0.83,0.104,0.04,134.995
Sexy Beast,6IAXIC7Gorn2cx2Fx6jJha,I Hate Models,Sexy Beast,0.645,0.697,1,-7.31,1,0.0352,5.89e-05,0.827,0.0647,0.161,122.998
Death Engine,001zs060RfeATbj7BFVwzS,I Hate Models,Intergalactic Emotional Breakdown,0.556,0.979,1,-7.121,0,0.095,0.00549,0.765,0.395,0.0394,143.029
Emerald - Original Mix,1EvvJaPppVP4kxjJwMDJMi,I Hate Models,State Of Control EP,0.505,0.967,11,-8.266,0,0.073,0.0065,0.848,0.129,0.319,136.013
Lost in this world - original mix,7CzGQZkhxl7TLtZ4VL1uMc,I Hate Models,VA/01 DGTL,0.529,0.981,6,-7.65,0,0.169,0.182,0.699,0.109,0.205,135.998
Ritual Of Tears,4Tr7YBJyKebZyH3oIsWFCW,I Hate Models,The World Of Monnom Black,0.601,0.815,6,-6.942,0,0.0578,2.25e-05,0.787,0.391,0.269,138.994
Demons From the Past,1DBR4tTOlgeIO56Ufwmm8k,I Hate Models,Totsuka No Tsurugi,0.536,0.966,3,-9.038,0,0.0714,0.046,0.862,0.224,0.159,135.995
