track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Saltwater - Ilan Bluestone Remix,6kfV43UhRUbv8FMRNs19JN,Ilan Bluestone,Saltwater (Ilan Bluestone Remix),0.546,0.91,5,-7.307,0,0.0451,0.132,0.888,0.104,0.146,127.97
Will We Remain? - Spencer Brown Remix,2JtLVLcBKBoMoM3C8OMtu4,Ilan Bluestone,Scars (Remixed),0.789,0.701,6,-6.582,0,0.035,0.00202,0.418,0.117,0.326,126.005
Ignite (Mixed),77OeURbhgyiroFgBCMScw4,Ilan Bluestone,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.45,0.921,6,-7.602,0,0.0403,0.000216,0.371,0.197,0.412,129.573
Stranger To Your Love,4AQiZ9OMg2OSsg1noGnjEB,Ilan Bluestone,Impulse,0.684,0.942,1,-6.925,0,0.0612,0.00341,0.663,0.134,0.0655,123.976
Hypnotized - Markus Schulz Remix,7wMRWeyvKI0u83vWbjbhH1,Ilan Bluestone,Hypnotized (Markus Schulz Remix),0.421,0.771,11,-9.321,0,0.0592,0.00139,0.196,0.235,0.0759,132.029
Now We Are Free,2xfL7Mx5AqbWP0YcwxlcI7,Ilan Bluestone,Now We Are Free,0.555,0.954,6,-3.614,0,0.108,0.000341,0.00477,0.337,0.186,129.992
Frozen Ground,05XlVI5hWtEsFCXADJo9Ml,Ilan Bluestone,Scars,0.624,0.792,1,-5.818,0,0.0884,0.00659,0.000456,0.301,0.219,130.001
Paid For Love,5jCeNmOKugXGCKSVsZUolR,Ilan Bluestone,Impulse,0.575,0.661,3,-6.892,0,0.0362,0.000498,0.154,0.376,0.267,130.023
What Do You Want From Me?,6Bs64bYu0zyEyNJS2NdBq8,Ilan Bluestone,Impulse,0.514,0.543,0,-8.065,1,0.0715,0.0241,0.000302,0.0973,0.12,131.981
Bigger Than Love - Edit,2IGG5rRtxO6EuUGPhlUSlQ,Ilan Bluestone,ilan Bluestone Presents: 20 Years Of Anjunabeats,0.606,0.801,10,-6.318,0,0.0813,0.0148,0.00609,0.0466,0.265,130.039
