track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Gipsy Queen,645khgMxKxkXqUEs4UrBB6,Indira Paganotto,Gipsy Queen EP,0.37,0.863,6,-12.324,0,0.108,0.00127,0.117,0.251,0.0645,145.016
Dragon,1J827bhoOFER99MdWqeoyU,Indira Paganotto,Dragon,0.591,0.972,8,-5.993,1,0.112,0.0111,0.0528,0.394,0.239,145.005
Pressure - Indira Paganotto Remix,0CesUDLx0Oj2J19HVbQOnd,Indira Paganotto,Pressure (Indira Paganotto Remix),0.51,0.966,6,-7.552,1,0.149,0.00412,0.257,0.109,0.247,181.019
Crush,4oivVCHwk7SH6PK1WrAkvP,Indira Paganotto,Crush,0.786,0.885,8,-5.555,1,0.0488,0.00199,0.644,0.208,0.601,137.015
Vendetta,5Y1SndahLemyQ1M9ydCf6N,Indira Paganotto,Gipsy Queen EP,0.578,0.92,11,-10.036,0,0.054,0.0176,0.787,0.165,0.794,149.959
Dune,2Yg0n0Js1GbjOQVuCapI7r,Indira Paganotto,Kalima EP,0.611,0.941,7,-8.853,1,0.0626,0.00638,0.876,0.128,0.472,144.977
Kalima,5hGhHUMdLYQq48IyuuqwJt,Indira Paganotto,Kalima EP,0.593,0.867,9,-7.548,1,0.0841,0.00656,0.659,0.119,0.241,143.992
Yellow Lambo,5NiK1iytha9iOzl0ahe9W8,Indira Paganotto,Invisible Connections,0.664,0.962,7,-9.945,1,0.0426,0.0364,0.853,0.0633,0.191,139.982
Requiem,4SKLOttPiuVFc6sbhcvi3Y,Indira Paganotto,Heaven Is For Warriors EP,0.618,0.883,3,-6.514,0,0.0633,0.00482,0.906,0.114,0.0633,144.989
Heaven Is For Warriors,2HJuCChyPFnT2cOo2ncOAR,Indira Paganotto,Heaven Is For Warriors EP,0.79,0.889,7,-6.118,0,0.125,0.0385,0.752,0.267,0.0373,145.01
Dragon (Mixed),6BEsN3sFUb47OrutEHym5q,Indira Paganotto,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.592,0.975,1,-7.271,0,0.0473,4.71e-05,0.521,0.12,0.808,149.968
Legend,2voOlJ0QcTDTDRexSw6bGe,Indira Paganotto,Lions of God EP,0.76,0.874,6,-7.699,1,0.0548,0.00171,0.901,0.107,0.228,145.006
Ananda,4OgesRizuZuES11S4oMmCp,Indira Paganotto,Mantra EP,0.699,0.985,10,-4.622,0,0.123,0.0133,0.46,0.316,0.115,145.015
Himalaya,1xDo7ZRJGusfMXSrbkPA9N,Indira Paganotto,Himalaya EP,0.676,0.828,7,-11.348,1,0.051,0.0115,0.834,0.0799,0.208,149.987
white horse,1gjCPf15cmdVxSIqKGsnXz,Indira Paganotto,white horse,0.598,0.981,9,-5.376,1,0.0705,0.00226,0.686,0.344,0.26,145.016
Diabla,7jhnbFPjiETsnctO3eCkVU,Indira Paganotto,Lions of God EP,0.637,0.878,7,-9.264,1,0.0598,0.0565,0.587,0.172,0.0398,144.988
