track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
DA PIT (feat. XAE),0fP60ShPw677cqudSmfzBM,Infekt,DA PIT (feat. XAE),0.752,0.989,1,-1.459,1,0.365,0.0996,0.0107,0.858,0.462,144.838
We Don't Play,2nSvBHxMZz5buzG93DM2xr,Infekt,Disciple Alliance Vol. 5,0.592,0.937,11,-5.453,0,0.158,0.00418,7.58e-06,0.406,0.339,150.096
Das Riddim,2YrZZsYXNu449o5UhiDDXF,Infekt,Das Riddim,0.595,0.877,1,-3.616,1,0.166,0.113,0.0302,0.179,0.161,104.727
DIPOLAR,6gE8hWoci0YKY7plzp5BsW,Infekt,Black Hole Final Chapter,0.618,0.823,10,-3.597,0,0.0683,0.000898,0.0485,0.133,0.0391,72.443
Moonout Blockz,4MO0uknoUUiCjtJXkVserj,Infekt,"Savage Selects, Vol. 1",0.852,0.762,11,-8.292,0,0.413,0.04,0.00144,0.358,0.636,139.878
Internet G,0WfQUDK0wxEjecrAzQL84y,Infekt,Internet G,0.508,0.977,1,-3.832,0,0.0741,0.0124,0.663,0.161,0.0384,144.51
Orgalorg,63WVUdcOb0JTwGELasGI1n,Infekt,Disciple 04: Apocalypse,0.905,0.836,9,-7.413,0,0.195,0.000715,0.924,0.128,0.332,139.974
BEAMS,081pPUtsdE1iBqvyjw4kCS,Infekt,BEAMS,0.458,0.903,1,-2.311,1,0.286,0.018,4.05e-06,0.701,0.149,145.122
My Name Is,2XyHzURl6Cn6yvkES4dfei,Infekt,Kaizen EP,0.794,0.738,10,-3.096,1,0.0606,0.00182,0.449,0.296,0.216,144.981
Rewind,2uHljNQhDAEWYY8gaTwZ6N,Infekt,Boombox / Rewind,0.793,0.894,1,-2.736,1,0.222,0.00845,0.047,0.106,0.474,145.014
Expression,2mn4tUzrA2XCrlRxLOhseA,Infekt,Breakout EP,0.542,0.604,4,-8.192,0,0.704,0.16,1.98e-05,0.865,0.124,143.367
Game On,1dj526NJ5TxxFqHOOS9sdX,Infekt,Game On,0.529,0.962,6,-3.363,0,0.539,0.0668,0.0186,0.868,0.467,145.222
Feedback,7ejEHmuauEs9xcqSGlcwXL,Infekt,Feedback,0.695,0.985,1,-4.269,1,0.0525,0.0502,0.897,0.217,0.431,144.982
LOADED,7w53Q075Nr0s8UbAL1Una0,Infekt,It’s Riddim Time,0.683,0.96,1,-0.788,1,0.149,0.0277,0.856,0.755,0.0734,145.116
NO CAP,36qJbG0WxuVjWoNMNK9iSX,Infekt,BACK TO BACK EP,0.823,0.927,1,-2.624,0,0.304,0.0199,0.0,0.371,0.38,144.853
