track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Artifacts Of A Higher Dimension,6g5T7f2Pd8bj7tqgWPZriI,inzo,Artifacts of A Higher Dimension,0.272,0.754,9,-7.045,1,0.0403,0.00524,0.0224,0.0989,0.0669,119.135
Aint No Thang,2Dcv2l9LuvSHiptPLvnKlL,inzo,Aint No Thang,0.631,0.964,5,-3.002,1,0.234,0.00492,0.0005,0.257,0.45,90.079
Bass In Yo Face,6yh1xMXpnMEoRlA0AJ9Jeo,inzo,SIDEQUEST,0.72,0.743,2,-7.861,1,0.0816,0.00555,0.562,0.433,0.176,125.027
Dopamine,06SYPTeNIfBFGJDpGepz5v,inzo,SIDEQUEST,0.758,0.904,1,-4.401,1,0.0615,0.00406,0.583,0.135,0.115,115.001
Funky Fusion,7jc1Hk8PtZZbeuLckC9EvB,inzo,SIDEQUEST,0.797,0.767,11,-3.947,0,0.0974,0.000177,0.71,0.0599,0.687,125.036
Solstice,3O3UcaASCm41Q1vN9v88dp,inzo,Earth Magic,0.344,0.459,2,-7.98,1,0.0341,0.168,0.735,0.336,0.0316,127.904
Tripitaka,4yLt9zbTbXkPOPsAHeq56P,inzo,Earth Magic,0.48,0.708,0,-4.436,1,0.0379,0.0196,0.00028,0.207,0.0564,90.106
"Drift Like A Cloud, Flow Like Water",73Mk7DfHLvnsSM2wKcnSU7,inzo,Earth Magic,0.419,0.824,7,-4.998,1,0.0402,7.6e-05,0.162,0.119,0.0387,114.865
Sanctuary,2dt4VicKEmrns1mPkxQ0uc,inzo,Earth Magic,0.202,0.267,8,-12.631,1,0.0368,0.119,0.177,0.143,0.0374,105.52
Earth Magic,3mG2KduFnWKKOW6A8DRKDh,inzo,Earth Magic,0.424,0.528,8,-7.452,1,0.0395,0.146,0.188,0.0829,0.0611,60.004
Floating,3lEGTFEPGPmrvrA6GTjv7T,inzo,Earth Magic,0.269,0.596,4,-7.225,0,0.0423,0.0215,0.864,0.0826,0.0357,85.86
LEO,45dmN8ihGUwCvvFshKbBdR,inzo,Earth Magic,0.174,0.563,0,-6.978,1,0.0313,0.0226,0.808,0.271,0.0337,60.844
BLASTA,1o9NMRYTCRMp7bpFtulFU3,inzo,BLASTA,0.621,0.87,8,-3.52,1,0.118,0.0043,0.059,0.25,0.2,92.032
Awaken,172gMhoum04p1yJsiIsRZY,inzo,Awaken,0.541,0.854,2,-4.285,1,0.0436,0.00365,0.4,0.69,0.145,145.034
Overthinker - CloZee Remix,6Rqbg1ME7T7DinH88nd5Ig,inzo,Overthinker (CloZee Remix),0.353,0.746,0,-7.212,0,0.104,0.0684,0.000525,0.0797,0.381,89.003
It Goes In Waves,60KPmvJDDeZo5X06euzxaH,inzo,It Goes In Waves,0.795,0.645,2,-7.589,0,0.0871,0.239,0.0436,0.34,0.353,129.971
I'm Dreaming,3aF4OnZcwvY4PNOv6Dit2q,inzo,I'm Dreaming,0.212,0.622,4,-5.912,0,0.0694,0.0646,0.516,0.363,0.0614,83.939
Angst,501czsZhsXGZKJXB6Qxq1t,inzo,Angst,0.285,0.782,7,-6.243,0,0.126,0.0189,0.0233,0.0994,0.0793,149.951
Multiverse,2Xed2sLQrYXP2pUFrXHu6S,inzo,Multiverse,0.558,0.865,1,-4.382,0,0.0594,0.0475,0.0317,0.233,0.182,148.009
Let It Slide,6zMkTwn3bU9NVM9dY2oFFa,inzo,Multiverse,0.451,0.654,2,-4.114,1,0.367,0.151,0.0011,0.11,0.213,204.322
Y,0o6BkfXqTK9tBJi6cGaSOw,inzo,Multiverse,0.806,0.908,11,-4.422,1,0.292,0.00911,0.562,0.184,0.484,179.999
Spectrum,0HEfUM0O2nTsfS2mejnXzN,inzo,Multiverse,0.328,0.523,6,-6.109,1,0.0509,0.000352,0.174,0.0671,0.177,76.773
Helluvadrug,2AktHYiSWYmwwR0h5gplij,inzo,Multiverse,0.541,0.894,0,-1.703,1,0.116,0.00177,0.0584,0.248,0.392,114.766
Notions,7MuZ93ufFKl2d9vZQVIylB,inzo,Notions,0.551,0.805,9,-4.83,0,0.052,0.0262,9.4e-05,0.682,0.174,109.984
Wonder,0gbN6ql239DBcXonODzGGo,inzo,Wonder,0.446,0.679,4,-2.858,1,0.0722,0.00385,0.293,0.174,0.0899,74.952
Local Void,720xwIgo1GuC5DqfUJunTm,inzo,Local Void,0.639,0.553,7,-4.104,0,0.28,0.0129,0.351,0.0785,0.17,181.312
Overthinker,7qGoMOzR9pJ1bPl4bFmTN7,inzo,Overthinker,0.472,0.604,8,-4.437,1,0.134,0.0315,0.0292,0.101,0.212,128.375
Visionaries (Remix),5qQnvgiQ1waxpmzVxlsjJS,inzo,Visionaries (Remix),0.489,0.902,0,-5.712,1,0.113,0.0212,9.14e-05,0.62,0.0566,99.941
Letting You Go (feat. LaMeduza),7u1TNkKocXKGgsb0i2WiJI,inzo,Letting You Go (feat. LaMeduza),0.508,0.726,6,-7.764,0,0.0509,0.00223,0.148,0.121,0.203,139.952
