track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Love Inside,6j328qpqI6nScYgOTW5rBl,Isabella,In My Mind,0.764,0.752,10,-5.197,0,0.0466,0.0597,0.00473,0.0862,0.495,143.044
Whatcha Doin'?,5Tg772ZmTrd4uvfslXzYd1,Isabella,Phineas and Ferb: Across the 1st and 2nd Dimensions,0.574,0.779,4,-5.441,1,0.201,0.677,0.0,0.305,0.649,155.854
What Might Have Been,5a6QRq732nUdlxnKHmQbHa,Isabella,Phineas and Ferb: Last Day of Summer (Original Soundtrack),0.523,0.606,4,-5.864,1,0.0306,0.246,0.0,0.122,0.596,160.147
Adulting,576ESmEeHt0NE9SxHn1Qvm,Isabella,Phineas and Ferb The Movie: Candace Against the Universe (Original Soundtrack),0.667,0.776,2,-4.592,1,0.0835,0.405,0.0,0.0262,0.865,156.076
City of Love,2DitzZLJfnfC3uPdMq3Bx5,Isabella,Phineas and Ferb Summer Belongs to You,0.575,0.585,3,-6.273,1,0.0342,0.718,2.19e-06,0.104,0.769,172.028
Summer Belongs to You,37wuSLIK22IxGKffovC6jd,Isabella,Phineas and Ferb Summer Belongs to You,0.547,0.815,2,-2.824,1,0.0532,0.141,0.0,0.313,0.911,170.018
Step into the Great Unknown,2ukcvGxNrA3PztDUjUM2Sa,Isabella,Phineas and Ferb The Movie: Candace Against the Universe (Original Soundtrack),0.729,0.716,7,-5.185,1,0.0285,0.101,0.0,0.0941,0.84,128.066
Isabella’s Birthday Song,4TOm61nHo2nVsXRJVcYkag,Isabella,Phineas and Ferb: Rockin' and Rollin',0.719,0.61,9,-6.395,1,0.0454,0.463,0.0,0.108,0.79,137.956
Triangulation,53zdr20AuB9qmtIApFaMVp,Isabella,Phineas and Ferb: Last Day of Summer (Original Soundtrack),0.771,0.719,4,-4.943,1,0.0677,0.35,0.0,0.553,0.92,139.681
BUBBLEGUM - Jürgen Paape “Frutti di Mare” Remix,6QjAVzEnDqvEX2Icbo8zvs,Isabella,"BUBBLEGUM (Jürgen Paape ""Frutti di Mare"" Remix)",0.754,0.586,9,-8.887,0,0.0421,0.00923,0.726,0.0688,0.658,117.009
Three,2AuvlU86aCSSZ6EwtK1D3C,Isabella,12 Angels,0.436,0.324,7,-11.839,0,0.0438,0.389,0.00668,0.107,0.0745,146.562
SHOES,6p5vMODHbYf5p5AslpX21w,Isabella,SHOES,0.471,0.757,6,-3.95,0,0.087,0.495,0.0,0.0883,0.744,180.272
Nobody,50ScouXbW35omYxDlkFI5V,Isabella,12 Angels,0.687,0.514,1,-6.572,0,0.0483,0.523,3.28e-05,0.109,0.411,86.031
Track 90,60qlVpwWAMdHmHmHm5rVuB,Isabella,AUDIO EXOTICA EP,0.795,0.984,9,-11.013,1,0.0402,0.000122,0.849,0.0618,0.664,132.013
More Than Words,2xKLmMrqGAuslD9zZYe66C,Isabella,12 Angels,0.651,0.609,7,-5.822,0,0.0272,0.251,0.0678,0.239,0.269,140.004
Out More,5R9QvJhKRD9nXU0ydfKmym,Isabella,12 Angels,0.504,0.718,10,-4.91,0,0.0393,0.655,0.0,0.0833,0.277,124.466
Mini Radio (feat. Isabella & liliby),1ZVBQxrBgY66E3RJrWxlcg,Isabella,Mini Radio,0.687,0.483,8,-6.473,1,0.12,0.804,0.0,0.134,0.456,180.065
Mais que nada,4tYfjdpSUNEQDfYuuAzgV0,Isabella,Gaia Dance,0.682,0.852,1,-6.8,1,0.0554,0.00103,0.819,0.0498,0.872,124.005
"no, u hang up",6Ifvpd9J2JiLWu5Ij1RlUY,Isabella,"no, u hang up",0.704,0.795,11,-5.546,0,0.0366,0.266,0.00204,0.371,0.801,124.083
Adulteando,11Qt2Z01IP0SLBghuqobkT,Isabella,"Phineas y Ferb, La Película: Candace Contra el Universo (Banda Sonora Original en Español)",0.663,0.775,2,-3.538,1,0.0969,0.419,0.0,0.0542,0.883,155.932
143 (Gift That Gives),6GSaXKHzNHuhso1wyFgL5r,Isabella,12 Angels,0.447,0.424,2,-6.218,0,0.0853,0.838,0.0,0.111,0.504,78.833
Ready,7zCD354o2xUCWH3hUcgn3m,Isabella,12 Angels,0.491,0.605,1,-7.34,1,0.0763,0.339,0.000528,0.144,0.0963,145.921
Impresia,5QMxxI25YVMHCHgPOK8ysW,Isabella,L'eau Repousse Les Feux Agressifs,0.567,0.912,1,-6.929,1,0.0441,0.00481,0.928,0.112,0.286,142.817
Que Lo Que - Radio Edit,3iENNKlOXOftSP3MIKayHh,Isabella,Que Lo Que,0.912,0.807,7,-6.053,1,0.21,0.119,0.616,0.932,0.462,124.012
Tears,25vfyGVwsf0FdyoNARaEX8,Isabella,12 Angels,0.483,0.692,8,-5.922,0,0.0822,0.223,0.00013,0.126,0.292,98.319
November,74bDSEWGt8eizWtfRPyOga,Isabella,12 Angels,0.531,0.611,11,-4.947,0,0.196,0.244,2.63e-06,0.085,0.419,169.991
אצלנו בגן,4dg2eskWjotnd1AGRu5lsu,Isabella,אצלנו בגן,0.655,0.354,10,-9.057,1,0.0249,0.726,0.0,0.102,0.475,82.046
Cypher,0OCxnBK2hg0oWaCVtK6uDW,Isabella,Cypher,0.542,0.655,9,-9.504,0,0.348,0.0256,0.0,0.225,0.878,70.101
