track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
KGM (irl)*,6RR2CymUsUTc0cQfaQ3RH7,isoxo,KGM (irl)*,0.556,0.997,2,-1.188,1,0.154,0.000772,0.106,0.959,0.0689,150.029
dontstopme! (demo),1QezL8jVknsvUS6Owx1CAh,isoxo,KGM (irl)*,0.643,0.998,2,-1.09,1,0.169,0.00262,0.0127,0.47,0.331,140.019
dontstopme! (DRYDEN Remix),6IXaUHUfTZPOwVirV0ET6d,isoxo,KGM (irl)*,0.637,0.948,2,-0.543,1,0.0492,0.00358,0.202,0.348,0.334,129.992
STARsound (pt2),5dsOyRsaC8y7tQ9IXtuXca,isoxo,KGM (irl)*,0.493,0.793,2,-2.166,0,0.0393,0.102,0.0,0.419,0.0671,135.075
nevrletmego (how2fly demo),2fkgJbvNjQucec2GIPUll3,isoxo,KGM (irl)*,0.609,0.946,3,-6.033,0,0.0505,0.197,0.611,0.117,0.531,129.991
SHYPOP (REDUX),1nP87zYwYoj6qjRdVe9Yxr,isoxo,KGM (irl)*,0.457,0.956,10,-0.166,0,0.284,0.00575,0.512,0.141,0.415,170.091
growing pains (msft remix),1NxXkMrF4pEhadte6CzpWJ,isoxo,KGM (irl)*,0.606,0.793,5,-7.893,1,0.0388,0.00325,0.906,0.135,0.0774,139.996
i promise,0kPinv7EQdh8498Pzts6te,isoxo,KGM (irl)*,0.608,0.952,10,-3.487,0,0.0348,0.00259,0.0248,0.13,0.11,123.97
THRASH (PARTY STARTER),4elUJWLSukWtdMmNIjGQKM,isoxo,4EVR,0.497,0.941,8,-0.711,1,0.112,0.005,0.00855,0.477,0.04,140.234
TROUBLE,3Y0FFtcmxdGkrCKnvuOs5q,isoxo,4EVR,0.628,0.974,9,-0.51,1,0.0565,0.0172,0.0445,0.371,0.305,129.975
ENERGY,6GbhVYLX4gDu3v5Tx2cnIH,isoxo,4EVR,0.736,0.987,8,-0.009,1,0.116,0.00246,0.177,0.343,0.316,129.973
PAIN,4Tfai66HFDfKbJiJwrEm4W,isoxo,4EVR,0.734,0.991,1,-2.328,1,0.114,0.00257,0.474,0.69,0.297,133.975
SMACK TALK,4XcphMBEv10k6Ob1Z2guUi,isoxo,4EVR,0.46,0.959,10,-2.096,1,0.096,0.00688,0.956,0.12,0.183,140.071
SIGNAL,2lI0NirbWze2kWcIsB7Nqo,isoxo,4EVR,0.466,0.931,2,-1.573,1,0.0795,0.00633,0.158,0.308,0.152,139.973
