track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
I Look Good,2nO5YCEAQLPYKLbza7N64Z,Jackie Hollander,I Look Good,0.592,0.855,6,-6.376,1,0.0585,0.0135,0.517,0.3,0.296,131.957
All My Friends Are Hot,2bRM3rvHhI9cb2TCnnZIAR,Jackie Hollander,All My Friends Are Hot,0.798,0.607,1,-7.012,1,0.0467,0.00241,0.534,0.267,0.517,129.989
You Go I Go,2NTojmUzspL9vNkOXKqRcV,Jackie Hollander,You Go I Go,0.661,0.866,3,-4.351,0,0.0466,0.124,0.0114,0.116,0.239,134.017
Step Into Your Mind,2w1qucwFjnkjn4LRWhFjr1,Jackie Hollander,Step Into Your Mind,0.68,0.911,11,-7.79,0,0.055,0.0167,0.785,0.298,0.455,127.956
The Life,4u9Dvrt4VSSrOPvFTu6FPb,Jackie Hollander,The Life,0.658,0.994,7,-4.465,0,0.0572,0.00821,0.584,0.38,0.626,131.999
LSD,3SAhh2tNNY30Pooge2BHNT,Jackie Hollander,LSD,0.632,0.815,10,-7.452,0,0.0437,0.185,0.467,0.213,0.373,127.985
The Afterparty,208kTDYEoVStGeEJ2bfwji,Jackie Hollander,The Afterparty,0.743,0.909,6,-5.19,1,0.0577,0.00836,0.542,0.116,0.91,126.008
My Power,5YwivGHPlaUyVJTlJ6hYif,Jackie Hollander,My Power (feat. Brieanna Grace),0.347,0.736,5,-8.124,0,0.076,0.198,0.113,0.297,0.111,170.736
Higher Ground (feat. LOV),5mepdbau5G9Qsxbb6yIJX0,Jackie Hollander,Higher Ground (feat. LOV),0.659,0.772,11,-9.443,0,0.0324,0.0367,0.482,0.0249,0.52,128.975
Freak,5VwhKA8AX1OzQ0V1CiVJfG,Jackie Hollander,Freak,0.659,0.904,6,-7.156,0,0.0525,0.0508,0.655,0.0615,0.552,135.999
Elusive,7nghatG5JgjUps3dMTIEAy,Jackie Hollander,Elusive,0.612,0.87,11,-6.027,0,0.0386,0.109,0.489,0.449,0.0711,123.985
Green Street,5g4TGAkoU6L8qoFwCd2Ra8,Jackie Hollander,Green Street,0.677,0.943,8,-4.28,1,0.0427,0.00767,0.893,0.0856,0.036,124.963
OOO (Out Of Office) - Jackie Hollander Remix,6SeAsMKq4AxCKV5OIv9t1W,Jackie Hollander,OOO (Out Of Office) [Remixes],0.557,0.964,2,-5.727,0,0.0376,0.011,0.183,0.162,0.434,127.998
30th Street,3dhr44L6QDTLt021EMtp62,Jackie Hollander,30th Street,0.656,0.811,1,-7.96,0,0.0541,0.0444,0.122,0.114,0.227,130.007
Tell Me,5Ywzyxt7zOFv3atKgH0GjD,Jackie Hollander,5 Years of FV - Disc 2,0.699,0.731,3,-7.38,0,0.0386,0.0227,0.000513,0.284,0.477,123.987
The Afterparty - Loco & Jam Remix,08MmPdIc2RSZ93U4Ux2RxI,Jackie Hollander,The Afterparty (Loco & Jam Remix),0.627,0.861,1,-7.577,1,0.0394,0.00133,0.859,0.179,0.459,127.995
My Power (feat. Brieanna Grace),1UZa1uXbIVHqlKIBq401xs,Jackie Hollander,EDC Orlando 2024,0.348,0.736,5,-8.124,0,0.0754,0.196,0.127,0.305,0.11,170.74
Tiya,5x9yTu2BkcjLljFYMiGN9f,Jackie Hollander,"Workshop Trax, Vol. 2",0.776,0.827,6,-9.407,1,0.0517,0.106,0.858,0.0721,0.0517,127.959
