track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
you'll come back,5o2tqRIy3mcH2hJftqvkkJ,jigitz,don't come back,0.736,0.776,11,-7.313,1,0.0711,0.17,0.836,0.105,0.274,159.976
die for you,41csUxatzu5AywDOLXo9ZN,jigitz,don't come back,0.733,0.605,10,-6.612,1,0.0411,0.00663,0.502,0.122,0.601,149.944
let me go*,3tVmdpl4F8FXPAq7LXXFOM,jigitz,don't come back,0.676,0.892,1,-6.596,1,0.0391,0.00281,0.611,0.202,0.348,123.977
don't come back,3tPrgyExznmJs4wA51yXlJ,jigitz,don't come back,0.62,0.952,7,-3.195,1,0.0559,0.0501,0.125,0.157,0.527,159.975
afterparty,5DZeMiGhvNnuFDoMfctSBD,jigitz,don't come back,0.541,0.849,3,-5.845,0,0.0682,0.0197,0.423,0.12,0.372,160.024
see u,40T6JiPlSWFwzvl80Jai5i,jigitz,don't come back,0.795,0.643,9,-7.783,1,0.0411,0.000585,0.237,0.0862,0.33,129.961
first time,0TEe8itQHTRTAv7bLS7P09,jigitz,don't come back,0.514,0.765,1,-8.943,1,0.0655,0.335,0.00371,0.176,0.246,164.985
touch,0nVurL9PmwcvgIst7I7yAi,jigitz,don't come back,0.73,0.77,7,-4.569,0,0.0541,0.0222,0.0285,0.0712,0.5,154.967
heart of mine,4rpWnq5y3ExUhRyT5uCCkJ,jigitz,don't come back,0.688,0.7,11,-5.567,0,0.031,0.075,0.887,0.127,0.438,128.018
last time,6ZafscHcSSY6yosQrpzHnZ,jigitz,don't come back,0.458,0.803,2,-6.275,1,0.0574,0.556,0.266,0.221,0.363,165.082
It's Strange (feat. K.Flay) - jigitz Remix,3JIHm0a1mxenFLQyrOzqAw,jigitz,It's Strange (jigitz Remix),0.533,0.872,0,-3.531,1,0.0575,0.0421,0.000446,0.0706,0.149,172.052
the time,7DECteJjqNfryTmWFgG1Q9,jigitz,the time,0.771,0.788,8,-3.458,0,0.0532,0.0017,0.0135,0.273,0.34,130.031
you'll come back (JEV Version),5BV7SxVEUNd0NlKzoAZrfb,jigitz,you'll come back (Reworks),0.755,0.627,11,-10.063,1,0.0815,0.467,0.068,0.0642,0.237,130.032
you'll come back (fenoaltea Version),0UulmtKynwT2ve7HnyPmE1,jigitz,you'll come back (Reworks),0.751,0.645,11,-9.396,1,0.0482,0.0371,0.772,0.0825,0.468,140.011
it's our time down here,2kOd3mKWHoho6FaocQk718,jigitz,it's our time down here,0.57,0.793,2,-7.507,1,0.0406,0.000277,0.00288,0.33,0.344,160.001
first time - OTR Remix,3J9yZngntlcWtUQHkmxgfF,jigitz,first time - OTR Remix,0.427,0.944,1,-5.729,1,0.409,0.000184,0.0137,0.426,0.223,153.081
Mia Wallace,30yJXxtuCUjmQ6xn5suA4N,jigitz,Mia Wallace,0.622,0.496,4,-10.403,1,0.0339,0.522,0.136,0.0924,0.178,124.018
