track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
With You,0FB7AcSmKzwvCB8pEkqUnI,jkyl & hyde,Second Self,0.419,0.743,11,-5.381,0,0.04,0.11,0.123,0.108,0.075,139.869
Runaway,0eOojqJoDbAFmgQnHhYsmb,jkyl & hyde,Second Self,0.522,0.731,1,-8.214,0,0.0987,0.443,0.000267,0.0863,0.0356,138.9
Speechless,17oPc757PkDQG7e6tH9ISV,jkyl & hyde,Second Self,0.607,0.633,5,-5.612,0,0.0755,0.583,0.0021,0.158,0.165,145.021
Tell Me Your Lies,5HBOoRnKPPNn3NhKfcRxBf,jkyl & hyde,Second Self,0.622,0.556,8,-7.126,0,0.0396,0.378,0.155,0.104,0.092,105.084
Sensory Session,1tJHwe21uzLYQmOGU5J5eb,jkyl & hyde,Second Self,0.627,0.785,4,-5.013,0,0.104,0.306,2.37e-06,0.0904,0.0394,71.948
Too Late,62yoC1CtvCigAoLgybU2ub,jkyl & hyde,Second Self,0.336,0.75,5,-4.209,0,0.0509,0.215,0.000128,0.13,0.265,149.325
MUD TRACKS,6IPtsE593bOvvS0sZjcU32,jkyl & hyde,MUD TRACKS,0.389,0.843,1,-0.827,1,0.0551,0.0582,0.791,0.082,0.0396,139.496
MANIAC,01IdQyLm4AldcfTf14qwZg,jkyl & hyde,MANIAC,0.575,0.842,1,-1.149,1,0.261,0.0898,0.00435,0.127,0.133,144.737
AWAY VIP,011XhtXKpXHIBTh5HVGy9R,jkyl & hyde,AWAY VIP,0.504,0.757,1,-2.066,0,0.0433,0.0395,0.285,0.072,0.0361,149.982
Nail In Ur Coffin,0OznPrB9ZeytGfjPc7L3eb,jkyl & hyde,Nail In Ur Coffin,0.542,0.64,1,-5.642,0,0.0327,0.132,0.000707,0.644,0.0453,105.01
End Is Here,1ijyZt3Q6s2cMPCooZpySy,jkyl & hyde,End Is Here,0.613,0.747,1,-0.988,1,0.0586,0.0173,0.000283,0.275,0.195,144.915
BILLIE EILISH. - Remix,058A9QyvTT6gJcCXYTbQTC,jkyl & hyde,BILLIE EILISH. (Remix),0.843,0.734,5,-2.786,0,0.0611,0.0608,0.00132,0.35,0.245,100.012
Memory Lapse - VIP,1aFfIJ0f9RqnGDBYuoqxVV,jkyl & hyde,Memory Lapse (VIP),0.489,0.875,6,-3.044,1,0.117,0.116,0.00031,0.134,0.0547,140.281
Imitation House,5UgcylF6JHh6eb750ADuAN,jkyl & hyde,Imitation House,0.617,0.939,1,-1.882,1,0.0842,0.0403,0.0894,0.0703,0.134,145.006
Memory Lapse,7Jnskfzi7Kk6ikzeibqcF7,jkyl & hyde,Memory Lapse,0.635,0.91,1,-2.711,1,0.264,0.0212,0.000268,0.115,0.0566,140.137
Chemist's Curse,1p4pPh66FlwRtANOgN7zP3,jkyl & hyde,Chemist's Curse,0.483,0.834,1,-3.71,1,0.172,0.248,0.0361,0.105,0.121,109.28
SEMTEX (Jkyl & Hyde Remix),2TLMUBOeCDdTMFCI6NpcKq,jkyl & hyde,SEMTEX (Jkyl & Hyde Remix),0.513,0.806,2,-3.026,1,0.33,0.0573,7.58e-05,0.245,0.159,139.631
Celestial,4G6D8TP6L1yJBYlkCupsfR,jkyl & hyde,Chemical Corridor,0.494,0.94,10,-1.613,1,0.0669,0.00587,0.00229,0.184,0.138,140.453
The Sound of Death,7EeRKJbQut7eHVcFGPaf7Z,jkyl & hyde,Chemical Corridor,0.714,0.925,1,-1.826,1,0.195,0.0157,0.69,0.0926,0.2,137.057
Listener,05jNb0ILazb7G3dw501WS4,jkyl & hyde,Chemical Corridor,0.544,0.847,2,-3.002,1,0.0446,0.0962,0.00186,0.113,0.0686,138.01
Resonate,6X6QiEPHWwUyYYytVeUTJm,jkyl & hyde,Chemical Corridor,0.796,0.764,2,-2.948,1,0.0626,0.000209,0.274,0.144,0.132,142.066
Arpf*cks,77z5bT7KYcOJioVQ7zQyNG,jkyl & hyde,Chemical Corridor,0.692,0.819,2,-0.896,1,0.059,0.00748,0.846,0.107,0.0665,139.886
Slide Dub,74OV77mrLte8iJcHJmgJyl,jkyl & hyde,Slide Dub,0.609,0.859,2,-1.439,1,0.0677,0.00113,0.777,0.1,0.255,140.214
Ruckus,0H5JiTfzmAKl4six7oWVNa,jkyl & hyde,Ruckus,0.659,0.747,6,-0.805,1,0.0417,0.0062,0.000272,0.246,0.0615,139.941
Error 1102,7dETLmxfWUdocboLlYeIr1,jkyl & hyde,Error 1102,0.541,0.859,2,-0.833,1,0.0692,0.00357,0.000372,0.425,0.227,149.77
Protocol Shift,06yezsl3C3JyCeo8DJFO2C,jkyl & hyde,Protocol Shift EP,0.52,0.841,10,-1.738,1,0.143,0.00367,0.489,0.134,0.0435,74.99
Deadman's Call,5Lq9uKRyz2ZJztcQJS5M9V,jkyl & hyde,Protocol Shift EP,0.688,0.964,8,-2.152,1,0.295,0.00581,0.572,0.515,0.274,145.047
Ignorant,0QLO2ISsVM4Ljl3obNZ9fN,jkyl & hyde,Protocol Shift EP,0.741,0.97,9,-0.084,1,0.159,0.000819,0.882,0.543,0.335,145.04
Heat Signature,6pRBOmfyl5PrI5baCONvBU,jkyl & hyde,Protocol Shift EP,0.518,0.896,9,-1.642,1,0.172,0.0444,0.00198,0.385,0.381,149.009
Shell Tha Place,7sGOxbmiWj2MpShWqB152L,jkyl & hyde,Shell Tha Place / Distortion,0.521,0.857,2,-1.86,1,0.305,0.0504,0.000149,0.112,0.368,140.024
Distortion,7cW3JYz9zGvKtOyCAjrAFC,jkyl & hyde,Shell Tha Place / Distortion,0.538,0.916,9,-1.774,1,0.399,0.0199,0.171,0.159,0.13,70.099
Transmission,1yYlH5B9rdklQrFivLhqtD,jkyl & hyde,Transmission,0.428,0.943,2,-1.976,1,0.498,0.0103,0.409,0.546,0.222,68.985
Shields,0RJO2E9vfmONXip5jdoIJ0,jkyl & hyde,Shields,0.692,0.89,0,-2.829,0,0.453,0.0285,0.272,0.0568,0.333,72.609
Blast Like,3QGeqQvT7KBLsE3jSzeMez,jkyl & hyde,Blast Like,0.728,0.849,3,-0.399,0,0.35,0.00113,0.162,0.0899,0.0752,72.49
Tell Me,5Y8nU8tJhYoOknAA23I2UH,jkyl & hyde,Blast Like,0.654,0.94,1,-0.277,1,0.187,0.000817,0.886,0.0902,0.355,144.964
Prime Execution,6Fzm9MZ8T06BGl3UuqNzO6,jkyl & hyde,Blast Like,0.426,0.912,1,-1.867,1,0.17,0.00387,0.446,0.989,0.173,72.976
Step Into The Dojo,16mlEnOjJODM1idSa4alzC,jkyl & hyde,Blast Like,0.775,0.923,1,-0.403,1,0.0986,0.00245,0.175,0.27,0.187,139.921
Bad Dreams,5L3mtPEFtjvt4FFGvaR4b4,jkyl & hyde,Bad Dreams,0.451,0.936,10,-2.069,0,0.48,0.0058,0.0881,0.205,0.145,149.898
Glass,5spb6JLlG8K8ASYpSqIYKQ,jkyl & hyde,Glass,0.407,0.705,1,-2.185,1,0.262,0.00135,0.714,0.437,0.185,145.243
Crystal,4XKBDPfDvvjxGLqUPER7a0,jkyl & hyde,Crystal,0.669,0.962,10,-1.921,0,0.372,0.00594,0.286,0.132,0.228,145.09
Artifacts,3EaE0wSdI9WoST9CQknmYq,jkyl & hyde,Artifacts,0.699,0.942,11,-1.404,1,0.0801,0.00496,0.00292,0.152,0.346,75.044
Throwback,5eS0DhqWzDLanNiFaDDnzd,jkyl & hyde,Throwin' Smoke EP,0.532,0.911,1,-1.892,0,0.0575,0.000413,0.118,0.135,0.111,144.101
Snakes in the Grass,1UaKoymqhQDGREFOHieXFW,jkyl & hyde,Throwin' Smoke EP,0.498,0.922,10,-1.445,0,0.306,0.00121,0.503,0.183,0.175,144.79
Smoke,4eawC0dbZhnK7Admo7mMS7,jkyl & hyde,Throwin' Smoke EP,0.317,0.923,5,-2.709,1,0.451,0.000815,0.624,0.396,0.0531,72.411
Buried,4m3XcFyXGIhDeAgPXTj1K7,jkyl & hyde,Throwin' Smoke EP,0.548,0.808,7,-5.905,0,0.364,0.248,0.00244,0.112,0.318,72.578
Yoi Boi,1pGX1Ipt6U6zLzrTfZIHtS,jkyl & hyde,Yoi Boi,0.467,0.909,11,-2.353,0,0.377,0.00154,0.253,0.292,0.383,70.302
Clockwork,4iuDMaTZIgqTW8k3tcOh7v,jkyl & hyde,Clockwork,0.428,0.87,11,-3.517,0,0.232,0.0311,0.823,0.302,0.0464,149.57
Midnight Orchestra,5OUnHVTIeWXuvLVIChmvhi,jkyl & hyde,Midnight Orchestra,0.474,0.89,1,-2.04,1,0.53,0.0551,0.0791,0.158,0.164,74.9
