track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
LIGHTS GO OUT,2iyMHe42Q6bY0mKp29KaHw,John Summit,LIGHTS GO OUT,0.555,0.975,1,-4.897,0,0.0427,0.000135,0.126,0.162,0.0372,143.981
Gas Pedal Remix,18SVzej2aT7rf04XvCs7CB,John Summit,Gas Pedal Remix,0.529,0.828,11,-7.005,0,0.062,0.00678,0.000355,0.408,0.249,135.852
Silence - Dimension Remix,2AUVVfU9CmmbWcudIAJ5vD,John Summit,Silence (Dimension Remix),0.449,0.939,9,-1.067,0,0.189,0.0965,0.0113,0.346,0.174,173.887
Go Back (feat. Julia Church) - YDG Remix,4ASH49SxktKD1YzIbqUP0N,John Summit,Go Back (feat. Julia Church) [YDG Remix],0.548,0.868,7,-1.258,0,0.0423,0.314,2.22e-06,0.144,0.233,145.052
La Danza,6KNlhaeBrlHUsVItPrpkyn,John Summit,La Danza,0.797,0.88,6,-5.722,0,0.0442,0.00298,0.574,0.183,0.357,125.995
Go Back (feat. Julia Church),68R0zVUeMJ2C852Ov6d2Mh,John Summit,Go Back (feat. Julia Church),0.392,0.924,7,-1.723,0,0.0572,0.163,0.000268,0.11,0.0555,136.013
Witch Doctor - Hot Since 82 Remix,0ZFqqr5USoYxuojSD2Onrb,John Summit,Witch Doctor (Hot Since 82 Remix),0.581,0.879,8,-6.818,1,0.0467,0.00372,0.917,0.0784,0.518,128.002
Better Than This,5OLSGox6JVpAyEQuoSYRcs,John Summit,Better Than This,0.673,0.839,9,-6.787,0,0.0373,0.0177,0.416,0.126,0.24,125.03
Thin Line,5mUwZ8KrcGxmMPTXR0gt11,John Summit,Thin Line,0.767,0.818,10,-6.224,0,0.0458,0.0288,0.00243,0.0732,0.365,124.968
Escape - John Summit Remix,68lTEhMEx4MxDCJypT6bXE,John Summit,Escape (John Summit Remix),0.631,0.84,9,-5.768,0,0.0347,0.0009,0.0374,0.109,0.113,125.992
Where You Are - Zedd Remix,6hI3PnULFXwkOQSHLHNfOO,John Summit,Where You Are (Zedd Remix),0.547,0.616,9,-6.451,0,0.043,0.0396,0.000144,0.13,0.0661,129.979
Tears (with Paige Cavell),2NKwz3gyK8da44pR2ZbiM1,John Summit,Comfort In Chaos,0.649,0.911,7,-5.832,1,0.0495,0.00422,0.0835,0.104,0.0563,126.004
EAT THE BASS,0TQWYkX6e29yzKUvUa2Ydg,John Summit,Comfort In Chaos,0.697,0.787,0,-6.991,1,0.0524,0.00282,0.00502,0.175,0.383,127.982
Resonate (feat. Julia Church),4ZmWVoFNiBj0iNnnC7E4MA,John Summit,Comfort In Chaos,0.606,0.876,7,-6.855,1,0.103,0.0435,0.000359,0.102,0.0495,129.969
Stay With Me,6NPuaE61QbNqRb6vZxe8lZ,John Summit,Comfort In Chaos,0.676,0.843,7,-3.865,0,0.0345,0.00111,0.589,0.664,0.18,130.006
Shiver - Cassian Remix,3wPPekju1lN3XgdtYCWmOS,John Summit,Shiver (Cassian Remix),0.575,0.968,2,-5.352,1,0.0648,0.0171,0.022,0.385,0.0967,126.968
Fade Out (with MKLA),6gs5VDiNpbBfXHsAj2c9SB,John Summit,Fade Out (with MKLA),0.541,0.97,8,-5.355,1,0.0524,0.0268,0.0608,0.401,0.0632,131.989
Human (feat. Echoes) - Aaron Hibell Remix,6hQRP0fV38up2v9YPZikNh,John Summit,Human (feat. Echoes) [Aaron Hibell Remix],0.283,0.746,5,-7.532,0,0.0429,0.0157,0.0115,0.105,0.126,132.048
Show Me,5VxGgNH0vXKAX5nl33V0vL,John Summit,Show Me,0.663,0.802,2,-5.126,0,0.0381,0.005,0.0419,0.617,0.307,125.989
Undo (feat. KOATES),6PirrekW8pomBQH3A3XgGT,John Summit,Comfort In Chaos,0.589,0.877,0,-5.968,1,0.0323,0.00377,0.481,0.111,0.187,124.992
Human (feat. Echoes),4G4patpYxsF6ovHZOX9wgR,John Summit,Human (feat. Echoes),0.544,0.856,5,-6.84,0,0.0314,0.00162,0.818,0.0763,0.233,125.992
Witch Doctor - Hot Since 82 Extended Remix,5Neja68OYUgpw6VN1tUdYX,John Summit,Witch Doctor (Hot Since 82 Remix),0.641,0.855,10,-6.995,0,0.047,0.00263,0.908,0.0742,0.567,127.996
Hypnotized (feat. Ellie Goulding) - John Summit Remix,1VAVEYZlzBp7d8UlWJvaDD,John Summit,Hypnotized (John Summit Remix),0.568,0.764,0,-4.484,1,0.0847,0.0119,0.0,0.0931,0.227,127.994
Give Me Anything,4H0klYMkrrII3U6wBX6UuX,John Summit,Comfort In Chaos,0.561,0.819,5,-5.827,0,0.0333,0.00421,0.0182,0.214,0.211,126.023
In Chicago,3XGXuQTcDeddPklojUc3oK,John Summit,In Chicago,0.73,0.849,2,-6.899,1,0.0378,0.00172,0.82,0.159,0.688,125.99
Comfort In Chaos,2pObpUTLvvhg8PxSid23gG,John Summit,Comfort In Chaos,0.531,0.6,7,-8.623,0,0.0346,0.11,0.949,0.363,0.0376,123.984
Hungover (with Camden Cox),1HmeANWuuCP6ldvGgKwTLi,John Summit,Hungover (with Camden Cox),0.607,0.875,2,-4.384,0,0.0356,0.016,0.0444,0.0855,0.0935,135.961
palm of my hands,6y5HLopYu7Uu0hYwVBj4T6,John Summit,Comfort In Chaos,0.598,0.909,1,-5.363,0,0.0653,0.183,0.254,0.643,0.188,169.995
palm of my hands - Odd Mob Remix,2vxsdAnntt6eGZJJRaLBF6,John Summit,palm of my hands (Odd Mob Remix),0.823,0.908,10,-4.07,0,0.0526,0.00273,0.0838,0.0754,0.554,132.013
Focus (feat. CLOVES) - Alok Remix,2DOUbOh1k3n9Ek6Eur61K4,John Summit,Focus (feat. CLOVES) [Alok Remix],0.784,0.9,1,-4.664,1,0.0706,0.00359,0.0256,0.373,0.703,133.997
Focus (feat. CLOVES),0xaXwvcjq7aAKwMKe22Bw7,John Summit,Focus (feat. CLOVES),0.696,0.868,6,-5.768,1,0.0335,0.0114,0.0367,0.143,0.266,127.971
Where You Are,4qDpLaFGf5ampf2DXD2TMA,John Summit,Where You Are,0.567,0.83,9,-6.402,0,0.0349,0.00879,0.0105,0.529,0.0726,126.04
crystallized (feat. Inéz) - Subtronics Remix,0nRYjxQQCzMVyjgpTtKjLt,John Summit,crystallized (feat. Inéz) - Subtronics Remix,0.419,0.879,1,-3.472,1,0.381,0.0433,3.95e-06,0.0972,0.0398,135.049
Sweet Disposition - John Summit & Silver Panda Remix,7rXke3ttpL2uXel9Nesf4u,John Summit,Sweet Disposition (John Summit & Silver Panda Remix),0.587,0.919,11,-4.679,0,0.0429,0.0042,0.014,0.357,0.0745,125.977
light years (feat. Inéz),2wRKES8HKm4EutRHz7JD1x,John Summit,light years (feat. Inéz),0.593,0.934,4,-4.606,0,0.0412,0.00209,0.07,0.173,0.414,138.045
crystallized (feat. Inéz),6YiIWuVXS4AqF1KvUGMwyx,John Summit,crystallized (feat. Inéz),0.529,0.857,1,-4.689,1,0.075,0.011,4.85e-05,0.126,0.292,128.049
Make Me Feel,0RoGOiZUCQyqAZSPBSk75T,John Summit,Make Me Feel,0.767,0.669,2,-9.151,1,0.0449,0.0251,0.833,0.117,0.435,126.013
Where You Are - GRiZ Remix,47kEJq44ZBrRBD4gvdCu0v,John Summit,Where You Are (GRiZ Remix),0.349,0.793,9,-4.383,0,0.0474,0.0331,3.66e-06,0.745,0.249,139.641
Shiver,32VIrOsJmwvqRm4rWFBCsi,John Summit,Comfort In Chaos,0.539,0.92,4,-4.729,0,0.0341,0.00158,6.82e-05,0.16,0.0565,126.999
I Wanna Go - John Summit Remix,7J3YKBt70o8iB3UXGtUiho,John Summit,I Wanna Go - John Summit Remix,0.691,0.947,2,-3.113,0,0.0443,0.00932,0.000488,0.387,0.275,138.01
Tears (with Paige Cavell) - Max Styler Remix,26JxMzGSXgSludf9rD7yuY,John Summit,Tears (with Paige Cavell) [Max Styler Remix],0.693,0.792,2,-6.28,1,0.04,0.0345,0.79,0.103,0.209,126.991
Go Back (feat. Julia Church) - Kyle Watson Remix,4M02PvpMpHzt7zpI9RRLcF,John Summit,Go Back (feat. Julia Church) [Kyle Watson Remix],0.799,0.747,7,-7.135,0,0.0557,0.00481,0.00539,0.317,0.67,130.009
Seen It All,4LrTGjexMBUhNwj6KpdsIl,John Summit,Seen It All,0.803,0.935,8,-5.665,0,0.0772,0.00383,0.87,0.146,0.55,124.999
Summertime Chi,5rzrxBZmzo5i0kxXm10TSw,John Summit,Summertime Chi,0.672,0.818,2,-7.422,1,0.0353,0.00359,0.0264,0.49,0.394,126.001
light years (feat. Inéz) - Matt Sassari Remix,6SsF7XFsX6na9LvbrwVB1x,John Summit,light years (feat. Inéz) [Matt Sassari Remix],0.624,0.876,4,-7.223,0,0.0328,0.00135,0.482,0.156,0.0674,130.006
Shiver - Wilkinson Remix,0agheCESujTTCavYzsRco0,John Summit,Shiver (Wilkinson Remix),0.373,0.982,4,-1.76,0,0.0415,0.00888,0.00181,0.106,0.0894,173.896
Revolution,1TeVXXIAowSyOM2ziPvkkK,John Summit,Revolution,0.668,0.866,0,-5.286,1,0.0426,0.00981,0.451,0.107,0.281,129.999
Where You Are - Gorgon City Remix,6vc0R5eIkOBmqHw2CSDDBw,John Summit,Where You Are (Gorgon City Remix),0.607,0.878,4,-7.969,0,0.0524,0.0333,0.33,0.103,0.105,130.037
Focus (feat. CLOVES) - Layton Giordani Remix,0JAsZNHBg7CFm7mbUr2pSt,John Summit,Focus (feat. CLOVES) [Layton Giordani Remix],0.653,0.921,1,-3.872,1,0.0415,0.0543,0.0278,0.0859,0.205,129.015
Is Everybody Having Fun? (feat. rhys from the sticks) - bullet tooth Remix,226nEEutfbo0JerOYMePD1,John Summit,Is Everybody Having Fun? (feat. rhys from the sticks) [bullet tooth Remix],0.856,0.911,6,-4.877,0,0.149,0.00214,0.746,0.0619,0.749,132.987
Human (feat. Echoes) - Extended,0ZFhKsafnqGfQYTiAGDAUR,John Summit,Human (feat. Echoes) [Extended],0.605,0.722,5,-7.292,0,0.0378,0.0014,0.733,0.0747,0.468,125.992
Forgotten One,4GyEgH6FkD26ArhdVulDvo,John Summit,Forgotten One,0.725,0.932,1,-6.845,1,0.047,0.0583,0.858,0.114,0.564,125.987
Beauty Sleep - Vintage Culture Remix,5RbvUbdD7GTEM0MyONCgxZ,John Summit,Beauty Sleep (Vintage Culture Remix),0.662,0.754,2,-8.13,1,0.0304,0.00837,0.0418,0.122,0.346,125.994
Freeze - John Summit Remix,6N1UWEnnka2kl5g39UnoqI,John Summit,Freeze (John Summit Remix),0.606,0.81,1,-6.161,0,0.0314,0.0193,0.844,0.329,0.167,124.988
You've Done Enough - John Summit Remix,5HphzVqJsiVij9zqLF5d14,John Summit,Olympia (Remixes),0.726,0.858,0,-6.845,1,0.0365,0.00257,0.261,0.0304,0.692,126.0
I See You,1EwjQiCUwlCtnu1vEuS2sP,John Summit,I See You,0.709,0.86,7,-5.319,1,0.0427,0.00157,0.0859,0.0337,0.707,124.959
Stronger - John Summit Remix,3S8s5Uma6ZD5ktBYCFMr7c,John Summit,Stronger (John Summit Remix),0.653,0.881,9,-6.649,0,0.036,0.00364,0.423,0.0569,0.444,124.986
Addiction - Radio Edit,438GlHWeG7gSdbOfmyuUwz,John Summit,Afterhours / Addiction,0.727,0.967,11,-7.259,1,0.0529,0.0092,0.881,0.0481,0.695,126.002
Thin Line - Extended Mix,3r5awlQlgnJwKlFBBBiI0d,John Summit,Thin Line,0.82,0.862,10,-7.037,0,0.0531,0.00615,0.0669,0.0576,0.601,124.999
Connected - Edit,1ZODOdpLwgevbKoIfLrbNQ,John Summit,Connected,0.74,0.919,0,-7.094,1,0.0604,0.0608,0.862,0.0842,0.85,123.998
Afterhours - Radio Edit,23mHypc6jmk4izvMgzziic,John Summit,Afterhours / Addiction,0.804,0.907,6,-7.26,0,0.0425,0.00513,0.653,0.0618,0.77,123.005
Better Than This (Extended Mix),4CdOfXWLQxayFAqsIG1xw4,John Summit,Better Than This,0.761,0.704,0,-6.911,1,0.049,0.00187,0.517,0.0714,0.488,125.014
Sunken Place,6bwQbyKMl1vdUWXawc6BsH,John Summit,Westend Selections,0.801,0.983,1,-6.528,1,0.0625,0.00028,0.9,0.023,0.326,123.989
Bass Go - Biscits Remix,77fqKUXiQ9PY8RNJIMjLTj,John Summit,Bass Go (Biscits Remix),0.876,0.93,11,-6.254,1,0.14,0.00202,0.13,0.142,0.895,124.992
Detonate,0DABDbAh6TgoKpU4Q4o8Kz,John Summit,Dirtybird BBQ: Get Roasted,0.804,0.93,0,-4.871,1,0.0753,0.00439,0.692,0.103,0.567,125.98
Impactor,0gTQ814DM5fnvODMMnnrFF,John Summit,Impactor,0.706,0.992,0,-4.901,1,0.0503,0.00491,0.596,0.177,0.6,124.994
comedown,5NC3MxGUpRR92X0fyX6946,John Summit,Comfort In Chaos,0.62,0.874,2,-6.117,0,0.0301,0.00901,0.938,0.294,0.0435,123.029
i miss u - John Summit Remix,34rmUwuihxQqiUAn3iHLvR,John Summit,i miss u (John Summit Remix),0.643,0.878,9,-6.638,1,0.0314,0.00716,0.00908,0.13,0.765,126.009
Where You Are (Orchestral Version) - Live At The Forum,6CYWPXC27hiPCWOcYig7tz,John Summit,Where You Are (Orchestral Version) - Live At The Forum,0.44,0.899,9,-7.687,0,0.115,0.0244,0.518,0.958,0.0384,132.044
Witch Doctor,4lWGhzUW3dTPDMX9EII1Fc,John Summit,Witch Doctor,0.676,0.777,0,-6.894,1,0.0378,0.00134,0.724,0.13,0.353,125.98
Legacy,5WqkfXnfSgZexxcB7kCBYo,John Summit,Legacy,0.719,0.841,11,-7.894,1,0.0467,0.000784,0.57,0.298,0.0448,128.037
Shake & Pop - John Summit Remix,3i2AuQvSNsR6CvYDiLHWtk,John Summit,Shake & Pop (John Summit Remix),0.54,0.813,7,-7.282,1,0.0396,0.011,0.656,0.443,0.106,128.976
Don't Forget My Love - John Summit Remix,1iKiLPkFnYhbCm5uvaDwjS,John Summit,Diplo (Deluxe),0.566,0.958,11,-5.926,0,0.0354,0.000578,0.325,0.418,0.133,123.983
Trip,7cSwnZHKVh4ldzfOgGyddo,John Summit,Dimension,0.859,0.873,11,-6.848,1,0.0405,0.00369,0.886,0.626,0.507,124.006
Illusions - Edit,1oD8pSZUbhkSr4oNN4BaGN,John Summit,Connected,0.825,0.829,7,-7.878,1,0.0426,0.00665,0.635,0.109,0.33,126.034
Trompetas,7aFPUBsyj6dKfmtTOqueik,John Summit,Trompetas,0.805,0.99,6,-6.316,0,0.0438,0.00246,0.889,0.0432,0.497,124.003
Where You Are (Mixed),6eD1AddpKhoJh6ALoGBEBk,John Summit,Nocturnal Vibes #325 (DJ Mix),0.636,0.742,9,-7.358,0,0.0315,0.00466,0.0596,0.12,0.0649,126.025
Make Me Feel - Extended Mix,6jD63ztg0HQu2fSXFixsGY,John Summit,Make Me Feel,0.808,0.767,2,-9.326,1,0.0645,0.00297,0.893,0.0212,0.678,126.005
In Chicago - Extended Mix,0fERkikGLBAmIWgRvbnTEv,John Summit,In Chicago,0.797,0.861,2,-7.21,1,0.0505,0.000297,0.794,0.0685,0.806,126.002
Go Back,6x34wpCjTXB90piXWAa4gn,John Summit,EDM Party 2025,0.316,0.936,7,-1.654,0,0.0765,0.143,0.000179,0.108,0.0427,174.019
Show Me - Extended Mix,0vUp6nXeJp7Razxnsorgfe,John Summit,Show Me,0.743,0.708,5,-5.543,0,0.0438,0.000789,0.248,0.0251,0.636,126.002
