track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Hold Onto Me,4b6wQ8l2RvL6NklH6GDN8o,Kai Wachi,Hold Onto Me,0.37,0.718,1,-3.533,0,0.0372,0.198,0.0,0.246,0.233,150.008
Skull Machine,2cOWubLiLHeYDpUMIxq0qM,Kai Wachi,Portals,0.511,0.933,8,-2.63,0,0.16,0.138,1.38e-05,0.131,0.446,144.328
Voice,1xnRE5AtAXEOIDroXADSQx,Kai Wachi,SKINS,0.469,0.87,11,-2.885,0,0.0913,0.0184,0.0,0.0689,0.0469,168.252
Demisaur,6cY37yS9qRbBNgkt52z86V,Kai Wachi,Demisaur,0.386,0.986,2,-0.391,1,0.529,0.00226,0.000491,0.254,0.226,73.194
Buried Beneath You,0s21wy24ori9qnxzNBIHJd,Kai Wachi,Buried Beneath You,0.383,0.813,10,-1.91,1,0.0623,0.0137,1.6e-06,0.385,0.207,139.994
Photograph,0IOkIDlm2Ikdhjr5EVVzMM,Kai Wachi,DEMIGOD,0.528,0.691,0,-6.171,1,0.0906,0.0248,0.000168,0.132,0.183,112.759
Forget My Name,2MHuZf6dkhvAMa5UbKZvZT,Kai Wachi,Forget My Name,0.293,0.969,1,-0.571,0,0.477,0.000894,0.0,0.112,0.132,142.096
ASMODEUS,3gzv9P1H1OYNrSetNaEUbI,Kai Wachi,ASMODEUS,0.499,0.994,1,-2.06,1,0.329,0.00686,0.902,0.765,0.201,150.183
Run,7Ay1JeXkSBpZRMB6dYHc3k,Kai Wachi,Run,0.506,0.581,2,-7.078,0,0.0384,0.0508,3.13e-06,0.114,0.216,149.78
Holding Onto Us,1W6GYBRn6jM6rGxmMFYlyu,Kai Wachi,Morphosia,0.507,0.822,1,-1.917,0,0.069,0.142,0.00101,0.0871,0.106,131.019
The Keeper,5b8HljTQ1CTnsloRU8oeNK,Kai Wachi,The Keeper,0.615,0.926,9,-5.857,1,0.355,0.0553,9.42e-06,0.197,0.418,140.136
Drown,3oh96zFJQ3wDLW9hv0pDKQ,Kai Wachi,Drown,0.603,0.935,1,-0.874,0,0.0951,0.0599,1.79e-05,0.121,0.243,129.988
Glow In The Dark,4VQR7e1OXp1gJcX72FJNv7,Kai Wachi,Glow In The Dark,0.459,0.642,1,-3.222,1,0.0375,0.0579,0.0,0.177,0.0757,159.934
After All,3Q5GV8sclGtsOh722kOUuj,Kai Wachi,After All,0.395,0.696,0,-4.673,0,0.0406,0.0202,0.000106,0.19,0.0847,150.217
Riot,2npMfTDQAwY1Jga13HS01O,Kai Wachi,Thrones of Blood,0.522,0.992,2,-0.045,1,0.158,0.000656,0.206,0.336,0.0711,139.985
