track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
B O D Y,0Uwq5TKfVfanVZzoVCz620,KETTAMA,Bucklyn Bridge EP,0.875,0.945,6,-7.564,0,0.0669,0.00448,0.809,0.0802,0.761,128.982
Picanya 2400,59203Efxa1Tn5gKDDAutYz,KETTAMA,Picanya 2400,0.631,0.9,6,-9.355,0,0.0455,0.000387,0.785,0.0898,0.5,135.008
It Gets Better - Forever Mix,5fEg39wxUxNG9Ig5cFpWlc,KETTAMA,Archangel,0.515,0.827,10,-5.448,0,0.0503,0.00178,0.0169,0.102,0.337,140.041
Fly Away XTC - Extended mix,6LJlL0jRW3xVPagTKsxqWX,KETTAMA,Fallen Angel,0.547,0.991,8,-6.391,0,0.0604,0.000858,0.409,0.0695,0.559,141.997
The Way You Feel,2skx46DmFAp4lcS3Xt26AF,KETTAMA,The Way You Feel,0.597,0.847,2,-8.224,0,0.0428,0.00464,0.795,0.119,0.585,130.002
Sound of the Police,7zLhledL7hbp5QuSIozS3h,KETTAMA,As You Were,0.645,0.993,7,-4.148,1,0.169,0.000723,0.715,0.25,0.433,142.015
Freq U All Nite,5MGAIZetKOO3Pudezys0Zz,KETTAMA,Freq U All Nite,0.84,0.458,9,-8.61,0,0.216,0.151,0.119,0.117,0.536,150.037
Fen Violet,4BrLRVfZF5Z8ld226xISH0,KETTAMA,Fen Violet,0.599,0.837,9,-9.36,1,0.0529,0.0072,0.00174,0.134,0.191,136.958
Rok da House,5Yb7tXruqWeSS0A1WZXtSO,KETTAMA,As You Were,0.65,0.959,9,-7.276,1,0.064,8.72e-05,0.168,0.042,0.512,138.043
Slaap Lekker,1HEzQOH6ZiXr78rOQUT8qc,KETTAMA,G-Town 004,0.604,0.986,0,-5.777,1,0.0448,5.24e-05,0.927,0.071,0.692,136.989
Yosemite,6jjO8gepkOC5O1K2DBdxFM,KETTAMA,It Gets Better (Forever Mix),0.569,0.944,8,-6.102,1,0.0577,0.00175,0.35,0.42,0.426,144.005
11th of January,1Mdpizfu07Rmf3VMWLpnpU,KETTAMA,Archangel,0.254,0.397,8,-9.34,0,0.0339,0.108,0.923,0.113,0.0374,99.177
Air Maxes,5QshFfBB7hHrDuzjHLtZC8,KETTAMA,Archangel,0.637,0.444,6,-11.365,1,0.218,0.584,1.2e-06,0.109,0.185,141.964
Samba Soccer 2001,4Al04ZEgw1gwYVzaD7Csmy,KETTAMA,G-Town 004,0.671,0.937,8,-7.039,1,0.0604,5.01e-05,0.828,0.576,0.842,140.023
1997,74Gn63ohpUUXsGdp9JAFYB,KETTAMA,Fallen Angel,0.644,0.952,11,-5.493,0,0.0569,0.00015,0.611,0.0201,0.796,142.009
Fade Away (It's a Feeling),6gIwOjvo85GRt3CYvJzujn,KETTAMA,Archangel,0.513,0.978,0,-4.721,1,0.138,0.0109,0.639,0.222,0.609,132.997
Yosemite - Wilkinson Remix,2l4aIc0G4KpX0kygZy1Tnd,KETTAMA,Yosemite (Wilkinson Remix),0.426,0.96,8,-2.581,1,0.0502,0.00311,0.658,0.165,0.0668,173.977
Do Not Go Gentle,2rsaB3NKFw6eXCC0BSj8xU,KETTAMA,Archangel,0.377,0.727,10,-7.828,0,0.0767,0.00756,0.862,0.104,0.0787,141.944
Temperature Rising,4EW9Hl30Iw95lNGvbDL4IP,KETTAMA,Temperature Rising,0.767,0.935,9,-7.268,1,0.0612,0.00027,0.344,0.0411,0.528,129.994
Archangel,3ofFprvy4v6czkx7mOUI7P,KETTAMA,Archangel,0.36,0.327,0,-9.559,1,0.0276,0.00388,0.018,0.135,0.135,81.983
Man With a Second Face,2vf8mbUbkwCMnW1jqRcKSO,KETTAMA,Archangel,0.537,0.976,11,-6.983,1,0.0495,0.00152,0.871,0.0688,0.752,137.993
Split in two minds,73IKtXEHStqaIZZUAo4eAt,KETTAMA,Archangel,0.419,0.551,8,-7.901,1,0.0646,0.0508,2.33e-05,0.0826,0.046,149.89
Feeling Emotions,2B20oF05OKTllzQZLQuGN7,KETTAMA,Fallen Angel,0.591,0.981,10,-4.79,1,0.0471,0.0011,0.00746,0.149,0.816,136.008
g-town euphoria (luna) [edit],2Oru5dabtJj9PPGuz7FpIT,KETTAMA,g-town euphoria (luna),0.511,0.927,5,-10.991,0,0.0537,0.00114,0.583,0.336,0.273,142.029
Eastside Avenue,4vmngJmYQGsIw8cwZ1J41G,KETTAMA,Eastside Avenue,0.629,0.89,10,-6.903,0,0.0659,0.00541,0.767,0.132,0.32,127.954
Gotta Have It,0SitUe3fXitHapUFgXAri7,KETTAMA,Archangel,0.598,0.977,0,-3.963,0,0.0619,0.000834,0.0134,0.288,0.7,131.978
Airmaxes - KETTAMA Mix,07LA2nOzirJj27gF8Gnj32,KETTAMA,Archangel,0.539,0.793,6,-6.71,1,0.0523,0.312,0.00941,0.109,0.094,141.968
Sort It Out,7GPLRckCBUZSq0nPkw539N,KETTAMA,Sort It Out,0.496,0.969,9,-6.072,0,0.0551,0.0004,0.768,0.616,0.215,144.98
Purple Hearts,05DxWVVBce5KlpItHkmrM5,KETTAMA,Purple Hearts,0.639,0.906,11,-4.019,0,0.074,0.0527,0.00651,0.272,0.511,134.025
Fallen Angel,67zHx368N96FXQrz0iXzWO,KETTAMA,Fallen Angel,0.559,0.943,11,-5.858,0,0.0377,7.46e-05,0.653,0.0709,0.724,141.981
The Miracle Makers,5mLD41JRIypj5WXZdavfh4,KETTAMA,The Miracle Makers,0.576,0.993,6,-5.754,0,0.102,0.000379,0.466,0.43,0.331,140.007
Fly Away XTC,5G4sUncALYICBJzxsRBrhn,KETTAMA,Fallen Angel,0.517,0.986,8,-6.182,0,0.0797,0.00186,0.272,0.329,0.472,141.993
Take Me,0hGWiC1tLqKNSA8CXZpN7D,KETTAMA,Archangel,0.605,0.834,1,-7.216,1,0.0931,0.000643,0.738,0.313,0.256,139.005
Blessings - KETTAMA Remix,4dBT9YgndxaNS0Fp1PSHZ0,KETTAMA,Blessings (KETTAMA Remix),0.631,0.893,5,-6.042,0,0.0334,0.000857,0.809,0.0407,0.382,129.961
I Believe,6oezzvqFntOUamuBZPixLx,KETTAMA,Archangel,0.703,0.95,5,-5.17,0,0.0349,0.00212,0.764,0.0915,0.588,129.97
Picanya 2400 - Edit,5DiQ3VjKVa9GgSoKj4Fwgh,KETTAMA,Picanya 2400,0.593,0.911,6,-8.126,0,0.0377,0.0004,0.672,0.0503,0.525,134.988
It Gets Better - Chris Stussy Remix,4sdydeR6pH5us3lD4Ttu7O,KETTAMA,It Gets Better (Chris Stussy Remix),0.559,0.927,5,-7.565,0,0.0349,0.0806,0.386,0.103,0.526,136.031
If U Want My Heart,001FYsI7fPucdnDc2twhuu,KETTAMA,Archangel,0.486,0.977,11,-5.217,0,0.0529,0.00148,0.523,0.111,0.462,144.988
Yosemite - Philip George Remix,6ckbOEFwlBqzUnXO0rPeiE,KETTAMA,Yosemite (Philip George Remix),0.666,0.931,5,-6.399,0,0.0429,0.042,0.615,0.139,0.28,130.001
A Place 4 MNU,6Fi1TgD8DWMUOWxpQJ4KdK,KETTAMA,Close Your Eyes EP,0.317,0.932,1,-7.411,1,0.0387,0.000105,0.891,0.283,0.11,133.609
Air Maxes - KETTAMA MIX,5hQ5ggtYhcrglIeVykJstC,KETTAMA,Air Maxes,0.539,0.837,6,-5.405,1,0.0496,0.321,0.00676,0.114,0.106,141.97
Found My Angel,7wuqW2E6878nK7cJCnRmJk,KETTAMA,Fallen Angel,0.549,0.95,10,-5.348,0,0.0626,3.11e-05,0.877,0.0889,0.289,133.977
Saint Laurent,5OgqVZN1rvrgAwVRUeKfV2,KETTAMA,Steel City Dance Discs Volume 26,0.569,0.962,0,-7.979,1,0.0416,0.000238,0.792,0.0392,0.32,140.002
As You Were,596gFAaeZ6xAf74wKehDOY,KETTAMA,As You Were,0.391,0.814,1,-10.517,1,0.0949,0.000762,0.527,0.244,0.328,169.371
Higher (Steel City Power House) - Edit,56wpfdcyKU88XKTFV5Tq0R,KETTAMA,Higher (Steel City Power House),0.595,0.844,1,-8.05,1,0.052,0.000106,0.515,0.1,0.262,130.984
Close Your Eyes,1JkiUUejePFuSJkbCxiOta,KETTAMA,Close Your Eyes,0.574,0.945,6,-5.66,0,0.0551,0.000396,0.787,0.2,0.18,140.01
