track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Metro,1YWLrDcr0yl0GfeDvuGX1z,Kevin de Vries,Metro,0.632,0.961,9,-3.972,1,0.0502,0.000946,0.802,0.123,0.0399,125.034
Dance With Me,0VbexUMmRVxsshn5PPqrfW,Kevin de Vries,Dance With Me EP,0.793,0.703,6,-7.176,0,0.0629,0.00203,0.549,0.114,0.463,124.005
Saga,1uujki6DaepMXtCRv4ySKi,Kevin de Vries,Saga,0.581,0.884,11,-8.267,0,0.0372,0.00192,0.921,0.111,0.0356,124.994
First Time,54zr2Mbtxz5LWFNr4VRVHJ,Kevin de Vries,The End Of Genesys (Deluxe),0.501,0.939,9,-5.365,0,0.0794,0.00162,0.708,0.258,0.0398,130.001
The Sign - Kevin de Vries Remix,2DmfOWtarAXdIUYLr0ZSvM,Kevin de Vries,Genesys II,0.695,0.787,7,-6.864,0,0.0376,0.0304,0.495,0.11,0.104,126.016
Another World - Kevin de Vries & SLVR Remix,70hIxHhQLcxmqwxfcYkoUf,Kevin de Vries,Another World (Kevin de Vries & SLVR Remix),0.564,0.841,11,-6.569,0,0.0324,0.00229,0.777,0.368,0.215,126.991
Arrakeen,3hPgrNnrNfibAb5JZYpvXo,Kevin de Vries,Saga,0.649,0.797,7,-8.112,1,0.0458,0.00225,0.849,0.267,0.044,124.999
Mwaki - Chris Avantgarde & Kevin de Vries Remix,3vjOfogg3ahZQdw2IhYnNi,Kevin de Vries,MWAKI: REFRESHED,0.669,0.811,7,-7.988,0,0.0476,0.0156,0.748,0.0969,0.236,126.007
Tokyo Nights,5Qnlnqiq360QFO852tbYr0,Kevin de Vries,Tokyo Nights,0.707,0.917,4,-7.129,0,0.0482,0.027,0.907,0.11,0.0875,124.967
Killa,0InawUZWJfEPkPbMDbdswr,Kevin de Vries,Killa,0.72,0.942,4,-4.936,1,0.0523,0.0174,0.716,0.109,0.761,130.018
Part Of Me,1RU86zP9rjDtmrOZ2DSJ8H,Kevin de Vries,Saga,0.695,0.638,0,-7.476,0,0.0385,0.00451,0.204,0.0851,0.076,125.003
Pegasus,0ly6MZRi74jcRezlEYqeeJ,Kevin de Vries,Pegasus,0.664,0.68,0,-8.295,1,0.0431,0.0262,0.873,0.101,0.249,124.991
Gate,0lenLbjzr7nDOUt5Ll9iwf,Kevin de Vries,Gate / Masterplan,0.648,0.885,2,-7.915,1,0.0534,0.00177,0.854,0.128,0.0312,126.966
"Outomorrow - Anyma, Kevin de Vries Remix",2VraIbWVrzPs2YwGzjNPE3,Kevin de Vries,A Magic World (Remixes),0.679,0.82,0,-8.343,1,0.045,0.0147,0.87,0.105,0.166,125.992
Mind Control,4HSLPlVJBKKD0e6v3wrMNJ,Kevin de Vries,Mind Control,0.73,0.838,6,-8.732,1,0.0679,0.0223,0.786,0.106,0.174,127.005
Dance With Me (Kölsch Remix),0XXt5QBNPxkUgyW03lNq3J,Kevin de Vries,Dance With Me EP,0.705,0.709,2,-9.17,1,0.042,0.0026,0.885,0.11,0.039,128.005
Just Like Home - Kevin de Vries Remix,1pd9wAa9rKl3s6VMJ2wnci,Kevin de Vries,Promised Land (Remixes),0.61,0.734,10,-7.185,0,0.0342,0.00229,0.0675,0.0904,0.0639,125.994
Dragon of Eden - Original Mix,7lOswwKheYUuvxmJsN2JV4,Kevin de Vries,Utopia EP,0.702,0.678,10,-7.769,0,0.0511,0.000216,0.921,0.108,0.0328,125.016
Saltwater - Kevin de Vries Remix,7dQdcrLZiCXaL1zVgPaCiz,Kevin de Vries,Behind The Sun (2020 Anniversary Mixes),0.69,0.666,5,-11.263,0,0.0454,0.0268,0.794,0.0715,0.0432,127.994
Mondfinsternis,5rjP1klQ4Y6xB5zwfZULnP,Kevin de Vries,Hoffnungsschimmer EP,0.732,0.541,1,-10.698,0,0.0637,0.181,0.915,0.111,0.285,125.006
Masterplan,4cXvikeQCGATk8YekOCeHE,Kevin de Vries,Gate / Masterplan,0.754,0.872,7,-6.054,1,0.0384,0.00119,0.857,0.1,0.189,125.01
Hoffnungsschimmer,3IQ3kFgIcPTCdmQa7pOUfq,Kevin de Vries,Hoffnungsschimmer EP,0.749,0.842,8,-7.222,0,0.0742,0.103,0.817,0.244,0.812,120.026
All Night - Kevin De Vries Remix,3DzX6TFiElYym9LAecMZW4,Kevin de Vries,All Night (Kevin de Vries Remix),0.648,0.761,9,-10.38,1,0.047,0.0112,0.596,0.639,0.155,130.011
Polar Peak,5mxVNprwUAxOvNkauF4518,Kevin de Vries,Unity Pt. 2,0.802,0.467,0,-8.994,1,0.0572,0.00438,0.917,0.0969,0.131,125.007
Lotus - Original Mix,3YWIQ15NGgZjWSoooLHPXB,Kevin de Vries,Utopia EP,0.709,0.681,1,-8.692,1,0.0442,0.000674,0.919,0.106,0.0689,128.012
Das Licht,4S2HFmznjasZXwL5axqTaP,Kevin de Vries,Hoffnungsschimmer EP,0.746,0.519,1,-9.364,1,0.0473,0.0758,0.689,0.0798,0.0803,122.028
Condition,4lwQPFFEKjOXeiJUZl5n5A,Kevin de Vries,Mind Control,0.763,0.777,7,-8.638,1,0.0636,0.0184,0.878,0.0828,0.0394,125.004
Skydive (Kevin de Vries Remix),6e8dQ0N8o7e51V76B6EpT2,Kevin de Vries,Skydive (Kevin de Vries Remix),0.711,0.957,10,-8.133,0,0.0409,0.712,0.892,0.136,0.0391,126.956
Aratak,2EjtSyIBguBuThtqG6cieT,Kevin de Vries,Aratak,0.827,0.453,5,-11.173,1,0.0617,0.114,0.862,0.102,0.0519,125.008
Dystopia - Original Mix,5nt8opvt32XjKdgc77rZrY,Kevin de Vries,Utopia EP,0.725,0.781,7,-9.275,1,0.0526,0.00173,0.918,0.107,0.118,125.992
Sciamachy,30xHLr3Cl43o8BHmpVOdeR,Kevin de Vries,Aratak,0.79,0.902,10,-11.629,0,0.0729,0.0285,0.899,0.0975,0.097,126.0
Biohazard,3rBcYMDgBjm58wLQGMDRwU,Kevin de Vries,Unity Pt. 3,0.677,0.58,8,-8.919,1,0.0415,0.0028,0.854,0.101,0.242,126.033
Omertà,2B6CdB3e2AnonDAQ6SMEra,Kevin de Vries,Unity,0.848,0.458,6,-10.208,1,0.0775,0.00515,0.911,0.105,0.0692,125.0
Isaac - Denis Horvat & Kevin De Vries Remix,1DIjRLAc7a8ImZ4bHRhzmK,Kevin de Vries,Boavista Remixes,0.777,0.657,7,-11.608,1,0.0454,0.0014,0.799,0.148,0.0336,123.02
Vertigo,5B3aPS91anMHqoqqFazZvL,Kevin de Vries,Vertigo,0.772,0.734,9,-11.399,1,0.0488,0.148,0.891,0.101,0.0314,124.982
Hear Me Out - Kevin de Vries Remix,3vq93GY2NQtvtpcJrLQ9QU,Kevin de Vries,Hyperfall (Remixed),0.797,0.56,0,-9.174,0,0.045,0.0134,0.186,0.0992,0.124,125.979
Mângata,3QC8vfD9sAIzmyYeRbuI2B,Kevin de Vries,Vertigo,0.771,0.639,4,-9.727,0,0.0499,0.0002,0.725,0.1,0.0342,126.023
Can You Hear The Train - Hans Bouffmyhre Remix,17OKls6BfEQmSAYwPKSlIl,Kevin de Vries,Can You Hear The Train,0.764,0.874,1,-11.003,0,0.0673,0.00212,0.878,0.0888,0.267,129.006
In A Split Second - Forgetful Informant Remix,44eUtaG9Mu84ylvRq8l9Bi,Kevin de Vries,A Journey Through Life Remixes,0.659,0.62,4,-14.188,0,0.107,0.204,0.928,0.109,0.148,133.002
A Journey Through Life - Escape To Mars Remix,6cyDaQfnnz1gGzwc9D8JSz,Kevin de Vries,A Journey Through Life Remixes,0.588,0.486,1,-15.455,1,0.035,0.146,0.86,0.112,0.0375,132.996
