track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Can't Stop Loving You,7D9nLNkpBM3X43NTTK6ODa,KI/KI,Can't Stop Loving You,0.47,0.912,11,-6.372,0,0.0696,0.035,0.81,0.0733,0.146,155.237
5 Mins Of Acid,6NLvW45mqeoctfNA2YmPMr,KI/KI,slash 010 - 5 Mins Of Acid,0.755,0.989,1,-8.197,0,0.0811,0.174,0.903,0.364,0.219,144.998
Losing Control,3gJ16QEGGhLFPNLvbXgB1u,KI/KI,Losing Control,0.655,0.948,5,-5.153,0,0.0501,0.0112,0.676,0.333,0.675,147.984
What's a Girl to Do in '25,3OgdqZIgGIqusstV9IqX6p,KI/KI,What's a Girl to Do in '25,0.672,0.871,8,-5.716,1,0.0347,0.0334,0.893,0.187,0.217,146.002
3.5 Mins Of Acid,5ybhzc1JrHibxZCqh67DMu,KI/KI,slash 010 - 5 Mins Of Acid,0.752,0.987,10,-8.289,1,0.0808,0.151,0.904,0.362,0.276,145.018
Getting Ready For The Party,6HUZoMili2b3e6X81OPIQd,KI/KI,slash 011 - Getting Ready For The Party,0.65,0.984,8,-5.765,1,0.0546,0.0566,0.836,0.286,0.666,145.999
Put Your Bassline,6v7konxFReKxhPmx1E3YVi,KI/KI,Put Your Bassline,0.551,0.986,0,-5.33,1,0.0497,0.000547,0.407,0.122,0.557,145.989
Leave it to the vibe,3lYjpF9y8rLpDjKtPVIg7P,KI/KI,slash 004 - Leave it to the vibe,0.606,0.902,1,-8.608,1,0.0545,0.0003,0.792,0.0701,0.512,144.988
To the vibe (rework),51Kc6kYlpkoPAGj91BEcx2,KI/KI,slash 004 - Leave it to the vibe,0.746,0.993,1,-8.22,1,0.0778,0.000176,0.886,0.0799,0.0792,147.997
Getting Ready For The Party (Mixed),0EChNFm1Uborad91HmXqMW,KI/KI,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.754,0.959,7,-7.443,1,0.0846,0.000884,0.674,0.0946,0.947,144.932
Don't Stop - emotional mix,5y5Hz9N0TUzO2DslpSgKmK,KI/KI,slash 010 - 5 Mins Of Acid,0.55,0.934,1,-7.786,0,0.0345,0.0427,0.804,0.106,0.189,146.988
Put Your Bassline (Mixed),4MDjS1b9VSGCjL7bx0kdQ8,KI/KI,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.574,0.99,0,-7.288,1,0.0414,7.91e-05,0.742,0.123,0.583,145.007
Don't Stop - drums & acid mix,3Lfuh4PLekVuYmEUmgRTgY,KI/KI,slash 010 - 5 Mins Of Acid,0.593,0.982,8,-6.595,0,0.0498,0.0511,0.789,0.111,0.286,143.022
Leave it to the drums,1lWR4OctgQCJFBV2TmR71E,KI/KI,slash 004 - Leave it to the vibe,0.757,0.979,8,-9.007,0,0.0839,0.00528,0.966,0.103,0.145,147.994
To Nights - KI/KI Remix,68KweGBSQfD2jrUvKMuASE,KI/KI,slash 001,0.714,0.886,5,-9.019,1,0.0484,0.038,0.878,0.116,0.341,148.006
Don't Stop - drums & acid mix (edit),6hvA3fjfQdWaZlc74FrahJ,KI/KI,slash 010 - 5 Mins Of Acid,0.546,0.982,8,-6.714,0,0.05,0.0779,0.78,0.111,0.247,142.987
Don't Stop (Mixed) - drums & acid mix,0tikrHUbyFzcNBhQvxwOVi,KI/KI,A State of Trance Year Mix 2024 (Mixed by Armin van Buuren),0.477,0.999,11,-7.22,0,0.047,7.16e-06,0.557,0.303,0.452,140.027
Don't You Want Me (Mixed) - KI/KI Remix,0Rufo4Hiq4YWdbUxsqI7S0,KI/KI,A State of Trance Year Mix 2024 (Mixed by Armin van Buuren),0.575,0.986,11,-6.052,0,0.074,6.88e-06,0.965,0.297,0.164,140.983
Nothing Lasts Forever (with Grimes) - KI/KI Remix,4kN0BO9g7IVcvIJxXDKgrR,KI/KI,Nothing Lasts Forever (Remixes),0.538,0.999,0,-5.394,0,0.0992,0.0104,0.62,0.0849,0.0815,144.981
Getting Ready For The Party - instrumental,5vO723Rml9bx16DJdmT7fd,KI/KI,slash 011 - Getting Ready For The Party (Instrumental),0.754,0.984,7,-7.091,1,0.0619,0.0164,0.907,0.132,0.58,146.02
Put Your Bassline - Extended Mix,0JeGn33DPJ8osjdppg8AxF,KI/KI,Put Your Bassline,0.583,0.961,7,-5.383,1,0.0489,0.000697,0.333,0.239,0.226,146.014
Getting Ready For The Party (ASOT 1207),6L5Ct9t5U387fNpZNInkKk,KI/KI,ASOT 1207 - A State of Trance Episode 1207 [Including Live at Tomorrowland Belgium 2017 (Highlights)],0.633,0.966,8,-5.76,1,0.052,0.0168,0.777,0.112,0.536,145.989
Don't You Want Me (ASOT 1184) - KI/KI Remix,1pfB5UFit1nQ9F30fZNrtJ,KI/KI,ASOT 1184 - A State of Trance Episode 1184 [Including Live at Tomorrowland 2022 (Highlights)],0.559,0.921,2,-6.298,1,0.0477,0.000131,0.758,0.325,0.28,141.927
Emerald - KI/KI Remix,4m3YDJsJBYA0rVlpYb91UL,KI/KI,slash 006 - Emerald,0.7,0.87,1,-10.67,0,0.0576,0.296,0.775,0.306,0.518,157.99
5 Mins Of Acid (ASOT 1203),6Se7M0ziiKiPly87FbZC83,KI/KI,ASOT 1203 - A State of Trance Episode 1203 [Including Live at Ultra Music Festival Miami 2017 (Highlights)],0.739,0.972,9,-8.26,1,0.0855,0.154,0.919,0.0888,0.242,145.007
Nothing Lasts Forever (ASOT 1159) - KI/KI Remix,0NrQP7kiebOvQb47w2tAb1,KI/KI,ASOT 1159 - A State of Trance Episode 1159 [Including Live at Ultra Beijing 2018 (Highlights)],0.487,0.969,11,-5.942,0,0.0757,0.000715,0.4,0.747,0.135,139.861
Don't You Want Me (ASOT 1182) - KI/KI Remix,7g7lRtthEeNGTiI8YHAfRY,KI/KI,ASOT 1182 - A State of Trance Episode 1182 (Including Live at Tomorrowland 2020 - Around The World),0.539,0.943,9,-6.309,0,0.0467,0.000342,0.796,0.35,0.399,144.981
Don't You Want Me (ASOT 1188) - KI/KI Remix,6AS5RhjJMERGWNfXaneL5e,KI/KI,"ASOT 1188 - A State of Trance Episode 1188 [Including A State of Trance, Ibiza 2024 (Mixed by Armin van Buuren)]",0.543,0.949,9,-6.797,0,0.0507,0.00204,0.858,0.0891,0.445,146.053
