track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
say my name,6QdcNiCXfLzos3EynD3pHf,kimj,KOREAN,0.644,0.969,1,-0.506,1,0.155,0.00736,0.00351,0.343,0.251,129.021
fire music daisuki,5FER4VnrkMwCry3D28st4y,kimj,KOREAN,0.589,0.853,1,-0.504,1,0.392,0.0419,0.000101,0.184,0.489,140.911
hongdae opioids,2A4PalS1cWFWo1VDaSMeex,kimj,KOREAN,0.578,0.949,7,-1.337,0,0.403,0.0544,3.32e-05,0.207,0.0961,143.934
crash out,4O4heyIuOejrwrZW7IfmoN,kimj,KOREAN,0.747,0.971,8,-0.072,1,0.116,0.0198,0.000337,0.419,0.403,127.008
hi wake tf up plz,4D2oLlziMMJimTkHzGv5bF,kimj,KOREAN,0.607,0.953,6,-0.918,0,0.306,0.162,0.000296,0.0796,0.335,94.641
us 2 lets go,2SZO8v5KO72RaNAn2P8QTe,kimj,KOREAN,0.646,0.715,11,-2.257,0,0.291,0.026,5.84e-06,0.0528,0.254,127.823
taegeuk angel,0kmoUEZTq27k2LUAqzTvpv,kimj,KOREAN,0.338,0.797,7,-2.996,0,0.0921,0.0656,0.033,0.193,0.0959,184.221
在日,3HeUsDRW6D1JWBmaeMenxh,kimj,atarashi zainichi,0.677,0.917,8,0.873,1,0.203,0.0209,1.42e-05,0.184,0.726,129.104
okane ga suki,20G6aO7VPfFvRUj9QsAAen,kimj,atarashi zainichi,0.488,0.942,7,0.426,1,0.164,0.0152,0.0581,0.331,0.127,141.766
時間があれば会おうね,1lRz9MIX2YkzQuykYRCYzQ,kimj,atarashi zainichi,0.719,0.66,7,0.451,1,0.0429,0.212,0.00237,0.499,0.735,126.985
chōsenjin,0eNvGfa3hqkVQ27P8bh2Ce,kimj,atarashi zainichi,0.335,0.888,9,-0.096,0,0.0548,0.00559,0.00111,0.314,0.218,143.696
最後のメッセージ,7GuA64WVQRrOfAZISPMCoe,kimj,atarashi zainichi,0.762,0.776,8,-1.772,0,0.037,0.15,0.0984,0.164,0.613,127.994
기집애 무빙,4Dh17l188AT5asT2pki2mn,kimj,싸이버 김제이,0.715,0.695,0,-2.81,1,0.0522,0.192,0.0,0.175,0.779,144.071
써밋,3xyd6yNpUNo2UOl6jmoVLp,kimj,싸이버 김제이,0.825,0.915,1,-2.993,1,0.167,0.195,1.51e-06,0.0755,0.87,110.636
오빠,3CeSRMBAEU58ygwG0EPx3p,kimj,싸이버 김제이,0.738,0.66,1,-3.181,1,0.0479,0.138,0.0,0.0862,0.882,161.032
성수역,4Wcm2qEpBpRaiVDviAd3sD,kimj,싸이버 김제이,0.633,0.719,1,-1.124,1,0.0397,0.296,2.12e-06,0.112,0.509,151.787
레스 퍼킹 고,0RTRxVPJw4zwUcAtirWTqG,kimj,싸이버 김제이,0.29,0.813,4,-0.068,0,0.0936,0.0367,6.4e-06,0.219,0.18,80.304
caminare solo,4fjAmTYFsIi60x7Yf7Z1uK,kimj,mexikoreano,0.761,0.346,8,-6.717,0,0.171,0.373,3.44e-06,0.621,0.522,171.008
find my way,0NRNKZz3lh5P2RfnbkHiUv,kimj,mexikoreano,0.851,0.483,7,-6.022,1,0.156,0.211,1.96e-06,0.0977,0.448,141.45
me fallaste,267TqxZUoXtt21ftbUZc6r,kimj,mexikoreano,0.738,0.743,8,-7.258,1,0.182,0.613,4.26e-06,0.108,0.415,144.649
TVBEN,6YlSx4PwZN6m6vshxUZ4sB,kimj,mexikoreano,0.812,0.386,10,-9.435,1,0.157,0.735,1.31e-06,0.0901,0.679,144.761
whats the use?,08lJTMenPqWfCSRsO6c6SU,kimj,mexikoreano,0.72,0.421,7,-10.371,0,0.142,0.901,0.0,0.127,0.209,151.589
weak loop,5hCwVzQoig8xQZp4E13IaV,kimj,time trial,0.299,0.366,4,-8.418,0,0.0471,0.648,0.0,0.107,0.512,169.079
ceres,7B5jghhgMLovjAKakSb94O,kimj,time trial,0.473,0.237,11,-11.694,1,0.046,0.752,0.0,0.0985,0.394,116.965
sound barrier,2tnVySfzwr45wqb8CjokX0,kimj,time trial,0.627,0.373,6,-12.969,1,0.034,0.489,8.94e-06,0.129,0.199,90.563
earth breaker,7hjidvGS25BGQF0bIIWU2Z,kimj,time trial,0.788,0.373,7,-12.659,1,0.0499,0.247,0.0,0.127,0.141,136.062
dream machine,5dVPRppV1zyiHK0uaHymYu,kimj,time trial,0.449,0.507,3,-11.395,0,0.0663,0.434,7.42e-06,0.105,0.183,135.967
Burning Angel,2sJt12jh6p5HRrkLZKpB0b,kimj,Dark Pocket,0.707,0.525,1,-6.723,0,0.0342,0.0876,0.623,0.232,0.0391,136.053
The Sun,7p0vg2gjV00nN321pGUHoX,kimj,Dark Pocket,0.631,0.307,7,-6.465,0,0.0344,0.295,0.0,0.265,0.263,77.562
Full Moon,4PsYOuA7X1aGCRSupaOq7D,kimj,Dark Pocket,0.563,0.53,9,-5.59,0,0.0355,0.111,0.0,0.143,0.18,72.545
Eternal Hearts,2lFRCYP05DW3yQPOZcXxai,kimj,Dark Pocket,0.627,0.489,3,-5.332,0,0.0398,0.867,0.0,0.151,0.226,85.859
Afterlife,2RkAo24zpRExBDtkRQFWb2,kimj,Dark Pocket,0.689,0.508,11,-4.887,0,0.031,0.428,0.0,0.269,0.355,130.102
