track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Different Side,76Lq3l4TEzt2javAjXezAr,Kinahau,Different Side,0.816,0.704,7,-7.729,1,0.0617,0.000595,0.00467,0.11,0.283,127.979
Turned Turk,2AAL6w4EqkcZL6k3CHw6kL,Kinahau,Turned Turk,0.772,0.882,1,-7.679,1,0.0662,0.0206,0.94,0.139,0.661,130.999
venus' secret,3D5K3K3kHKLkaotWQukNwP,Kinahau,venus' secret,0.854,0.884,6,-8.309,0,0.0934,0.0176,0.345,0.0718,0.825,129.009
Subject Study,21ZOkp2EWJw7whsBhds5U5,Kinahau,Subject Study,0.865,0.804,8,-8.295,1,0.196,0.00102,0.42,0.0841,0.452,129.002
Pronosticos Cachito,3lBQvzsycvySqg739cOGew,Kinahau,Pronosticos Cachito,0.839,0.888,1,-8.768,1,0.0946,0.000817,0.87,0.0483,0.322,125.984
i miss feeling everything will be alright in the end,1ke9XDaf64BgaiJbgbkm5S,Kinahau,i miss feeling everything will be alright in the end,0.767,0.477,10,-11.854,0,0.119,0.0402,0.915,0.109,0.525,126.012
buscando america pt. i - viii circle mix,5KP9nXju3i3cqRgiS6neop,Kinahau,buscando america pt. i (viii circle mix),0.844,0.889,10,-5.894,0,0.224,0.152,0.169,0.0892,0.6,129.007
i wish i could stay in a moment 4ever,7gQYNQS2kQvQKP0oPadDZo,Kinahau,i wish i could stay in a moment 4ever,0.752,0.934,7,-6.852,1,0.0412,0.115,0.93,0.614,0.0331,119.993
not really original (nuke booty),0wV2KjfwVM3pykzB8evnmx,Kinahau,not really original (nuke booty),0.709,0.934,10,-8.785,0,0.0765,0.0037,0.899,0.123,0.0691,129.998
it's all happening - 2019 mix,6m9zkqzxYWaup0OAqCixp8,Kinahau,it's all happening (2019 mix),0.563,0.717,8,-8.225,1,0.038,0.00039,0.925,0.0434,0.0416,124.039
everything is stolen (rhythm),0u4OXs9kz0HXNLOElM0D9G,Kinahau,everything is stolen (rhythm),0.865,0.504,9,-9.204,1,0.0928,0.000326,0.415,0.155,0.873,124.006
ur name pierced my eardrum,5Y5qJwyObgjUanmnC39BRY,Kinahau,ur name pierced my eardrum,0.598,0.933,5,-5.663,0,0.234,0.0132,0.853,0.879,0.151,140.015
"life, before it harmed u",2hA9FAC18iPcCOdYW62C4c,Kinahau,"life, before it harmed u",0.826,0.744,6,-8.747,1,0.0452,0.00827,0.766,0.0791,0.59,131.999
sunday is over pt iii,4ZH8ePLRkeVUj9GDceNrYl,Kinahau,sunday is over pt iii,0.859,0.56,5,-9.02,0,0.0742,0.129,0.836,0.0878,0.147,127.991
hungry for your love,3TrQN0MIxEMhE0tjK88DZq,Kinahau,hungry for your love,0.72,0.854,6,-8.705,0,0.0407,0.000721,0.865,0.121,0.284,127.004
me encanta mi gitana,4zPzCGlbjH5shHNTwNTvGl,Kinahau,me encanta mi gitana,0.819,0.836,6,-10.222,0,0.142,0.0127,0.896,0.674,0.788,117.979
Buscando A Jupiter,2KXfTQFYdwomLUuURnc2RE,Kinahau,Buscando A Jupiter,0.709,0.913,9,-7.572,1,0.0638,0.0182,0.901,0.582,0.41,132.002
42° 30' 83° interpretation,6HigcJL5DntKcwGQvgnmBl,Kinahau,42° 30' 83° interpretation,0.807,0.934,11,-6.497,0,0.0417,4.29e-05,0.87,0.343,0.0925,125.008
mamá y un par más,3qGEmgNBKcRiWyb3fwT7dH,Kinahau,mamá y un par más,0.806,0.83,8,-6.69,0,0.0474,0.113,0.826,0.0944,0.414,126.021
god began on tupi,2u8flpkOyyJsDZVnZj6VKk,Kinahau,god began on tupi,0.871,0.628,9,-8.839,0,0.161,0.00999,0.914,0.108,0.386,128.023
six decade old conversation,2Jz5HIlp2aUNheantVbyEe,Kinahau,six decade old conversation,0.825,0.767,6,-9.154,1,0.0545,0.0021,0.756,0.0861,0.68,131.996
grurial (brimes),1cWCxCPMdQNVgcydub0Nhq,Kinahau,grurial (brimes),0.38,0.807,2,-7.619,1,0.0462,0.0058,0.77,0.133,0.3,131.154
modern clicks,2GXZN1iRfXbTtU2Cckt4Ze,Kinahau,modern clicks,0.604,0.876,1,-9.22,1,0.0389,3.28e-05,0.785,0.166,0.279,126.954
jesus i presume,1Hy13ZLVXy29EYAuMMpqY5,Kinahau,jesus i presume,0.822,0.559,7,-10.454,0,0.102,0.0415,0.00272,0.0536,0.388,132.982
Wame - Original Mix,6TO5K1oJAKshGRrrEJXO1S,Kinahau,"The Deck Party, Vol. 7",0.662,0.954,0,-3.487,1,0.0589,0.0059,0.455,0.773,0.6,124.031
orange morning,3zCV9JCzY4EwmXiU0RX3CB,Kinahau,orange morning,0.785,0.42,1,-11.614,1,0.0358,0.00267,0.925,0.115,0.116,126.994
