track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Be Strong,1PI6MPyMGeRLbKDCaQ3BDi,Korolova,Be Strong,0.599,0.905,8,-6.659,0,0.0339,0.0277,0.422,0.398,0.308,121.002
Last Night (Korolova Remix),6cg1PezjpVSRsRa7f9SnIP,Korolova,Last Night (Korolova Remix),0.659,0.932,11,-6.915,0,0.0565,0.000669,0.23,0.105,0.0551,126.009
Keep It Real,5jRA4KoWwHvQFPYFOOlJS7,Korolova,Keep It Real,0.677,0.808,7,-5.382,1,0.138,0.0269,2.51e-05,0.423,0.342,128.038
Time Again,7E7POHU96XKXbiubARcPBD,Korolova,Time Again,0.629,0.865,2,-6.873,1,0.0413,0.00108,0.857,0.0613,0.242,122.989
Made Of Gold,6vykEbbae3Z5LnEMgXUsSg,Korolova,Made Of Gold,0.622,0.728,1,-7.433,0,0.0424,0.0663,0.000732,0.356,0.0744,123.941
Say - Tim Bliss Remix,68bpLf8R5ovfK9Yt8np1ou,Korolova,Say,0.664,0.794,1,-6.49,1,0.0367,0.00158,0.0285,0.12,0.192,127.017
Sweet Disposition,3iXZXikWJV9R3NuikQpLL5,Korolova,Sweet Disposition,0.364,0.758,7,-7.867,1,0.0378,0.0105,1.14e-05,0.241,0.0418,125.038
Sweet Surrender,6AYnqhQQeRdLErjV4X999K,Korolova,Sweet Surrender,0.644,0.94,4,-7.122,0,0.0833,0.00996,0.063,0.468,0.138,123.017
WHISPERS,0f6oK62DN8UqVHZzR2JKwr,Korolova,WHISPERS,0.606,0.619,7,-7.885,1,0.0347,0.108,0.427,0.0948,0.0362,123.046
Say Hello - Korolova Remix,5GYKAHbOMpg6hyHDlsKHKi,Korolova,Say Hello (Korolova Remix),0.604,0.915,2,-6.434,0,0.0458,0.00668,0.0535,0.357,0.133,126.013
Voyager,3hfJrWnILolu5Gj0nXFz2z,Korolova,Reactive EP,0.616,0.945,7,-6.539,1,0.0536,0.00101,0.841,0.331,0.159,125.006
Without You,4ctAPuTEycAxvSPrG1npKf,Korolova,Without You,0.529,0.933,4,-6.605,0,0.0403,0.000781,0.634,0.101,0.216,121.988
Prometheus,60P2oWucNoN42kb80XRiaW,Korolova,Prometheus,0.668,0.825,2,-7.142,1,0.0464,0.00139,0.799,0.107,0.0779,124.989
Reactive,5B3WvKA7ga5HTeganKqZdE,Korolova,Reactive EP,0.587,0.945,9,-5.284,0,0.0379,0.0031,0.9,0.204,0.0621,125.001
In Sequence - Korolova Remix,0Mpd2RuQqZ2pyuhuCtE3so,Korolova,Lucid Audio Remixed,0.539,0.837,7,-7.97,1,0.0331,0.0102,0.824,0.345,0.0576,123.977
Change Your Mind (Korolova Remix),5m4DAdag5uPPohjBcwAcov,Korolova,Change Your Mind (Korolova Remix),0.658,0.955,8,-7.087,1,0.0476,0.0606,0.62,0.209,0.119,125.026
Ready For More,0OQF6YgMW5gOe8k4wfvLRJ,Korolova,Ready For More,0.681,0.948,6,-7.564,0,0.0407,0.00158,0.682,0.103,0.0262,122.984
