track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"PATT (Party All The Time) - Adam Beyer, Layton Giordani & Green Velvet Remix",6DFHSmlrZLDZnXV5kTTMF6,Layton Giordani,"PATT (Party All The Time) [Adam Beyer, Layton Giordani & Green Velvet Remix]",0.645,0.847,11,-4.169,1,0.0334,0.000566,0.00619,0.105,0.34,133.062
Last Night - Anyma x Layton Giordani Remix,22hOKPKTAegLoLJKM33K4a,Layton Giordani,Last Night (Anyma x Layton Giordani Remix),0.867,0.681,1,-5.702,0,0.051,0.0858,0.304,0.0822,0.0789,129.001
When It Kicks,4SevuM9vs3a3RcKBPPfpym,Layton Giordani,When It Kicks,0.827,0.96,1,-4.128,0,0.0482,0.0448,0.769,0.19,0.35,129.018
girl$ - Layton Giordani Remix,3ZzafniLjEBqRM7GeyRcvz,Layton Giordani,girl$ (Layton Giordani Remix),0.731,0.883,0,-4.389,1,0.0345,0.0103,0.104,0.269,0.757,134.003
Phantom,4kh3BO905A2aAY17lug2eV,Layton Giordani,Phantom,0.697,0.885,7,-5.002,1,0.0554,0.00404,0.832,0.278,0.417,135.018
Feel a Vibe,3xCzJdEk1ixBUPg32TNirS,Layton Giordani,New Generation,0.707,0.927,1,-6.861,1,0.109,0.121,0.55,0.086,0.0519,131.009
Space Date - Pleasurekraft Remix,6Z7g4cGUd0qpAdaY1jadz4,Layton Giordani,Space Date Remixes,0.723,0.822,10,-9.421,0,0.0452,0.000607,0.789,0.112,0.0628,127.008
System Majority,56EXLmH4cdum3tfm9OTvSd,Layton Giordani,New Generation,0.698,0.916,2,-7.359,1,0.0491,0.00054,0.924,0.102,0.148,128.017
Act of God,5712EypGa7HP0wusr6zRFj,Layton Giordani,Act of God,0.838,0.853,11,-5.203,1,0.0526,0.00543,0.0179,0.0984,0.687,128.999
Better Than U Thought,067FrGDLXv4oDOGrcCDCA6,Layton Giordani,Better Than U Thought,0.781,0.889,0,-4.863,1,0.0562,0.00841,0.657,0.258,0.649,131.003
When I Push - Edit,5poZz8srlh8P5XjKsHKXj7,Layton Giordani,When I Push (Edit),0.686,0.952,7,-3.63,1,0.0497,0.0057,0.791,0.278,0.211,133.986
Memory Fragment,4a2lKFw7TWG3BWKfG1vZ2M,Layton Giordani,New Generation,0.723,0.853,11,-6.143,0,0.0387,0.000118,0.908,0.0313,0.399,123.0
Paranoid,1Z1GsSUY4VPnelkElZxoBr,Layton Giordani,Paranoid,0.626,0.968,7,-7.182,1,0.052,0.00504,0.257,0.381,0.0648,132.007
For a Feeling (feat. RHODES) - Layton Giordani Remix,2ae8Zir5qhtyjzlnqtJzX4,Layton Giordani,For a Feeling (feat. RHODES) [Layton Giordani Remix],0.787,0.831,7,-5.137,1,0.059,0.00344,0.698,0.0927,0.0389,127.999
Act of God (CamelPhat Remix),0jeMKIHXINpsn6b7Ym9A9h,Layton Giordani,Act of God (CamelPhat Remix),0.63,0.906,6,-7.269,0,0.0514,0.000239,0.424,0.395,0.0385,128.033
Let's Go Dancing,5se4SpUxbStmWGZngKWqLU,Layton Giordani,Let's Go Dancing,0.773,0.94,2,-4.518,1,0.053,0.000337,0.797,0.157,0.712,128.986
Deadly Valentine,1LM3MTj0LQxIdrPgsoaoEa,Layton Giordani,Deadly Valentine,0.797,0.879,11,-6.643,1,0.0498,0.00351,0.529,0.1,0.594,129.017
When It Kicks - Extended Mix,7fCSl0X2nklK5UFAho1zTm,Layton Giordani,When It Kicks,0.799,0.927,1,-4.454,0,0.0502,0.00496,0.768,0.0812,0.279,129.0
New Generation - Space 92 Remix,5R83UKYem3OpSmWCvE3Yax,Layton Giordani,New Generation (Space 92 Remix),0.708,0.952,0,-3.437,1,0.0532,0.0109,0.875,0.103,0.0621,134.977
Voicemail - Layton Giordani Remix,2Fm1CwqVf3TN0dlZSy0lyE,Layton Giordani,Voicemail (Layton Giordani Remix),0.852,0.934,6,-5.049,1,0.0433,0.00177,0.015,0.0768,0.718,126.998
Rabbit Hole,4XYMXM0swmIehCu79rEgAV,Layton Giordani,Rabbit Hole,0.678,0.908,7,-5.709,1,0.0634,0.0442,0.661,0.108,0.424,129.016
La La Land - Layton Giordani Remix,0irXiZTtaPIIo3G8aezI21,Layton Giordani,La La Land (Layton Giordani Remix),0.782,0.952,4,-4.293,0,0.0924,0.000385,0.435,0.11,0.752,130.006
