track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Alive,0VdxvesT758p6sX67geiRE,Level Up,Sapphire Souls EP,0.434,0.838,10,-1.588,0,0.0459,0.0609,0.00125,0.125,0.171,149.908
Ruin U,6fvdPHXZnUl9UX2OgoT7Cq,Level Up,Ruin U,0.317,0.956,2,-1.835,0,0.149,0.00153,0.0465,0.592,0.113,149.67
SAFE SINS,2zxmqvtNKoMqe48dmhxNqA,Level Up,Seance EP,0.687,0.975,9,-1.483,0,0.0822,0.0436,0.826,0.199,0.191,144.963
Amulet,5AoHs2ZajDQq6iXwMPEf9s,Level Up,Spellbound EP,0.537,0.975,4,-1.252,0,0.0323,0.0186,0.785,0.249,0.114,144.971
Mind Alter,2K25uIpVejgKST122c9CYO,Level Up,Spellbound EP,0.497,0.948,9,-1.203,0,0.0587,0.0108,2.66e-05,0.142,0.203,145.101
Phantom,72UJWlZvbv0Npsgx1FJc5A,Level Up,SHADOW SYMPHONY,0.608,0.909,0,-4.286,1,0.0477,0.285,0.839,0.308,0.306,149.99
Illusionism,7y4wiJgXWYS70IJpn7H4Cx,Level Up,Illusionism,0.59,0.966,9,-0.139,1,0.121,0.0267,0.00325,0.293,0.232,144.95
ANGEL OF DARKNESS,7dm0KjrXmHn4KTyTeovMAw,Level Up,Seance EP,0.539,0.981,1,-0.036,1,0.137,0.0742,0.129,0.113,0.256,145.06
Glass Mask - Original Mix,0EaBGuMt2VIB0q3qlbZW5X,Level Up,Scared Of The Dark EP,0.824,0.876,11,-5.002,1,0.0501,0.0287,0.901,0.152,0.54,145.049
International Anthem - LEVEL UP Remix,1nV3t6ywUOK4RU3D6zsYKE,Level Up,International Anthem (LEVEL UP Remix),0.606,0.975,7,0.16,1,0.0485,0.00223,0.00154,0.0763,0.261,145.072
LEVEL 13,3vzpZLwqQ8Zc3xDSHoIA3D,Level Up,Seance EP,0.547,0.981,1,0.268,1,0.068,0.00558,0.845,0.577,0.273,145.008
Inferno,3W0quvkBSs4vDveb1jkeYB,Level Up,GRL GANG Presents: RIOT!,0.677,0.929,10,-3.378,1,0.056,0.0209,0.0615,0.432,0.406,149.999
Awaken,1CRk3YbtUunRLYdsQKuG41,Level Up,Sapphire Souls EP,0.57,0.997,10,-0.251,0,0.0928,0.000624,0.793,0.104,0.361,145.092
No Luck,0vHgYurnUJIyn2eYO99szs,Level Up,No Luck,0.749,0.562,1,-9.212,0,0.0506,0.00671,0.812,0.146,0.04,108.985
Closet Crawlers - Original Mix,28bmOg1bw9BDbzFxT8p7AC,Level Up,Scared Of The Dark EP,0.878,0.885,1,-3.155,1,0.0473,0.113,0.0275,0.122,0.34,140.032
NEXT LVL,6uaKtnOTKImR5B6cU8FXjo,Level Up,NEXT LVL,0.626,0.935,9,-2.61,1,0.135,0.0876,0.0012,0.625,0.424,72.502
Dark Side,09ZQ3H1wMHZE3Y7oDRfMtR,Level Up,Sapphire Souls EP,0.582,0.986,10,-0.797,0,0.08,0.0116,0.871,0.278,0.429,145.031
Vision Mixer,6ltI7sAUrZzP7gOy5ieDQ4,Level Up,COVEN EP,0.535,0.896,7,-3.777,0,0.0541,0.0326,0.108,0.203,0.304,145.01
Hallow Heart (with Aaron Gillespie of Underoath),5kZV6vNbRzNAgRWWP4XKPi,Level Up,Hallow Heart (with Aaron Gillespie of Underoath),0.604,0.958,5,0.022,0,0.231,0.0433,0.396,0.152,0.445,145.007
Blade,0Ydi7wcbreZ2fLXWbq9D7u,Level Up,Blade,0.702,0.994,0,0.247,1,0.1,0.313,0.0318,0.484,0.718,139.984
Hell Hole,3XYc4SU1MgCMxNl65iTdvy,Level Up,Hell Hole,0.723,0.926,8,-1.018,1,0.0578,0.022,0.00468,0.392,0.186,140.047
Karmic Retribution,2oq7Sgj2B3gocUBRlHIvLN,Level Up,SHADOW SYMPHONY,0.311,0.788,3,-4.346,0,0.0598,0.0158,0.00378,0.0937,0.184,145.0
Bedtime Stories - Original Mix,65cl6q2WEUF8MkF1UnBrx4,Level Up,Bedtime Stories,0.726,0.95,2,-2.468,0,0.0421,0.133,0.166,0.297,0.79,145.013
Occult,7fdJjBGVigjaCpZBFL7hcF,Level Up,Spellbound EP,0.54,0.989,11,-0.852,1,0.222,0.000478,0.73,0.213,0.288,144.997
Power (feat. Grabbitz),3OPcGN44zYI7eg1OwHrSD0,Level Up,Power (feat. Grabbitz),0.378,0.914,2,-1.468,1,0.193,0.00418,0.0171,0.133,0.111,148.816
Vessel,5Z5fBGwWP4x0mYCmchLpc1,Level Up,SHADOW SYMPHONY,0.656,0.762,4,-2.262,0,0.104,0.104,2.79e-05,0.0831,0.372,150.024
Time Warp - Level Up Remix,7JCNCl96gsfGa78FHKDm2a,Level Up,Time Warp (Level Up Remix),0.649,0.745,3,-2.02,0,0.0841,0.0552,0.000568,0.52,0.161,145.941
SIREN SONG,2m6Ye7bxGCXyuGvU8MLzZf,Level Up,Seance EP,0.536,0.875,9,-3.291,0,0.0436,0.00391,0.00188,0.183,0.226,145.031
Drop That,67MwMwty6kw2pg30MLaPFf,Level Up,Spellbound EP,0.616,0.947,2,-0.557,1,0.0584,0.055,0.374,0.393,0.397,144.942
That One Dubstep Song,1nSehdAtoqUouTAHuR8buS,Level Up,Sapphire Souls EP,0.514,0.873,2,-0.258,1,0.0683,0.0011,1.7e-05,0.21,0.302,74.973
Purgatory - LEVEL UP Remix,3ysQU0IhPokfa7NlWOHDjV,Level Up,Space Cathedral (The Remixes),0.544,0.978,2,-1.673,1,0.0614,0.114,0.614,0.11,0.197,145.021
Ascension,4rul2YO23WDVpTFzqOpXQg,Level Up,COVEN EP,0.355,0.999,2,1.461,1,0.611,0.0223,0.175,0.186,0.0678,149.974
Sour,5tkXvjFaLHl7E4vy1aXzGW,Level Up,Sour,0.607,0.858,4,-2.897,0,0.246,0.257,0.000114,0.105,0.397,144.926
FIND U,0CmtdODMOVkfE6YTLHnRyd,Level Up,FIND U,0.55,0.882,5,-2.97,1,0.379,0.0436,0.0028,0.375,0.42,69.957
Infotech,6BkMRNSszDqSLfTlEQUgNe,Level Up,COVEN EP,0.585,0.988,4,0.089,0,0.118,0.0178,0.748,0.162,0.292,144.818
Cyclops Rocks - LEVEL UP Remix,5qXU0DH9PLlbXy09Z5MF46,Level Up,ANTIFRACTALS,0.486,0.95,6,-2.639,1,0.074,0.00316,0.144,0.448,0.5,72.534
Scared Of The Dark - Original Mix,3Ge4joBTDMlsdDQ8qX7awX,Level Up,Scared Of The Dark EP,0.833,0.814,9,-4.096,1,0.0395,0.0739,0.0308,0.116,0.106,140.046
Ashes (feat. Rory Hope) - VIP,15sXRgteytwhQ3VhMwrG2I,Level Up,Ashes VIP (feat. Rory Hope),0.569,0.967,6,-2.042,0,0.0744,0.0146,4e-05,0.272,0.0654,149.954
Satan Works Alone - Original Mix,47UiEqtMQRGQ4vlCh7Lm4V,Level Up,Boot Camp,0.705,0.801,11,-2.368,0,0.099,0.0664,0.187,0.095,0.153,145.006
Scared Of The Dark VIP - Original Mix,5zdT7oQk8G2perma7iilBl,Level Up,Scared Of The Dark VIP,0.725,0.954,1,-0.322,0,0.076,0.258,0.0231,0.169,0.294,140.021
Ashes (feat. Rory Hope),6hSfQTINrgr3IFkr11rYgn,Level Up,Ashes (feat. Rory Hope),0.536,0.883,6,-5.33,0,0.075,0.00255,2.19e-05,0.193,0.157,150.098
SHT SHOW [LEVEL UP Remix],2WEQ4DLxHxtJpTSQPdppNE,Level Up,NEW BREED (REMIXES),0.64,0.964,0,-0.993,1,0.171,0.000429,0.286,0.454,0.19,145.079
Velvet Crossbow - Original Mix,2r1M5BNJryH3yvvLm4Zbc4,Level Up,Planet Cyclops,0.82,0.958,11,-1.049,0,0.232,0.0278,0.213,0.245,0.156,145.021
Walking through starfields,5ApeUFAUDHDJGChyXl5B7e,Level Up,Pleasant Atmosphere,0.745,0.307,11,-13.385,1,0.0328,0.848,0.943,0.282,0.173,130.036
There is Hope After All,7gZoFWYeDrcPasbOnVjZ8z,Level Up,A Nebula of Hope,0.581,0.127,1,-19.008,1,0.0363,0.855,0.905,0.359,0.11,93.013
Hell Hole - Mixed,55sTmcaue5NQIGtCOC1y23,Level Up,Best of Bassrush: 2021 (Mixed by JEANIE),0.676,0.854,8,-4.699,0,0.351,0.00236,0.197,0.368,0.622,140.163
A kingdom far away,2h2TANNvZd1U4vSqhsuM4h,Level Up,Pleasant Atmosphere,0.538,0.305,3,-12.485,0,0.0447,0.88,0.74,0.113,0.564,169.972
Island Party,6pVh9McC45snOn82q8Kt1W,Level Up,Seraphim,0.823,0.526,8,-13.565,1,0.085,0.445,0.785,0.196,0.282,129.947
SHT SHOW (LEVEL UP Remix),2MLsQ7kyVuS6tB9o5v5XPl,Level Up,SHT SHOW (LEVEL UP Remix),0.64,0.964,0,-0.993,1,0.171,0.000429,0.286,0.454,0.19,145.079
Shadow Spells,2ojAWQolE14L2Lj5ShImFm,Level Up,Armageddon,0.716,0.9,11,-1.303,1,0.0918,0.00605,0.165,0.376,0.479,145.019
The Day I Left,3G2NQVzDuVGjx8SyAyX6uV,Level Up,Introspection,0.561,0.065,9,-31.364,0,0.0652,0.918,0.976,0.0613,0.0879,168.032
A beautiful life,5RI3V4cfkVN1Mx6jxwb2qg,Level Up,Pleasant Atmosphere,0.465,0.158,11,-19.7,0,0.0434,0.946,0.799,0.103,0.477,152.021
Eat Before You Drink,4soRUjbSQqEgcgNG2ptKpz,Level Up,Eat Before You Drink,0.561,0.698,1,-9.465,1,0.0342,0.0025,0.874,0.116,0.142,127.972
My Everything is You,2uFyxP0dNmHzY2S6UXa7Yw,Level Up,Seraphim,0.703,0.305,3,-14.833,1,0.0496,0.678,0.132,0.16,0.239,122.021
Ghouls,4FYwB91gKEbpVQL0xqqlLl,Level Up,Jack-o'-lantern,0.43,0.777,1,-5.225,1,0.0734,0.000332,0.907,0.292,0.066,156.917
Black Jack,51sNvVVCY5ZVYGWmCMVoIH,Level Up,Jack-o'-lantern,0.715,0.583,1,-14.033,1,0.0403,0.431,0.921,0.102,0.508,143.013
Hollow Knight,5kMGM5gcIzLQbwIVis5j6I,Level Up,A Nebula of Hope,0.718,0.231,1,-20.861,0,0.0732,0.312,0.798,0.0879,0.217,124.978
Cigar Smoke,04rHFNXAEOjWHWZxD2PIB8,Level Up,Introspection,0.581,0.0676,7,-25.176,1,0.0891,0.877,0.933,0.0956,0.171,79.807
Equinox,7kqXKqt6nbTyQvNomvnpau,Level Up,Introspection,0.629,0.121,7,-22.209,1,0.0573,0.971,0.927,0.111,0.115,80.016
Just Slidin',39xXriON9K9J7EhqrPCs3H,Level Up,Lurker,0.805,0.706,2,-8.085,1,0.0409,0.000325,0.921,0.14,0.06,119.989
A Trip Through Time,2xxJXt3dhmRLKgZrxT1H88,Level Up,A Nebula of Hope,0.702,0.145,8,-18.85,1,0.0398,0.352,0.791,0.103,0.232,115.032
Island of Discovery,789Ln3V0gi0U2zqbTTGnJ1,Level Up,"Subvibe, Vol. 1",0.433,0.804,9,-7.879,0,0.0627,0.0473,0.89,0.177,0.0377,171.975
