track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Why Can't You See,7vjSkODb6JIMtpdZ4BmE3t,Lil Texas,NEED FOR SPEED,0.544,0.996,7,0.551,1,0.144,0.0285,0.43,0.155,0.625,160.016
Don't Hold Back,0cokUzoG4xiNITxlIulmx9,Lil Texas,NEED FOR SPEED,0.601,0.959,1,-1.75,1,0.122,0.0101,0.00852,0.38,0.52,159.971
Into This,40EQ3gUfn9jllVIg6aIqwl,Lil Texas,NEED FOR SPEED,0.622,0.987,5,-0.181,0,0.359,0.0188,5.11e-06,0.354,0.335,160.058
Upside Down,5JbPxjJZr5RFD0UGUqZccE,Lil Texas,NEED FOR SPEED,0.549,0.968,1,-0.524,1,0.277,0.000489,0.00579,0.522,0.51,160.063
My DJ,5J8KIsZBv3D2nuxMybCWcs,Lil Texas,NEED FOR SPEED,0.503,0.988,0,0.168,1,0.0527,0.00233,0.0429,0.115,0.0754,175.131
Bad Boy,6tzPlAmhNm2q7T2hJCNExZ,Lil Texas,NEED FOR SPEED,0.523,0.99,11,-0.258,0,0.194,0.0051,0.434,0.876,0.43,176.012
Rip City,0HXQYjVzMXmGIlNkQg2L0r,Lil Texas,NEED FOR SPEED,0.624,0.92,0,0.599,1,0.134,0.00574,1.21e-05,0.64,0.394,92.484
Hear This,5QcV5thIIAWr8RVtVEXZzg,Lil Texas,NEED FOR SPEED,0.717,0.945,1,-1.171,1,0.329,0.0133,0.000244,0.192,0.715,92.612
2 Tha Rhythm,6rJxvDAAgoVDxi3x6ZMBYp,Lil Texas,NEED FOR SPEED,0.591,0.981,7,0.644,1,0.163,0.00366,6.43e-05,0.618,0.186,100.024
Sacrifice,3uh3R9gTUGUD5THpVrSY0C,Lil Texas,NEED FOR SPEED,0.443,0.99,7,-2.333,1,0.142,0.00149,0.0011,0.825,0.136,99.927
Rock The Beat,4mnoF1gXIScCRgjuJsLE4s,Lil Texas,NEED FOR SPEED,0.7,0.981,1,-0.185,1,0.14,0.00387,0.00473,0.454,0.642,100.037
One More Time,3ujWX747dZu42283KMtPRq,Lil Texas,NEED FOR SPEED,0.678,0.983,6,0.077,1,0.522,0.00261,0.0616,0.933,0.439,100.011
Move Back,36vtruIhHvlAhlDfMwD3uB,Lil Texas,NEED FOR SPEED,0.67,0.983,1,0.278,1,0.0906,0.00731,2.04e-05,0.159,0.199,104.991
Ways Of The Underground,6FmRQC09gJoxq3foR3VPHr,Lil Texas,NEED FOR SPEED,0.741,0.955,0,-0.727,1,0.166,0.0225,1.1e-05,0.0901,0.479,105.053
Texcore Terror,5iDsOAv22orj1nLE51WBqQ,Lil Texas,NEED FOR SPEED,0.62,0.989,11,-0.167,0,0.127,0.027,0.0013,0.57,0.617,132.53
Rave Dropper,1Ywr0PE0pXRHY3QjApngA2,Lil Texas,TOO FAST,0.583,0.999,10,-1.367,0,0.214,0.0432,0.0192,0.165,0.0969,159.941
We Need A Doctor,5tWVQeXIsg0XkuHBuKYfN9,Lil Texas,TOO FAST,0.536,0.998,10,-0.696,0,0.128,0.0719,0.0961,0.627,0.313,160.003
Countdown,7MmyrhFl0BNKeVhID9fPVi,Lil Texas,TOO FAST,0.684,0.996,2,-2.063,1,0.0669,0.00407,0.000375,0.0806,0.826,160.005
Riot,03yCWOsdgVJyww4SB5unJs,Lil Texas,TOO FAST,0.689,0.998,1,0.858,0,0.226,0.0259,0.0311,0.447,0.524,159.942
You Are Not Ready,6kgCVfeYYNeGNG7DYnUMiX,Lil Texas,TOO FAST,0.528,1.0,2,1.02,1,0.57,0.00437,0.0861,0.0738,0.0358,175.013
Heavy Mad,5l7JsoiinveiObcZGgKF0W,Lil Texas,TOO FAST,0.546,0.991,0,0.29,1,0.181,0.000586,2.15e-06,0.539,0.643,185.095
Pump The Party,1kRnSIjXQHiTGSzXyXSLzu,Lil Texas,TOO FAST,0.621,0.953,7,0.985,1,0.0795,0.00535,0.00125,0.3,0.167,94.976
Rush The Flow,0NP8AiFtgZVOTfLpZXwovN,Lil Texas,TOO FAST,0.715,0.937,9,-0.664,1,0.0964,0.00421,0.000822,0.382,0.114,99.96
Perpetrators,3Eiez73DyWCKCbhr73i9Gb,Lil Texas,TOO FAST,0.726,0.985,7,-1.32,1,0.268,0.013,0.00408,0.391,0.178,102.507
Nagano 98,1CKdZ3sBSGDS2H8s9H0ZhS,Lil Texas,TOO FAST,0.759,0.952,4,-0.201,0,0.113,0.0933,0.00139,0.231,0.273,102.432
First Love,0G31kULZNhGWySRAV74Wba,Lil Texas,TOO FAST,0.752,0.983,4,-0.46,0,0.137,0.0981,0.00101,0.0476,0.217,105.0
STFU,37rVLxB3JnZR9dknJtcLqs,Lil Texas,TOO FAST,0.674,0.971,1,0.724,1,0.257,0.0295,0.000536,0.127,0.256,107.427
Medication Time,55lunZq1pM4rWT1dsyy5Yq,Lil Texas,TOO FAST,0.528,0.995,9,-1.195,1,0.317,0.00329,0.00265,0.241,0.368,114.959
400 Rounds,2RSoyG9uWufw0GtLMgxeAb,Lil Texas,TOO FAST,0.5,0.998,4,-0.947,0,0.429,0.118,0.000137,0.335,0.0367,100.072
Revelation,6eJz0nKbJuK1wDNiCcDn14,Lil Texas,FASTER,0.674,0.988,1,-0.276,1,0.187,0.0016,0.387,0.185,0.563,160.042
Need You,3C1kW7k5Cpu4bGlW2jMSds,Lil Texas,FASTER,0.512,0.984,8,-1.266,0,0.0549,0.000979,0.339,0.243,0.626,159.941
Reason To Live,0srVckQKgmQq32WT2og4Hh,Lil Texas,FASTER,0.589,0.989,2,-0.087,1,0.168,0.00815,0.124,0.175,0.223,159.985
Donk Rhythm,7rbVk6CAUNHPELUrQ2Xrxv,Lil Texas,FASTER,0.514,0.987,10,-2.403,0,0.0643,0.00158,0.385,0.155,0.369,154.979
The Beat Down,46QC9IqQVavvd2HfhewmC7,Lil Texas,FASTER,0.488,0.998,11,1.806,0,0.367,0.00776,0.00747,0.632,0.393,175.069
Every Drug at Once,6r4EX9IrrLFRhdO8dN2Waj,Lil Texas,FASTER,0.466,0.993,1,-0.029,1,0.136,0.00026,0.00212,0.311,0.587,180.016
Turn The Volume Up,14EeajFpEY1MM7ebgO3see,Lil Texas,FASTER,0.746,0.998,1,0.092,1,0.209,0.000603,0.00286,0.126,0.197,100.019
Down Like This,2mUVsNfYfgGLmRHwNLd6FF,Lil Texas,FASTER,0.663,0.997,1,-0.106,1,0.169,0.000583,0.0182,0.213,0.168,99.995
Underground,3d3I3dBnwDjbmVTZuc78ow,Lil Texas,FASTER,0.512,0.998,10,2.59,0,0.207,0.0439,0.289,0.636,0.299,200.343
Pressure Cooker,6nNqtm4C2OYIifMGSZnZ4I,Lil Texas,FASTER,0.454,0.983,8,-0.316,0,0.172,0.000561,0.0153,0.267,0.0355,200.035
Be Free,4W4FebPoeBobL0k3GyM9yb,Lil Texas,FASTER,0.7,0.972,7,-1.62,1,0.121,0.0175,0.0142,0.0901,0.309,100.006
