track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Ayi Giri,5xqjH87yvNSUWHN8ezvlpb,Lilly Palmer,Ayi Giri / Dopamine Machine,0.597,0.873,1,-5.487,1,0.056,0.0041,0.0551,0.213,0.136,150.103
Dopamine Machine (ASOT 1263),5fyE2zPSgT5dJ5ssKRKDW7,Lilly Palmer,ASOT 1263 - A State of Trance Episode 1263 [Including Live at A State of Trance - Celebration Weekend (Saturday | Sphere Set) [Highlights]],0.508,0.993,9,-6.403,1,0.0709,0.00188,0.896,0.0986,0.134,149.973
Escape,4zVwoDnBMVYT2DGMlqUwDB,Lilly Palmer,New Generation,0.614,0.931,10,-7.354,1,0.0436,0.00636,0.84,0.133,0.151,136.982
Resonate,3uMmez8jeegK8HpgcwbA1V,Lilly Palmer,Resonate,0.626,0.929,0,-5.784,1,0.0613,0.0266,0.753,0.548,0.407,133.017
The Violator,3WMSOkdBmgxgkQkZkkgqZc,Lilly Palmer,The Violator,0.761,0.947,10,-5.416,0,0.172,0.00129,0.87,0.219,0.306,138.014
Ayi Giri - Extended Mix,2MyyqfIEHReAKl6CjJeqU6,Lilly Palmer,Ayi Giri / Dopamine Machine,0.638,0.784,5,-5.936,0,0.0456,0.00205,0.282,0.11,0.208,149.992
All You Got To Do,5RH715X8TaLppRDbNMo8JM,Lilly Palmer,All You Got To Do,0.682,0.884,9,-6.517,0,0.067,0.00103,0.343,0.0753,0.34,147.95
Resistance,5yOFawwclyaGDi450YcPfP,Lilly Palmer,We Control,0.617,0.872,7,-8.602,1,0.0428,0.00359,0.889,0.119,0.492,133.011
Late At Night,0sc94v4bi5XGSPSjjXK0Zh,Lilly Palmer,Late At Night,0.772,0.978,0,-4.148,1,0.0957,0.034,0.00971,0.765,0.429,149.972
Dopamine Machine - Extended Mix,0VeBQLtczaZkBIvPAzeOWH,Lilly Palmer,Ayi Giri / Dopamine Machine,0.639,0.94,9,-5.819,1,0.133,0.0159,0.816,0.133,0.145,149.988
Komodo (Mixed),5G00mZmrCBoMiFnqyxJWZ4,Lilly Palmer,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.529,0.92,0,-5.907,1,0.0414,3.36e-06,0.799,0.12,0.865,141.743
I Am Machine,7A8ec8nBw1BEwGgdSL5H90,Lilly Palmer,I Am Machine,0.656,0.84,6,-7.201,1,0.0758,6.86e-06,0.691,0.247,0.0465,136.009
Hype Boy,4I4LIjM7gHmIFQ210Ycx2j,Lilly Palmer,Hype Boy,0.672,0.978,3,-4.093,0,0.0897,0.00314,0.851,0.181,0.483,152.037
Ultimate Feeling,70CzI0mk9FErZsC9x84bGG,Lilly Palmer,Resonate,0.602,0.846,4,-7.146,0,0.0396,0.00997,0.791,0.135,0.19,133.995
Endless Nights,1ZWyPPye3BUmtxwEOxQA9v,Lilly Palmer,Endless Nights,0.687,0.955,4,-6.945,0,0.0929,0.00823,0.711,0.229,0.389,138.012
New Generation (The Official Nature One Anthem 2024),297in4fZqWvilokR586DlB,Lilly Palmer,New Generation,0.668,0.94,2,-4.234,1,0.113,0.000568,0.576,0.304,0.272,139.986
Dopamine Machine,51PNLnmKamY7M7aSqIGWMq,Lilly Palmer,Ayi Giri / Dopamine Machine,0.329,0.996,2,-4.043,1,0.0727,0.00364,0.797,0.0861,0.157,149.795
Don't Look Back,1ZRbpnhN6gxTJEnaCBlD0z,Lilly Palmer,We Control,0.687,0.91,1,-6.128,0,0.0437,0.001,0.818,0.11,0.0676,133.995
Hare Ram,1MxkZ4ybCA4ordKzbGRN2O,Lilly Palmer,Hare Ram,0.743,0.862,2,-5.009,1,0.0868,0.145,0.639,0.15,0.0385,137.018
Fall In Love,00yeUUrgFfxidZOWFQxDcZ,Lilly Palmer,Fall In Love,0.596,0.963,7,-6.032,1,0.0806,0.000443,0.872,0.285,0.148,137.004
Let’s Drop One,6nADkyYswpY52eLTW7rSRG,Lilly Palmer,New Generation,0.69,0.916,4,-5.832,0,0.0742,0.0221,0.489,0.589,0.436,137.971
Party Don’t Stop,0wHvrVW47PQORaLEwjsGup,Lilly Palmer,Party Don’t Stop,0.762,0.969,4,-3.856,1,0.184,0.0012,0.732,0.0597,0.697,146.997
Gasoline,5ardmsHuWc0chy7GzsvrLd,Lilly Palmer,Gasoline,0.608,0.903,11,-5.604,0,0.103,0.00105,0.838,0.123,0.205,136.974
Blah Blah Blah - Lilly Palmer Remix,60BXInRHS0NQ1oVsnqA15a,Lilly Palmer,Blah Blah Blah (Lilly Palmer Remix),0.525,0.982,1,-5.722,1,0.0509,0.000382,0.579,0.218,0.0366,144.969
We Control,1dzvje2q7KX8k1U9eOT6Pv,Lilly Palmer,We Control,0.707,0.815,7,-6.2,1,0.147,0.00499,0.828,0.0874,0.148,133.024
Surrender The Night,4emNFEWcRtaIC9IClE1HmW,Lilly Palmer,All You Got To Do,0.556,0.998,1,-6.747,1,0.0777,0.000335,0.86,0.197,0.239,145.962
My Fantasy,2mbRfE0uDMWBAG0x3I7VCJ,Lilly Palmer,My Fantasy,0.628,0.979,8,-4.139,1,0.0995,0.00147,0.719,0.353,0.57,136.987
You Are My Guide,5u6AIMfldHGa1Fii7puEw0,Lilly Palmer,You Are My Guide,0.298,0.736,2,-9.04,1,0.0426,0.121,0.299,0.0867,0.0333,87.737
Crave,1VNThqTH5v8gi02dplXrSw,Lilly Palmer,Crave,0.723,0.992,7,-5.375,1,0.0845,0.000477,0.679,0.102,0.0831,138.001
Plasma,6Wf6lQQOJM6CBrNH3UPgbM,Lilly Palmer,We Control,0.576,0.913,4,-4.94,0,0.0396,0.00089,0.92,0.0773,0.0379,133.984
