track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
ETA (feat. Luciano),2k0DfombK3vPkkaCVhEhEG,Luciano,DO NOT DISTURB (DELUXE),0.833,0.635,8,-8.157,1,0.229,0.012,1.7e-05,0.36,0.815,149.999
Love You More (feat. Nemzzz),4WIuwZwC0wocpK8DKNwYgC,Luciano,Seductive,0.823,0.493,0,-7.103,0,0.184,0.0254,8.07e-06,0.0853,0.201,141.815
Bamba (feat. Aitch & BIA),7sJNeWTXkZCEC7OnFMpGWL,Luciano,Majestic,0.795,0.785,10,-6.264,1,0.331,0.121,0.0,0.115,0.791,138.057
Sweep Over My Soul,5uSHCmZBRnSUcWcZ8kxWRk,Luciano,Sweep Over My Soul,0.62,0.7,0,-7.2,1,0.0607,0.122,0.0,0.0978,0.73,143.716
Travieza,6KiGuMNPHZedaU8ALt8lQ9,Luciano,Travieza,0.793,0.863,10,-7.576,0,0.0489,0.0768,0.564,0.0706,0.557,128.993
Your World And Mine,5WhXmaPSXkx8aXPk5dDDj8,Luciano,Strictly The Best Vol. 16,0.736,0.425,11,-9.736,1,0.0395,0.184,1.79e-06,0.111,0.81,172.498
Butcher,0uSHA5dbsCRMmzbidwhKwl,Luciano,Butcher,0.771,0.59,8,-6.814,1,0.11,0.00482,2.26e-05,0.109,0.188,152.003
Familia (feat. Morad),11sME7QBXXMvBmjNr6sPIv,Luciano,Seductive,0.601,0.558,4,-6.773,0,0.356,0.16,0.00317,0.159,0.518,125.053
Another Vibe (feat. Omah Lay),1sNQMj0Dq0UHrryEQqP4OY,Luciano,Seductive,0.563,0.56,6,-9.038,0,0.395,0.204,4.05e-06,0.186,0.302,69.232
Give Praise,5T2LXl0UjYknpRme8lQoXy,Luciano,Serious Times,0.659,0.726,9,-3.884,1,0.119,0.0916,2.02e-05,0.579,0.794,79.644
Baddies,66Bup3CXgRRl8z91EDHUIf,Luciano,Baddies,0.879,0.555,11,-6.515,1,0.384,0.0864,0.000116,0.156,0.469,140.041
Lord Give Me Strength,7ppATjJzJVuuTAqOqf8oxx,Luciano,The Best of Luciano,0.72,0.795,4,-4.758,1,0.0377,0.353,3.27e-06,0.0845,0.647,86.02
Beautiful Girl,5xX2LYdXyx0Boa61rZOjq5,Luciano,Majestic,0.846,0.419,11,-8.619,0,0.104,0.299,0.000999,0.0967,0.586,139.877
Silver And Gold,4zUXGaRwyRwErT0ayJQQMx,Luciano,Child Of A King,0.799,0.719,0,-5.356,0,0.0443,0.354,0.0,0.281,0.947,76.691
With a Little Help From My Friends,0eRWi03wl5kZUYLsTfNHtr,Luciano,Easy Star's Lonely Hearts Dub Band,0.659,0.521,9,-7.711,1,0.0276,0.286,0.0,0.182,0.804,91.273
Jah Blessing (feat. Luciano),3qPr7clCvRgOOZb87nUGe7,Luciano,Freedom Cry,0.671,0.546,10,-8.127,1,0.269,0.55,0.0,0.29,0.736,75.086
PLAYBOYBUNNIES,5UOYENShZWZ5SVZFJWJXN0,Luciano,MOST VALUABLE PLAYA,0.841,0.53,1,-7.965,0,0.226,0.294,9.32e-05,0.105,0.575,106.038
Starboy,0Rgdhptwk0A3Clbu5RpYI1,Luciano,Starboy,0.737,0.725,11,-7.581,0,0.372,0.0515,0.0,0.297,0.539,96.372
Adrenalina,4gcvpxMBYcbfITTxYWaWYG,Luciano,DHURATA,0.791,0.674,0,-5.169,0,0.0513,0.1,4.61e-05,0.185,0.597,106.997
Vinotinto,46H8WsZxMpR6zxqN0erA8Y,Luciano,Vinotinto,0.844,0.824,6,-5.953,0,0.0405,0.00734,0.00111,0.12,0.315,127.013
Serve Jah,0waW9Ge30zrPvdBWOa7Y2f,Luciano,Serve Jah,0.596,0.604,2,-5.301,1,0.0508,0.228,0.0,0.103,0.687,79.999
