track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The One (feat. Jocelyn Brown),4fErrQvOX1LPDIPFDFI4eM,Luke Alessi,The One (feat. Jocelyn Brown),0.746,0.672,11,-7.072,1,0.0783,0.00257,0.735,0.0717,0.754,129.999
Devotion - Luke Alessi Remix,3kIglFUfLosdJV8j8uD7OW,Luke Alessi,Surrender (Remixes),0.746,0.803,10,-6.552,0,0.0456,0.00021,0.803,0.0581,0.604,125.006
Deja Vu - Luke Alessi Remix,0t796F3fxvv4YfhBn6dfkY,Luke Alessi,First Contact (The Remixes),0.728,0.703,1,-12.136,0,0.0426,0.235,0.884,0.101,0.0618,122.027
Scuze Me,0QCyJWhbJJg3w4AAvx5KRG,Luke Alessi,Scuze Me,0.744,0.783,7,-7.626,1,0.0962,0.000788,0.562,0.118,0.503,121.981
Hold Up,2ryb9UfpOrNG7DJC0klX0l,Luke Alessi,Hold Up / Rambla,0.776,0.967,10,-5.149,0,0.0696,0.0121,0.578,0.0323,0.523,128.977
Mwah!,2xCBVtjXAuOJ1vzwwFAokb,Luke Alessi,volume one,0.762,0.801,10,-7.905,0,0.0732,0.00401,0.901,0.0711,0.481,126.997
12 Inch Acid,3EbGMIaPLGsxVOOUBQ4un4,Luke Alessi,12 Inch Acid,0.736,0.958,2,-6.109,1,0.0479,0.00371,0.912,0.0595,0.572,132.001
Other Halves,3U4ZXAm84s5fMSU38fVDZv,Luke Alessi,volume one,0.782,0.623,6,-6.814,1,0.142,0.0378,0.735,0.0927,0.633,118.01
Aqua Stars,5wwe7RrU67xsa6Ykd5Sy80,Luke Alessi,Aqua Stars,0.803,0.8,0,-7.215,0,0.0716,0.000172,0.945,0.0642,0.0762,127.012
Everybody Dancing,7JyWL7LpSrd2hUNgTRYw63,Luke Alessi,Feelin' Love / Everybody Dancing - EP,0.781,0.824,9,-8.793,0,0.048,0.000124,0.819,0.0733,0.853,126.02
Dictator - Luke Alessi Remix,2XAPbk2WGH86gf7KEy1EvV,Luke Alessi,Dictator (Remixes),0.796,0.86,7,-7.007,0,0.0505,0.00163,0.328,0.101,0.513,123.993
Sugar,6HQoNy9eCUPEtl5sSLcxHS,Luke Alessi,volume one,0.801,0.855,2,-6.491,1,0.0486,0.00361,0.91,0.0733,0.232,121.033
Beneath The Veil,24qNQe03hYEO0yi8KauZpw,Luke Alessi,Beneath The Veil EP,0.717,0.706,1,-10.851,0,0.0678,0.419,0.297,0.219,0.0743,119.97
Been Such a Long Time - Luke Alessi Remix,57G4GO2Q2VPiQZjSnWhPgg,Luke Alessi,Been Such a Long Time (Luke Alessi Remixes),0.61,0.664,0,-8.486,1,0.0972,0.0223,0.0227,0.0415,0.901,135.012
No Paparazzi,4PUUCHpKLTXhhZkXO0Mmfr,Luke Alessi,No Paparazzi,0.709,0.835,11,-6.809,1,0.0429,0.000143,0.803,0.0885,0.378,120.024
Matter,5e4QuyPfvIr0ZdJu61k8pT,Luke Alessi,Matter,0.7,0.85,11,-10.076,0,0.0532,8.14e-06,0.69,0.142,0.0936,122.029
Feelin' Love,5S05yk6muNyyEsaYBUFTyy,Luke Alessi,Feelin' Love / Everybody Dancing - EP,0.739,0.828,1,-8.95,1,0.0343,0.00173,0.898,0.109,0.256,125.001
Everybody Dancing (Edit),1foq6jpO6q8U5YR56nwIju,Luke Alessi,Feelin' Love / Everybody Dancing - EP,0.723,0.926,6,-8.226,1,0.0467,0.000236,0.85,0.317,0.764,126.001
Nothingness,77Z21zUW4GOq1wsLfziZcc,Luke Alessi,Nothingness,0.639,0.858,9,-6.709,1,0.0386,0.000632,0.711,0.0767,0.416,124.996
Scuze Me - Yulia Niko Remix,5AOVQROFd50qB86veIrYii,Luke Alessi,Scuze Me - Yulia Niko Remix,0.806,0.563,4,-7.067,0,0.0701,0.000378,0.797,0.0429,0.428,122.0
XCountry,3WmGaeRNJeobZVUrNexGAG,Luke Alessi,Scuze Me,0.784,0.934,8,-4.856,1,0.0579,0.000881,0.778,0.0896,0.89,124.982
Been Such a Long Time - Luke Alessi DJ Tool Dub,2IiqbPM5brG2R2kAwQAuQm,Luke Alessi,Dotr (Remixes),0.795,0.968,0,-7.65,0,0.048,0.00368,0.917,0.0443,0.481,132.006
Been Such a Long Time - Luke Alessi DJ Tool,6Sw44NuLlyT6L7GdHMl49y,Luke Alessi,Been Such a Long Time (Luke Alessi Remixes),0.793,0.968,0,-7.252,0,0.0505,0.00494,0.921,0.0407,0.497,132.002
Chains - Luke Alessi Remix,2W2E4w1hyzmOdu0keq4951,Luke Alessi,Moon In Scorpio,0.767,0.557,6,-11.136,0,0.0857,0.113,0.784,0.105,0.38,123.025
Azibo - Luke Alessi Remix,4g8x41QYHEJQ18znZFpvfl,Luke Alessi,Azibo (Remixes),0.489,0.84,7,-11.467,1,0.0578,0.0637,0.864,0.101,0.23,122.998
Let People Know - Luke Alessi Remix,0h3mRSZ0fbys0e9n2dGZeQ,Luke Alessi,Let People Know (Luke Alessi Remix),0.801,0.872,2,-8.818,1,0.0479,0.0734,0.937,0.0812,0.852,124.994
Hundred Falls - Luke Alessi Remix,767L4CfrdCxHxinlCHRaSf,Luke Alessi,Hundred Falls Remixes,0.676,0.873,7,-8.709,1,0.0443,0.0018,0.741,0.0722,0.246,124.012
