track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Moth To A Flame,78EK9fx47IpXsp0wqtONjK,Luuk van Dijk,GEWAH Selects,0.732,0.926,11,-4.914,0,0.0376,0.000641,0.245,0.302,0.971,130.002
Everything,1BJyVpblYEmeYberEVmOWM,Luuk van Dijk,Everything,0.672,0.947,10,-6.02,1,0.0493,0.0201,0.423,0.357,0.518,129.009
Disco Tetris - Riordan Remix,0aWhTCjzK2gqXQNPODbmPi,Luuk van Dijk,Disco Tetris (Riordan Remix),0.702,0.545,9,-18.636,0,0.0407,0.00533,0.2,0.192,0.63,133.0
Get My Luv,2IH0H4yalA3adrcOiniBJF,Luuk van Dijk,Get My Luv EP,0.882,0.946,1,-5.158,0,0.156,0.0133,0.909,0.122,0.578,129.01
Da Revolution,6W73mUJoTeNXvbVOSoZvs3,Luuk van Dijk,Da Revolution E.P.,0.801,0.929,7,-8.11,1,0.0629,0.00065,0.704,0.0951,0.798,127.999
Run It Back (feat. Caroline Byrne) - Luuk Van Dijk Remix,3cgrpsnHx32BCp9UUwwXaT,Luuk van Dijk,Run It Back (feat. Caroline Byrne) [Luuk Van Dijk Remix],0.858,0.81,10,-7.777,0,0.0465,0.0919,0.0403,0.226,0.962,131.006
In The District - Ben Sterling Remix Edit,1YRdYXEOcQ3ppyMnvxjvSp,Luuk van Dijk,In The District,0.805,0.686,9,-9.871,1,0.0451,0.0261,0.872,0.109,0.631,127.994
U Trippin,5VRFALOwAivc2CUuklKeRt,Luuk van Dijk,Collabs,0.836,0.532,7,-9.552,0,0.0488,0.000548,0.716,0.0769,0.701,127.992
No Sweat - Luuk Van Dijk Remix,6lU3Zs7sm7VHLv1dT79sYV,Luuk van Dijk,No Sweat EP,0.807,0.767,9,-9.61,0,0.0603,0.0179,0.927,0.0898,0.917,128.028
Aperol Spiritz,7LHJGgiSJEsa1uaYqubGde,Luuk van Dijk,Aperol Spiritz,0.802,0.962,9,-5.983,0,0.0365,0.00221,0.898,0.348,0.862,127.008
Inside My Mind,4rky7t0xn4oXE0o78T9Pl8,Luuk van Dijk,Get My Luv EP,0.807,0.995,0,-5.774,1,0.05,0.000244,0.863,0.0565,0.963,126.005
Do It Timmy,5AushbOye4xJJAaZSmB3LM,Luuk van Dijk,Do It Timmy,0.756,0.891,0,-7.02,1,0.0402,0.00721,0.749,0.135,0.515,128.003
Space Is The Place,2UV4qko6vVLF9fGsRRQRz9,Luuk van Dijk,Space Is The Place,0.688,0.895,6,-9.738,0,0.037,0.000198,0.87,0.461,0.614,127.015
Parallax,1NvLv8FU9Deoq0oXHnmlrq,Luuk van Dijk,Parallax,0.821,0.477,11,-12.047,1,0.0878,0.000635,0.93,0.111,0.548,125.997
Sun Goes Down - Luuk van Dijk Remix,0zZTPxStM4wnT1xLTwE7HI,Luuk van Dijk,Sun Goes Down (Wade's Acid Remix),0.827,0.52,1,-9.143,1,0.0815,0.00147,0.275,0.0919,0.736,126.005
Balade Malade - Luuk van Dijk Remix,6lBOoWGMONGHBUNYQ9BTPg,Luuk van Dijk,Looking At You,0.801,0.866,11,-8.9,0,0.0727,0.00444,0.88,0.097,0.395,129.032
Seduction,5CEj2OncSgyoV6FX0ulLSV,Luuk van Dijk,Seduction,0.835,0.837,7,-8.553,0,0.0542,0.00561,0.709,0.074,0.83,123.019
