track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
925 - Malugi Remix,6oCLSMWsuwCkGdgkm92MkM,MALUGI,Next Day Cleaning,0.728,0.871,10,-7.763,1,0.0596,0.000398,0.0237,0.108,0.58,136.996
Forever 2 (Crush Mix) - Malugi Remix,1lWiQ34sGK1i862zAFiRNW,MALUGI,Forever 2 (Crush Mix) [Malugi Remix],0.621,0.885,11,-4.922,0,0.0347,0.00107,0.226,0.338,0.598,144.975
Knees Break,0SyWhkrm6yBPgqliVB7MP9,MALUGI,Knees Break,0.556,0.947,10,-5.525,0,0.0484,0.000533,0.448,0.146,0.728,144.982
Want My Love,2MNZoKTpk2jYMIjTKihdaH,MALUGI,Want My Love,0.495,0.962,4,-4.192,0,0.0372,0.000166,0.351,0.252,0.214,144.044
Baby,5NNOhlMKhGFODsPv2O4Nuq,MALUGI,Baby,0.63,0.945,9,-5.172,0,0.0409,0.000759,0.895,0.0856,0.825,146.001
Reach Out,7kBYPyaxF3oE9EgjOMpGKs,MALUGI,Reach Out,0.667,0.94,2,-7.445,0,0.0385,0.0006,0.915,0.079,0.875,142.995
Be My Lover,4CMMYnsYsM7gY3Gf7j10yf,MALUGI,Be My Lover,0.57,0.966,11,-5.739,1,0.0477,0.000448,0.0678,0.748,0.775,144.962
Move My Body (feat. Lucy Dye),26xw61UppTKPySjw3RLvx6,MALUGI,Move My Body (feat. Lucy Dye),0.548,0.99,7,-5.4,0,0.0522,0.00336,0.0307,0.274,0.669,144.987
Really Happy,2P0viQycMetMJ2Gu5aj4Cr,MALUGI,Really Happy,0.654,0.964,2,-6.854,1,0.0398,0.000287,0.186,0.33,0.639,145.022
Drop It Down,7oHdGobTs66dcu7lA4TEWd,MALUGI,Drop It Down,0.636,0.952,11,-5.236,1,0.0779,0.00276,0.932,0.21,0.965,146.998
Do It For You,3IC5oKi7Fo7OLJlYj3fSOp,MALUGI,Do It For You,0.621,0.811,11,-5.6,0,0.0294,0.000584,0.706,0.279,0.72,138.0
Blessings - Malugi Remix,5rwQWXs5Igdez743EcWfLd,MALUGI,Blessings - The Remixes (Part 1),0.652,0.941,11,-5.85,0,0.0657,0.016,0.0196,0.213,0.577,139.995
Mind Made Up,6ckQUlIDmNe9mV5DBzW4op,MALUGI,Drop It Down,0.696,0.959,11,-3.907,0,0.062,0.000586,0.788,0.239,0.788,146.989
