track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Promise You - Maria Healy Remix,7r2cBRl3Z90MvNvUXGj0Fp,Maria Healy,Promise You (Maria Healy Remix),0.42,0.924,6,-7.493,1,0.0514,0.00989,0.00143,0.347,0.295,137.891
Reputation,4q6Tb1Et0rto0ZMGtGcwMU,Maria Healy,Reputation,0.466,0.997,4,-5.831,0,0.0518,0.000432,0.694,0.271,0.054,139.997
Not Today,11siysgItRJnravIUdz1OC,Maria Healy,Not Today,0.48,0.994,5,-6.674,0,0.102,0.00684,0.934,0.0944,0.208,137.997
Lost - Mixed,12rnfDCpwWVGcWeta7bMxb,Maria Healy,Subculture 2024,0.493,0.995,0,-8.05,1,0.0365,0.00353,0.692,0.0785,0.188,140.011
Sweetheart (ASOT 935),2L2xG8vyhQXZhvimgVMJf1,Maria Healy,ASOT 935 - A State Of Trance Episode 935,0.368,0.992,5,-9.225,0,0.0857,3.73e-05,0.956,0.484,0.0626,137.972
Bittersweet (ASOT 1147),0gE99ZceMwSxOOVhTGU70S,Maria Healy,ASOT 1147 - A State of Trance Episode 1147,0.435,0.996,9,-7.106,0,0.0763,7.64e-05,0.811,0.213,0.25,140.022
From Here (ASOT 1147),2MzvHjvKEfvrXBNjkZfjSe,Maria Healy,ASOT 1147 - A State of Trance Episode 1147,0.433,0.926,1,-7.246,1,0.041,3.71e-06,0.2,0.389,0.085,140.017
Chrysalis - Original Mix,1qzva9P4krbUvypIXu3EM9,Maria Healy,Chrysalis,0.564,0.989,1,-7.18,1,0.0552,3.12e-05,0.837,0.191,0.506,137.995
Street Rave (ASOT 1147),2wQnQ1tFru3kRwB7BUl0fz,Maria Healy,ASOT 1147 - A State of Trance Episode 1147,0.406,0.998,6,-7.234,1,0.0971,2.41e-05,0.93,0.0926,0.478,140.038
Save Me,5ckNgvVkqmMQSiEtQ9CJno,Maria Healy,Subculture the Residents Volume 2,0.515,0.995,0,-6.657,0,0.0934,3.91e-05,0.839,0.19,0.172,139.999
Kismet (Dream Sequence 2021),5VZNcYYC1arb7dybNuu26H,Maria Healy,Dream Sequence 2021 (Global DJ Broadcast),0.422,0.99,7,-10.521,0,0.0634,0.00023,0.856,0.101,0.19,137.992
Reputation - Extended Mix,4N6kY6JGF0zuAu74rsO4kP,Maria Healy,Reputation,0.546,0.998,4,-5.89,0,0.0598,0.000251,0.797,0.668,0.242,139.987
Dreamer - Extended Mix,5U5svymN7aJbgT2QhMMVj2,Maria Healy,Best Of FSOE Fables 2020,0.476,0.988,6,-5.964,0,0.062,0.000713,0.851,0.5,0.585,137.993
Mimosa (ASOT 983),2TuyxgPu1S55xcqDkuNaTu,Maria Healy,ASOT 983 - A State Of Trance Episode 983 (+XXL Guest Mix: Rodg),0.464,0.975,7,-7.112,1,0.054,6.95e-05,0.815,0.0774,0.162,136.938
Midnight Oil (ASOT 1147),0tWT48AuOG35bhL6u7DDT5,Maria Healy,ASOT 1147 - A State of Trance Episode 1147,0.37,0.995,8,-7.359,1,0.103,0.000244,0.969,0.316,0.191,140.048
Kingfisher (ASOT 757),1mERLd1PpXyzzIRpmzeRtF,Maria Healy,A State Of Trance Episode 757,0.438,0.941,1,-8.675,1,0.105,7.92e-05,0.918,0.206,0.0388,137.958
Lost (FYH409),3CasinyHRs7ItN2Tj9hFdR,Maria Healy,FYH409 - Find Your Harmony Radio Episode #409,0.438,0.996,7,-5.273,1,0.0403,0.00313,0.681,0.157,0.194,140.005
Bluebell,00KsbY3tnUlXYMv1ICxqkZ,Maria Healy,Bluebell,0.48,0.968,9,-5.819,0,0.0611,0.00111,0.957,0.686,0.0964,138.007
Midnight Oil (ASOT 1130),6xW6QYI1NgXOYm2NLDHzpP,Maria Healy,ASOT 1130 - A State of Trance Episode 1130,0.379,0.978,8,-9.788,1,0.0688,7.38e-05,0.91,0.118,0.426,138.656
Reputation (ASOT 1147),54fZuBhHgmFurbHsAw7yf1,Maria Healy,ASOT 1147 - A State of Trance Episode 1147,0.397,0.996,4,-6.901,0,0.068,5.61e-05,0.917,0.244,0.109,139.996
Believe In You (ASOT 1068),20j3FhTX9ic9nDcCOyDxqL,Maria Healy,ASOT 1068 - A State Of Trance Episode 1068,0.433,0.988,11,-7.493,0,0.0443,2.94e-05,0.74,0.0796,0.327,136.318
Believe In You - Extended Mix,7F1lqmp1VK5AZEC0CBaEya,Maria Healy,Believe In You,0.52,0.991,11,-5.112,0,0.0498,0.000257,0.723,0.355,0.482,137.99
Kingfisher - Original Mix,2wu8VK2Oo4u4NB8WkgzE69,Maria Healy,Kingfisher,0.419,0.979,1,-5.654,1,0.0638,5.91e-05,0.889,0.174,0.136,139.981
Godspeed - Maria Healy Extended Remix,2jGcQhAZ5GLxJ2pNyAVM8v,Maria Healy,Godspeed (Maria Healy Remix),0.508,0.973,8,-7.091,0,0.0611,0.000129,0.82,0.0935,0.853,138.992
Blush,3Yfp0Of3fbyl9QlndPY5hV,Maria Healy,Blush,0.472,0.986,5,-3.222,1,0.0415,0.000747,0.879,0.418,0.389,137.986
Dreamer,5GOPbydvbJIyoPrIpvKqwS,Maria Healy,Dreamer,0.426,0.987,6,-5.789,0,0.0878,0.000419,0.799,0.348,0.356,138.003
Street Rave,4xKMBTaOK1rjHYSCVYjvmV,Maria Healy,Street Rave,0.464,0.999,6,-5.764,1,0.0828,0.000295,0.84,0.364,0.425,138.013
Clouds,04Xk2v2vvMetrbbWV6uVUZ,Maria Healy,Clouds,0.369,0.988,4,-5.827,0,0.0624,9.65e-05,0.937,0.104,0.648,138.02
Mimosa,5gBqsnOCMpMI0Oe8uTH7A6,Maria Healy,Mimosa,0.463,0.973,9,-6.507,0,0.0526,0.00204,0.906,0.0882,0.301,138.019
Godspeed - Maria Healy Remix,1Erb3tO63KSRdMgELwjrYf,Maria Healy,Godspeed (Maria Healy Remix),0.462,0.98,10,-6.556,0,0.0666,0.000729,0.758,0.203,0.444,139.007
From Here,2xlYUK17FmN9EG8uzU8vaM,Maria Healy,From Here,0.422,0.95,1,-4.314,1,0.0348,0.000174,0.0174,0.502,0.233,137.994
Sweetheart,0W69GkOs0dbLhC1zQpRoPa,Maria Healy,Sweetheart,0.123,0.994,5,-5.93,0,0.111,0.00087,0.945,0.177,0.121,137.953
November Morning,1iysPafbxNjrvJbBVZdgLy,Maria Healy,November Morning,0.405,0.993,7,-7.038,1,0.0498,0.000756,0.674,0.281,0.391,139.989
Promise You - Maria Healy Extended Remix,3k344lsDan9QuqRCMDFPbv,Maria Healy,Promise You (Maria Healy Remix),0.47,0.996,6,-7.821,1,0.0824,0.00121,0.373,0.286,0.0971,138.006
The Other Side (ASOT 1237),0xlg7yv2fe6Usavf7lJIIi,Maria Healy,ASOT 1237 - A State of Trance Episode 1237 [Including Live at Tomorrowland 2025 (Freedom Stage) [Highlights]],0.275,0.989,6,-4.712,1,0.0523,3.57e-05,0.9,0.247,0.423,139.621
Desiderate (ASOT 821) - Giuseppe Ottaviani Remix,3EBZ19dM3kzTFrPdSOd5Ov,Maria Healy,A State Of Trance Episode 821,0.454,0.923,0,-11.511,1,0.0686,0.000548,0.873,0.593,0.288,133.95
Atlantis Calling - The Noble Six Remix,3y5ycNbEkNmSc65JXnAuKe,Maria Healy,Atlantis Calling,0.4,0.998,7,-7.578,1,0.0867,0.000822,0.893,0.435,0.0397,140.01
Desiderata - Giuseppe Ottaviani Remix,3NWhaxRwmOeBTRmrkPMYF8,Maria Healy,Desiderata,0.584,0.962,1,-5.709,1,0.06,0.000192,0.948,0.0881,0.641,139.997
November Morning - Extended Mix,30uKSkCh2UiTIbzoacR8Gb,Maria Healy,November Morning,0.511,0.989,7,-7.553,1,0.0511,0.000121,0.797,0.132,0.753,140.012
Bay Breeze (ASOT 900 - Part 2),7FofJiuvPudJwgw3UInEoR,Maria Healy,ASOT 900 - A State Of Trance Episode 900 (Part 2),0.0591,0.97,1,-11.71,1,0.0682,0.000243,0.965,0.523,0.329,179.528
