track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Forbidden Voices,6EsH66Uto1zwZlDGQ6RokU,Martin Garrix,Forbidden Voices,0.534,0.711,10,-5.927,0,0.0368,0.05,0.0031,0.135,0.3,128.102
In the Name of Love,23L5CiUhw2jV1OIMwthR3S,Martin Garrix,In the Name of Love,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99
So Far Away (feat. Jamie Scott & Romy Dya),0OlnLZY4cmQzT6ZGttvWBM,Martin Garrix,So Far Away (feat. Jamie Scott & Romy Dya),0.526,0.52,6,-7.985,0,0.0569,0.435,0.0,0.197,0.13,149.119
Don't Look Down (feat. Usher),5M9jOReAKGZ2AttVefFjTY,Martin Garrix,Don't Look Down (feat. Usher),0.575,0.831,0,-5.972,1,0.0356,0.00406,0.000449,0.111,0.377,127.991
Carry You,31ZO9XuKt48Qb2eUTBynd2,Martin Garrix,Carry You,0.505,0.737,0,-5.608,0,0.0405,0.0825,0.0,0.0807,0.352,126.992
⁠⁠Butterflies,129zR3hX9D2BYXOMtk2jaT,Martin Garrix,Butterflies,0.2,0.801,0,-4.4,1,0.0424,0.00211,2.53e-06,0.186,0.191,127.004
No Sleep (feat. Bonn),1ahVFh0ViDZr8LvkEVlq3B,Martin Garrix,No Sleep (feat. Bonn),0.44,0.635,11,-6.385,1,0.0326,0.129,0.0,0.121,0.327,128.133
Like I Do,6RnkFd8Fqqgk1Uni8RgqCQ,Martin Garrix,Like I Do,0.635,0.9,0,-3.719,0,0.0377,0.00664,0.0145,0.37,0.15,127.978
Set Me Free,1tIYTeCrLtHTbZwmKXh625,Martin Garrix,Set Me Free,0.467,0.847,1,-4.114,0,0.0839,0.381,0.00444,0.0929,0.316,169.929
Hurricane,5RfVafaeEEiqC0Z3LsBaZw,Martin Garrix,Hurricane,0.434,0.66,6,-5.605,1,0.0359,0.0122,6.12e-06,0.103,0.315,127.968
Sleepless Nights,39pgWHKvgtSlvEI0AWvi62,Martin Garrix,Sleepless Nights,0.434,0.907,10,-5.248,0,0.109,0.303,0.0,0.155,0.418,138.139
Gravity,1vMMwDCd1Hnb91a3x9MdfX,Martin Garrix,Gravity,0.491,0.69,5,-6.532,0,0.0363,0.0124,0.0,0.0868,0.253,126.839
Breakaway,3g0eHwVjGYZaHooqGtKefQ,Martin Garrix,Breakaway,0.661,0.708,10,-5.207,0,0.0395,0.163,0.598,0.213,0.519,127.991
Inside Our Hearts,7JxHc4FNqdIzIJyrpqYAdH,Martin Garrix,Inside Our Hearts,0.438,0.753,8,-5.15,0,0.0464,0.0906,0.0,0.143,0.295,127.818
Drown (feat. Clinton Kane),4RVtBlHFKj51Ipvpfv5ER4,Martin Garrix,Drown (feat. Clinton Kane),0.573,0.739,9,-5.455,1,0.0581,0.212,0.0,0.175,0.363,120.077
Hero,4Wu62DoQg1ECGlDKDfo30R,Martin Garrix,Hero,0.534,0.696,9,-5.211,0,0.0694,0.316,0.0,0.248,0.251,168.149
High On Life (feat. Bonn),4ut5G4rgB1ClpMTMfjoIuy,Martin Garrix,High On Life (feat. Bonn),0.414,0.486,6,-6.431,0,0.0311,0.0129,0.0,0.111,0.368,128.038
Ain't Letting You Down,1vQolNYci1yfPZccu6mqIB,Martin Garrix,Ain't Letting You Down,0.47,0.679,6,-5.778,1,0.0314,0.0292,4.24e-06,0.0942,0.49,128.053
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,Scared to Be Lonely,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972
Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,Martin Garrix,Ocean (feat. Khalid),0.506,0.693,0,-7.265,0,0.0412,0.584,9.58e-05,0.0891,0.221,139.912
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,There for You,0.611,0.644,6,-7.607,0,0.0553,0.124,0.0,0.124,0.13,105.969
