track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
La Discoteca,6gJQywNtkGHqMAvchQjeVo,Mary Droppinz,La Discoteca,0.716,0.885,2,-5.863,1,0.0363,0.000778,0.638,0.155,0.432,132.036
Yummy Gummy,6NlBcr0CvGpWvuxgLUjD9t,Mary Droppinz,Yummy Gummy,0.881,0.659,6,-6.193,1,0.0767,0.000513,0.0436,0.3,0.622,141.997
Fight,03NZI88e7f9ocbkw3j6PSo,Mary Droppinz,Fight,0.766,0.7,1,-7.754,1,0.106,0.0298,0.661,0.0674,0.203,140.012
GiGi,7n2vLTUO8JahfIXqa5WcxQ,Mary Droppinz,GiGi,0.844,0.729,7,-6.186,1,0.0671,0.0142,0.0818,0.0562,0.32,137.986
Bass B$tch,3OBUIW6j8f0u0WfXX48u1v,Mary Droppinz,Bass B$tch,0.775,0.833,11,-5.584,0,0.0825,0.0135,0.493,0.0429,0.59,139.994
Pink Lambo,6yvHeE78HMKIih5Ys9gKVr,Mary Droppinz,The Cycle EP,0.773,0.859,10,-5.56,0,0.0523,2.93e-05,0.883,0.0372,0.377,135.004
Everything Is Energy,1KvKnoFSIbywc5ZCXRWFmH,Mary Droppinz,Everything Is Energy,0.668,0.868,10,-2.078,0,0.0489,0.000832,0.364,0.0782,0.339,87.006
Do It For Yourself,4znWmau1H1ythOHAUQ44bS,Mary Droppinz,Galactic Portal,0.66,0.603,2,-9.302,1,0.0412,0.00011,0.865,0.0298,0.191,128.009
Sandman,5NN1ptBIhKxISUvzVxiZqt,Mary Droppinz,Sandman,0.774,0.713,1,-8.013,1,0.052,0.000144,0.829,0.27,0.155,127.003
Acid Mother,6xRTw4QGc16QytpUPnv7a0,Mary Droppinz,Acid Mother,0.488,0.946,2,-4.549,1,0.0534,0.000122,0.89,0.0361,0.0343,137.008
Alive (Mary Droppinz Remix),1sy6ptiQv3mj6HtMW7zTpv,Mary Droppinz,Vital Signs Remixed,0.344,0.957,4,-6.63,0,0.0809,0.0255,0.855,0.0814,0.288,139.474
Ignite,0m4WKfdi0ReBUdPvga3lAi,Mary Droppinz,Ignite,0.422,0.95,10,-2.147,0,0.0498,0.00131,0.31,0.274,0.212,132.021
Really Don't Care,7058w0eWOqdUcOsJyBKXBk,Mary Droppinz,The Cycle EP,0.774,0.733,0,-6.901,1,0.0479,0.000179,0.449,0.332,0.193,134.004
Textures - Gina Turner Remix,3auky6hyFYnFhNdW4DLmVl,Mary Droppinz,Textures (Gina Turner Remix),0.622,0.882,2,-5.101,1,0.101,0.00141,0.79,0.0372,0.399,174.035
Cool Intentions,6K1yYDxjA5FZRFco7u7Vz0,Mary Droppinz,Galactic Portal,0.806,0.668,10,-8.99,1,0.0784,0.11,0.682,0.205,0.339,131.939
Crypto Queen,4BSiyLGmx7D9FwBYUxNHgq,Mary Droppinz,Crypto Queen,0.652,0.907,11,-6.275,0,0.0439,0.000987,0.768,0.329,0.0563,128.018
Rainy (with REI AMI) - Mary Droppinz Remix,2D8AauIZ1FfSaGcr8NZdju,Mary Droppinz,These Remixes Are Fire TOO,0.781,0.802,6,-7.565,0,0.0546,1.38e-05,0.788,0.0579,0.0822,132.999
Gonna Be Alright,1BzlSyjMKVc8J5xh1vELP1,Mary Droppinz,Gonna Be Alright,0.792,0.81,11,-6.983,0,0.0437,2.27e-05,0.652,0.114,0.444,128.011
