track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Reset,69XBLvNPFQZPEFtQvmhDes,Massimiliano Pagliara,See You in Paradise,0.715,0.792,10,-8.855,1,0.056,0.0028,0.143,0.0531,0.655,124.011
Sometimes At Night,7ilr6s02J7hdJDDjUDgXGE,Massimiliano Pagliara,Toxic Love,0.873,0.328,10,-12.652,0,0.106,0.0751,0.111,0.128,0.687,99.973
The Jackal - Massimiliano Pagliara Remix,5cuwxXW3V91lKwWLVxVY74,Massimiliano Pagliara,So it Goes (The Dance Versions),0.749,0.81,5,-7.715,0,0.0433,0.00452,0.806,0.0958,0.67,120.005
Blue Eyes,7fVmuHYUd7L3aaANhzhkvr,Massimiliano Pagliara,"Devoid Of Dimension, Pt.1",0.709,0.793,1,-7.773,1,0.04,0.000119,0.891,0.102,0.442,122.994
Raving At The Acropolis,0CvYWS2TbJmiCmaxT1uVbW,Massimiliano Pagliara,Feel Live,0.796,0.844,5,-6.325,0,0.0544,5.6e-05,0.893,0.0636,0.885,125.981
Poseidon's Dream - Edit,6ohnOG1dPxBBBzf7iSvzyX,Massimiliano Pagliara,Hooking Up - EP,0.709,0.95,5,-4.969,1,0.0537,6.64e-06,0.746,0.0979,0.536,123.988
Midsummer's Dream,07qHqYkvNxmFxeli1df0la,Massimiliano Pagliara,Oddysee Vol.1,0.59,0.882,4,-8.147,0,0.0368,9.14e-06,0.838,0.0168,0.476,123.999
Nocturnal Prowler,0zj6KDBAkq0zKEGOJtsxT9,Massimiliano Pagliara,See You in Paradise,0.511,0.787,1,-9.062,1,0.0543,3.66e-05,0.918,0.121,0.236,125.999
Continental East Funk,5DD8bBNzeTe1VXKvfoQKSk,Massimiliano Pagliara,Toxic Love,0.804,0.493,2,-10.891,1,0.0534,0.032,0.291,0.119,0.696,110.779
Ophelie,5aOZEIaTcK627eTdxoTzC9,Massimiliano Pagliara,Toxic Love,0.748,0.633,8,-12.809,1,0.0369,0.0247,0.485,0.1,0.745,99.997
Sooner Or Later,7ygQLAsStTO6JPUr9YaWhO,Massimiliano Pagliara,Focus For Infinity,0.659,0.365,2,-14.126,1,0.0434,0.00839,0.114,0.561,0.249,92.836
Accidentally We Rushed,79reGZO5vEy5KAxi14nEDE,Massimiliano Pagliara,Nothing Stays in One Place for Long,0.694,0.919,8,-6.591,1,0.041,0.0233,0.774,0.238,0.802,127.009
Venus In Blue Marine - Edit,6ndyWAn5xNMLJy7b5Po4LE,Massimiliano Pagliara,Venus In Blue Marine,0.729,0.76,7,-9.181,0,0.0397,0.00266,0.8,0.0463,0.473,127.987
No More Love to Follow,5yIEieIWwc1wn6qdmzzdKB,Massimiliano Pagliara,Connection Lost Pt. 2,0.699,0.802,8,-6.075,1,0.0946,0.147,0.452,0.0927,0.723,180.014
Non Attachment,6pXybAqQkFqci8jmno7gU3,Massimiliano Pagliara,See You in Paradise,0.374,0.535,7,-11.134,0,0.05,0.824,0.895,0.0921,0.696,125.685
Mitate - Alex Kassian's Reprise,7IZeCag01Als9uzi5D7SwR,Massimiliano Pagliara,Mitate (Alex Kassian's Reprise),0.191,0.356,5,-12.817,0,0.0346,0.854,0.44,0.11,0.0385,100.146
A Winter In Los Angeles,7CqD2wQccpsOmUii73qq4r,Massimiliano Pagliara,Feel Live,0.752,0.505,2,-9.205,1,0.0369,0.0588,0.894,0.106,0.795,107.998
Ride Out The Wave,4wOUsCbFaxk791ng5FNwjA,Massimiliano Pagliara,Ostgut Ton Fünfzehn + 1,0.797,0.914,10,-9.413,0,0.0522,0.000335,0.875,0.067,0.692,125.005
Trying to Hide But Then I Cried,4J03Lgkw2lPBGBucexWoax,Massimiliano Pagliara,Connection Lost Pt. 2,0.739,0.96,1,-5.364,1,0.0459,1.32e-05,0.915,0.156,0.553,121.997
Gagacid (with nd_baumecker),6PrtUwbabZez3rSLphc2Ef,Massimiliano Pagliara,With One Another,0.596,0.681,7,-8.219,0,0.0587,4.52e-06,0.75,0.1,0.794,126.012
We Have Time feat. Mavin,3yvbHI5NI1x6nz39pJanzr,Massimiliano Pagliara,With One Another,0.717,0.838,6,-8.793,1,0.0414,0.000586,0.168,0.3,0.964,122.01
Long Distance Call (with Telephones),3Tfv9gwrBMnaYq7jVmDKSd,Massimiliano Pagliara,With One Another,0.778,0.772,0,-6.955,1,0.053,0.0127,0.678,0.0727,0.418,121.074
Hooking Up - Edit,4nZXKAsmaU40LwSPAEH95G,Massimiliano Pagliara,Hooking Up - EP,0.644,0.99,8,-6.064,0,0.0406,5.19e-05,0.949,0.137,0.456,127.941
Last Kiss On Acid - Edit,4f5K0e4N5Wp11pot7VAeto,Massimiliano Pagliara,Hooking Up - EP,0.687,0.991,5,-5.776,1,0.063,0.000686,0.902,0.107,0.972,128.001
All The VCOs You Can Eat - Modulator Mix,5y2Dm7reCFACnxmm3akBWf,Massimiliano Pagliara,All The VCOs You Can Eat,0.535,0.79,8,-6.835,1,0.03,0.00018,0.859,0.0738,0.149,125.0
For K+,2kkBsUtTUZk9db54ysVYkh,Massimiliano Pagliara,For You EP,0.737,0.768,1,-6.093,0,0.0301,3.64e-05,0.911,0.0315,0.684,128.003
As The Night Breathes (Feat. Heidi Diehl & Steve Gunn),5sbwTkxYa95CfpUs67cS31,Massimiliano Pagliara,Focus For Infinity,0.747,0.434,10,-11.503,1,0.0683,0.102,0.607,0.0597,0.792,105.003
Connection Lost,0BgiewQSALRTPi1yMVtSHK,Massimiliano Pagliara,Connection Lost Pt. 1,0.642,0.739,1,-4.794,1,0.0481,3.62e-05,0.825,0.101,0.39,122.006
Non Attachment - Gonno & Nick Höppner Telepathic Remix,5PXDp3ePUYvnk8lpW1sOvF,Massimiliano Pagliara,See You In Paradise Remixes 2,0.749,0.857,7,-8.365,1,0.0569,0.124,0.857,0.0792,0.805,131.986
Trust The Direction Of The Wind feat. Peaking Lights,5dtbpcJhTgUxWBSpDQy8HY,Massimiliano Pagliara,Feel Live,0.54,0.958,10,-7.693,0,0.0925,0.004,0.869,0.228,0.683,121.911
I Love You And That`s Me,02TlgJYqiAivH9vEOCh468,Massimiliano Pagliara,Toxic Love,0.76,0.53,3,-9.959,0,0.0346,0.0572,0.443,0.121,0.833,108.006
For you,6dJDiIitAmgXmWnYzRtFQA,Massimiliano Pagliara,For You EP,0.645,0.913,0,-7.666,1,0.0499,0.00471,0.165,0.751,0.633,121.99
Never Seen You Dance - Massimiliano Pagliara Remix,6db9QGjrb6NlUW9qkqnw2j,Massimiliano Pagliara,When the Lights Go (Deluxe),0.68,0.842,0,-6.48,1,0.0383,0.00189,0.833,0.0429,0.486,121.998
Villaggio Paradiso (On Acid),7bdThkm4sIEhkzsP6QIC3K,Massimiliano Pagliara,Feel Live,0.654,0.852,0,-8.937,1,0.0299,0.000108,0.866,0.772,0.432,119.952
Snap Out,1NSL9l3FVezZcX6fp0cuMC,Massimiliano Pagliara,See You in Paradise,0.652,0.952,5,-5.71,0,0.0486,6.02e-05,0.865,0.342,0.888,124.994
Half-time Dreams,7LKPoZj6pjbpykI0ZKYPxR,Massimiliano Pagliara,See You in Paradise,0.597,0.848,6,-9.1,1,0.045,0.053,0.124,0.1,0.475,95.022
All The VCOs You Can Eat - Edit,4o0HiGsJIaLvSNRtThnelh,Massimiliano Pagliara,All The VCOs You Can Eat,0.496,0.87,8,-6.948,1,0.0312,3.69e-05,0.946,0.246,0.123,125.011
Avenue of the Palms - Night Mix,5kld69l0yFHDZUPjATPQY2,Massimiliano Pagliara,Nothing Stays in One Place for Long,0.735,0.524,8,-7.302,1,0.0494,0.00317,0.836,0.0724,0.326,124.015
You Belong To No-One - Massimiliano Pagliara Remix,6nGLyyCOCW1g8vI8r3syTq,Massimiliano Pagliara,Kiss & Forget Remixes,0.745,0.856,3,-6.251,0,0.0497,0.00196,0.796,0.52,0.287,121.992
Avenue of the Palms - Sunset Mix,7GfjdYamcK4FCahABeE7FD,Massimiliano Pagliara,Nothing Stays in One Place for Long,0.723,0.616,8,-7.721,1,0.0398,0.0226,0.387,0.161,0.231,124.005
The Big Sun - Massimiliano Pagliara Telephone Call Remix,4Flc2uiglOchibA7rlWJjW,Massimiliano Pagliara,Amiata (Remixes),0.739,0.795,10,-9.851,0,0.0408,0.000681,0.796,0.046,0.813,122.006
Everything That Happens Is Supposed To Happen,6c6aamjhEWT9gLXxXC3Pjd,Massimiliano Pagliara,With One Another,0.748,0.666,8,-8.903,1,0.0542,0.00182,0.915,0.0721,0.689,117.016
Your Love Away (with Jules Etienne) - Bonus Instrumental,1aYcdwCTZe4fvDAVys397X,Massimiliano Pagliara,With One Another,0.671,0.52,6,-10.366,1,0.0787,0.00558,0.841,0.0619,0.462,122.003
All I Want - Massimiliano Pagliara Remix,6peSP17GnpNwN1Yx8hm7Xf,Massimiliano Pagliara,Frankfurt Versions,0.682,0.494,6,-10.439,1,0.0565,0.00137,0.904,0.0375,0.536,119.987
I Am Disco - Massimiliano Pagliara Remix,2vYhb2sXThYeK0MBFwJHMU,Massimiliano Pagliara,I Am Disco,0.674,0.577,1,-12.155,1,0.0482,0.0105,0.897,0.0794,0.963,113.002
Properties Of Distance,3YCZYt4iHrM51yVpTaae3h,Massimiliano Pagliara,Feel Live,0.183,0.126,0,-24.03,0,0.04,0.912,0.9,0.105,0.0369,137.441
A Dream I Get Stuck In,327sYQq7yG84JxeVQjXMNU,Massimiliano Pagliara,With One Another,0.63,0.789,6,-6.941,0,0.0551,0.00706,0.913,0.0555,0.47,119.976
See you in Paradise,0StRJg3sLRX1obSN50eXgI,Massimiliano Pagliara,See You in Paradise,0.626,0.622,1,-11.261,1,0.0517,0.8,0.801,0.107,0.496,103.988
Persistently There,6jIo4tpxDUp9lEPpqntpyb,Massimiliano Pagliara,See You in Paradise,0.501,0.71,0,-10.732,1,0.0455,0.199,0.939,0.392,0.288,114.967
Costellazione K78 - Dub,6ognSGwGHsDRPlzipjJ5U1,Massimiliano Pagliara,Costellazione K78,0.711,0.528,6,-8.818,1,0.047,0.0112,0.436,0.142,0.736,113.005
Two Weeks Later,0enR5OtI7yrmNz3vc8DFAC,Massimiliano Pagliara,Feel Live,0.713,0.809,11,-6.615,0,0.0727,0.00961,0.721,0.077,0.948,150.015
Endless Change,6UTR6CSzVo0imAMtESl2kn,Massimiliano Pagliara,Feel Live,0.603,0.866,11,-8.765,0,0.0568,2.31e-06,0.814,0.372,0.907,125.003
Free At Last,5xv6npdy2XPY5LMdcWIMf9,Massimiliano Pagliara,"Devoid Of Dimension, Pt.1",0.61,0.796,1,-7.268,1,0.0392,0.00304,0.859,0.0927,0.48,125.001
Intense Affectionate,5irovZW3Dlq4GKZCSV56YR,Massimiliano Pagliara,See You in Paradise,0.691,0.838,8,-9.818,0,0.0692,0.0165,0.925,0.129,0.483,131.984
Harmonize,7h3LkdxitI5FfcqaJRPueM,Massimiliano Pagliara,Focus For Infinity,0.65,0.541,7,-10.851,1,0.0485,0.00154,0.898,0.138,0.438,110.006
Fall Again (with Lee Douglas),5UdPMmgWFf0gv9M0WDKGfq,Massimiliano Pagliara,With One Another,0.813,0.838,7,-7.861,1,0.0494,0.00173,0.877,0.0855,0.449,120.001
Feel Live,0Ux2dwF6gKjNhfZDPfDxZN,Massimiliano Pagliara,Feel Live,0.719,0.463,5,-8.015,0,0.0615,0.00258,0.85,0.074,0.557,118.008
Floating Room,5f13sjkW9RmNkD5hXiV6wz,Massimiliano Pagliara,Feel Live,0.397,0.418,7,-7.904,1,0.0347,0.0547,0.791,0.0581,0.648,163.566
Now And Forever,1fghm5gfiXjjRpgdY75uS9,Massimiliano Pagliara,With One Another,0.696,0.366,0,-10.042,0,0.0414,0.000836,0.914,0.101,0.325,99.998
Geometric Crystal Spaces,26LMIwnJMePVyz1MclW08L,Massimiliano Pagliara,Feel Live,0.779,0.939,7,-6.933,1,0.0422,1.04e-05,0.3,0.0241,0.622,127.985
Fade The Light (Feat. Mavin),4wVVaPyVQQQpWOzu2cnXj7,Massimiliano Pagliara,Focus For Infinity,0.741,0.559,6,-11.468,1,0.0522,0.000134,0.164,0.106,0.698,115.01
Fave Rave - Edit,60GNT1EPucKUWFt0AIPhhd,Massimiliano Pagliara,Hooking Up - EP,0.585,0.924,9,-5.832,1,0.0436,0.000329,0.805,0.316,0.12,127.016
