track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Everlight,4g1gtAETdNfsNT5GBxNW34,Mathame,Everlight,0.573,0.87,2,-7.403,0,0.0378,0.00269,0.634,0.14,0.118,132.981
Nothing Around Us,53LutukjblYuDBWsIJocl5,Mathame,Nothing Around Us,0.592,0.889,3,-7.638,0,0.0354,0.00388,0.152,0.166,0.309,124.983
Magia,5hkE7PZJckddU6aDcHxXIF,Mathame,Unity,0.829,0.516,5,-11.507,0,0.0543,0.142,0.737,0.102,0.0369,126.001
Hungover (with Camden Cox),1HmeANWuuCP6ldvGgKwTLi,Mathame,Hungover (with Camden Cox),0.607,0.875,2,-4.384,0,0.0356,0.016,0.0444,0.0855,0.0935,135.961
Koko,39tgmvIqDuQYlpvGEIyRMf,Mathame,Koko,0.773,0.917,9,-5.552,1,0.0413,0.0184,0.494,0.0877,0.338,131.981
I Will Find You,74XpVeIclja8aFEtCQq1Y5,Mathame,I Will Find You,0.562,0.782,10,-4.76,0,0.0264,0.00306,0.327,0.304,0.0399,132.986
Feel Your Ghost,7uNcS4pnF8GQIVLGXFNAQj,Mathame,MEMO,0.735,0.888,1,-3.995,0,0.0516,0.00753,0.000274,0.565,0.507,133.03
Discovery Channel,6cXsjB2K1SVdYZfFE0fsHg,Mathame,Discovery Channel,0.656,0.824,2,-4.41,1,0.0441,0.00284,0.244,0.276,0.269,135.984
Skywalking,02WYronjNNCqLKuvuBcu3d,Mathame,Skywalking,0.678,0.824,8,-7.775,1,0.0881,0.0215,0.917,0.0661,0.0308,127.418
Humans,5cOVJLrV4nnnvZtzSyE7cE,Mathame,Humans,0.603,0.89,4,-5.826,0,0.0378,0.0143,0.129,0.0945,0.0372,129.992
Many Times,096RUfVWszZCGdEjg6JLWx,Mathame,Spiritual Milk,0.547,0.809,3,-8.143,0,0.045,0.00706,0.0394,0.105,0.0366,130.017
Mystery (Tale Of Us & Mathame Remix),5PmtkO6wsY7Xj2cMm8c9dY,Mathame,Nude Remixes,0.728,0.58,5,-9.778,0,0.0525,0.017,0.67,0.0654,0.0367,124.003
For Every Forever,5M3127VkGWY0e49f8lrEQL,Mathame,For Every Forever,0.714,0.537,4,-8.739,0,0.0421,0.00234,0.386,0.0856,0.0555,128.037
Believe,7tXSceUXIkr1OvNPCQKdT5,Mathame,MEMO,0.594,0.902,10,-7.387,0,0.0368,0.0185,0.494,0.332,0.0597,128.008
Dance To Death,1t9CSdEHfgWAKoPJuxGd9A,Mathame,MEMO,0.563,0.879,5,-5.755,0,0.0323,0.00345,0.00771,0.469,0.0724,128.013
22,5qEChu8hd1DUkYWOogalDL,Mathame,Nothing Around Us,0.864,0.444,5,-12.561,0,0.108,0.0139,0.861,0.0667,0.222,127.011
