track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1999,33tCbynAO3vxpJLfYd4Nsg,Matty Ralph,1999,0.504,0.988,1,-4.909,1,0.0417,0.00613,0.911,0.503,0.34,147.001
Te Adoro,4KmL3jXIpLPhAhRshb5Edc,Matty Ralph,Balearic Dreaming,0.529,0.99,10,-4.391,0,0.0468,0.0246,0.827,0.182,0.346,145.013
Dreaming,5KRk04UI2qpMKQTkYTlNb7,Matty Ralph,Dreaming,0.572,0.976,8,-4.099,1,0.049,0.00152,0.932,0.0581,0.191,141.973
Paradise,6TW9mT9zgqjghh0nAU1L41,Matty Ralph,Paradise,0.571,0.955,8,-6.883,1,0.048,0.000284,0.834,0.913,0.308,145.015
For The Love Of Acid,0gW0nU38qxz4jUQLyrw9Im,Matty Ralph,For The Love Of Acid,0.621,0.993,11,-4.003,0,0.0784,0.0032,0.712,0.0377,0.274,147.036
Rock This Party,7pZJXofPn30gdF1J1nnhBG,Matty Ralph,A State of Trance 2025 - TRANSFORMATION (The Official Album),0.867,0.999,6,-3.435,0,0.202,0.0197,0.654,0.264,0.273,148.005
Dreaming (Mixed),5FOAnnjQ7RB2bm5cmdXDBP,Matty Ralph,A State of Trance Year Mix 2024 (Mixed by Armin van Buuren),0.554,0.996,0,-5.63,1,0.0689,1.48e-05,0.887,0.112,0.707,137.96
Te Adoro (ASOT 1204),0EfP3dGaAOs8NL6ubOHFGG,Matty Ralph,ASOT 1204 - A State of Trance Episode 1204 (Top 50 of 2024),0.547,0.908,9,-7.012,0,0.0483,0.00466,0.769,0.469,0.464,138.015
Dreaming (ASOT 1188),6WrBLnaHCQVIGE6gmSysyw,Matty Ralph,"ASOT 1188 - A State of Trance Episode 1188 [Including A State of Trance, Ibiza 2024 (Mixed by Armin van Buuren)]",0.651,0.962,0,-5.977,0,0.0514,0.000491,0.841,0.0557,0.566,143.955
My Loving,7mYLZghYW8TGQgaxb6QaeT,Matty Ralph,My Loving,0.649,0.991,6,-5.033,0,0.0475,0.000326,0.867,0.546,0.549,146.999
