track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Gets Like That,1aBVDx9VjyLEk8rz8pezru,Max Dean,The Finest EP,0.811,0.495,11,-17.722,1,0.151,0.011,0.00133,0.0658,0.482,130.004
Loving Saturday,1OJiJJkhvXWunfFfM99NOA,Max Dean,Loving Saturday,0.803,0.731,2,-11.764,1,0.0903,0.0671,0.525,0.104,0.616,127.981
Touch Me,2SxK8egmvSInDUb6gC3lxI,Max Dean,The Finest EP,0.711,0.689,0,-15.17,1,0.089,0.00512,0.524,0.124,0.454,132.04
Impressed,1zvhCwOIUz76SdL1uep1XA,Max Dean,Impressed,0.778,0.764,11,-8.296,0,0.0584,0.000415,0.597,0.117,0.396,129.994
The Way I Are - Max Dean Remix - Extended,1fhx6MlQPiT6FKa6IolKZh,Max Dean,The Way I Are (Max Dean Remix),0.799,0.795,8,-6.527,0,0.0486,0.00303,0.317,0.105,0.894,129.001
Yes Baby,0fU72vwAfuhSQYCjXIWRJW,Max Dean,Start Screamin,0.795,0.762,6,-7.833,1,0.0637,0.00601,0.717,0.0643,0.663,130.014
In You,5NBkCWj7qzq2pKix4wHOQh,Max Dean,In You,0.838,0.668,5,-10.388,0,0.0495,0.0151,0.796,0.0807,0.494,129.007
Can't Slow Down,6g688TONRI9ePD1neyOTKp,Max Dean,ENDZ052,0.754,0.833,7,-8.289,0,0.055,0.00496,0.864,0.0909,0.723,127.996
Like You,7x12czV5p4jvEjBNe7EEWP,Max Dean,The Finest EP,0.781,0.513,11,-21.034,1,0.0532,0.0235,0.78,0.0756,0.718,132.982
KILLERZ,33h3N6ZCFMk25Zo0sG0syI,Max Dean,KILLERZ,0.796,0.814,11,-7.488,0,0.0451,0.000821,0.846,0.0656,0.681,129.997
No Feelings,5GledMfmd08aPAI7NqX7d6,Max Dean,No Feelings,0.798,0.941,6,-9.625,0,0.0609,0.0011,0.499,0.0936,0.811,127.976
Start Screamin,3wrmexNSjk1rkvolqEKZTX,Max Dean,Start Screamin,0.799,0.777,9,-8.712,0,0.0549,0.000343,0.82,0.0612,0.59,130.001
Future Looks Bright (feat. Mr V),0ffGMYpIUq2geORhCa1JjD,Max Dean,Future Looks Bright (feat. Mr V),0.599,0.957,6,-7.026,1,0.0353,0.000349,0.849,0.0891,0.487,130.021
This Party,1qFGxLCHWoH8YSjZqfs9rX,Max Dean,Loving Saturday,0.789,0.764,7,-11.926,1,0.0655,0.00233,0.521,0.11,0.467,130.014
The Finest,3s8jNQmpMoqLTnhu77qyCr,Max Dean,The Finest EP,0.796,0.419,6,-20.079,0,0.0532,0.0255,0.0982,0.118,0.525,132.01
Reckless (2024),6R3CxqaSQqIQnnpPkm5sno,Max Dean,Reckless (2024),0.714,0.896,9,-5.083,0,0.0521,0.0103,0.000633,0.114,0.777,130.002
This Party - Prunk Remix,1Wl2RK8AApL9u4Cl7nCC5s,Max Dean,Loving Saturday,0.831,0.871,0,-8.789,1,0.102,0.0113,0.878,0.171,0.423,125.996
Focus,4OsjvDCqx3YYklsm3NTxfM,Max Dean,ENDZ052,0.794,0.934,2,-8.299,1,0.0517,0.00218,0.901,0.0688,0.841,129.009
Sunshine Upon The 33,0s8Wtm61Jowf4ckv3YL5Hs,Max Dean,Loving Saturday,0.793,0.639,5,-13.859,0,0.063,0.0246,0.784,0.088,0.734,128.988
Jolie Chatte,2ZBeJxOLRvA6JXtV5BAc7O,Max Dean,Jolie Chatte,0.745,0.774,5,-11.114,0,0.0473,0.413,0.629,0.069,0.498,128.995
