track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Run!,6ZT9N8v1ESdS9aG9r4fVqY,MC Phantom,X12,0.513,0.901,1,-1.384,1,0.0761,3.5e-05,0.717,0.124,0.325,174.127
There In 10,0oE4GfKVBFYYUYAPDNMZFc,MC Phantom,X12,0.682,0.962,1,0.834,1,0.067,0.00772,0.00408,0.358,0.285,87.034
2 Much,5CfJ641gQnDiJ59Wvb8DWs,MC Phantom,X12,0.742,0.92,7,-0.815,1,0.391,0.00133,0.00846,0.0945,0.534,174.086
Liftoff,4yI74bdkCfRmhr3BzMTLwU,MC Phantom,X12,0.591,0.964,11,0.148,0,0.25,0.000726,0.431,0.66,0.419,173.977
Let Me Tell U SMTH,35il5XJ3JrbzNRpSVIfBDa,MC Phantom,X12,0.869,0.964,2,-3.499,1,0.0573,0.00243,0.821,0.076,0.416,124.989
Back 2 Dance,7sSY5xI0J7Iv6l68Qohzbt,MC Phantom,X12,0.608,0.994,1,1.075,1,0.218,0.0207,0.302,0.863,0.728,173.983
Nightmare,5lFpMUznLuQHr3BwK6Emro,MC Phantom,X12,0.577,0.969,11,0.03,1,0.151,0.00463,0.00439,0.198,0.036,173.997
Pressure,1AVJb7XSkOfiOwwyKA39pV,MC Phantom,X12,0.58,0.945,5,-0.194,1,0.134,0.0112,0.732,0.369,0.33,174.027
I See You,43a1TOudjLFYhNvzv8a9NN,MC Phantom,X12,0.727,0.918,2,-0.397,1,0.0595,0.0125,0.0111,0.343,0.268,87.502
Blue Astra,2oukVhMO9HALFYX8mO2m0l,MC Phantom,X12,0.403,0.987,1,-0.342,1,0.132,0.000648,0.858,0.148,0.198,173.986
Fight!,0rpArjt95UBVNw75jPlpb4,MC Phantom,X12,0.82,0.893,2,-0.289,1,0.173,0.00249,0.0703,0.0853,0.644,128.068
X12,1i1ICH2QfT36h0IC9KlCs2,MC Phantom,X12,0.62,0.97,8,0.375,0,0.0803,0.00318,0.779,0.578,0.353,173.986
Eject,7anc10Q8txXW30JtcsMDul,MC Phantom,VOID LP,0.306,0.99,6,0.484,1,0.422,0.00966,0.0187,0.291,0.0395,175.282
Operator,252DtNX0Mg9a0ldYbxC1ru,MC Phantom,VOID LP,0.661,0.963,11,0.862,1,0.289,0.00169,0.293,0.28,0.447,173.972
