track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Fire - Official UEFA EURO 2024 Song,7MYLHLCf0YWR4TVs3owDny,Meduza,Fire (Official UEFA EURO 2024 Song),0.538,0.82,0,-7.234,1,0.0513,0.231,0.0,0.218,0.27,129.919
Pegasus,6G0ldVNlhQf82Rf3pWjAyQ,Meduza,Pegasus,0.583,0.885,5,-7.189,0,0.0396,0.0398,0.0447,0.297,0.382,125.047
Bad Memories - Felix Jaehn Remix,04R4oiYD4NU6ZkdwlaJSep,Meduza,Bad Memories (Felix Jaehn Remix),0.667,0.815,1,-7.401,1,0.19,0.031,0.0361,0.0349,0.394,138.057
Edge Of The World (feat. Nu-La),2zfWwqiWzmXRsyICIDbwGW,Meduza,Edge Of The World (feat. Nu-La),0.61,0.919,5,-6.409,0,0.0419,0.00698,0.00494,0.261,0.224,126.039
Tell It To My Heart,1sOfNRe7zyQkJj0cY6z2k8,Meduza,MEDUZA,0.539,0.716,11,-6.647,0,0.0596,0.0259,0.0,0.609,0.483,123.858
Bad Memories,3JhgPs7rbmzLBWRvHlel8U,Meduza,MEDUZA,0.607,0.755,5,-6.069,0,0.0468,0.122,0.0,0.144,0.664,123.994
Everything You Have Done - Meduza Edit,5ooCfBqZyTB5CTdu1x7S77,Meduza,Everything You Have Done (Meduza Edit),0.678,0.935,2,-6.382,1,0.0592,0.0459,0.202,0.198,0.485,124.989
Everything You Have Done,44lgAk4wJN8ObrFSglxui5,Meduza,MEDUZA,0.679,0.935,2,-6.382,1,0.0594,0.0464,0.21,0.198,0.477,124.993
Born To Love (feat. SHELLS),7cX5H82DTZ5iHRLbewBEBd,Meduza,Born To Love (feat. SHELLS),0.722,0.856,1,-6.392,0,0.0338,0.0305,0.0597,0.231,0.827,121.99
Phone,4Y3xYddcLDgr2qm0xVdGgW,Meduza,MEDUZA,0.651,0.604,3,-7.896,0,0.0602,0.06,0.0,0.302,0.408,130.029
Sparks,0SG7XH1L4gMwcXkLuMjDgq,Meduza,Sparks,0.574,0.891,9,-5.613,0,0.0392,0.00836,5.79e-05,0.0454,0.253,123.959
Tell It To My Heart (feat. Hozier) - Tiësto Remix,4bL0sCjnM6a1rKoBIHJYxI,Meduza,Tell It To My Heart (Tiësto Remix),0.632,0.857,11,-3.659,0,0.0504,0.00177,0.000154,0.259,0.483,127.963
Tell It To My Heart (feat. Hozier) - KREAM Remix,4BxYyjqSPyip5kbscidyZx,Meduza,Tell It To My Heart (KREAM Remix),0.6,0.878,7,-6.012,1,0.0382,0.0148,0.00293,0.0642,0.238,124.974
Upside Down (feat. Poppy Baskcomb),2UDycsru4dEa1UFmyIvKYU,Meduza,Upside Down (feat. Poppy Baskcomb),0.548,0.857,3,-6.83,1,0.0369,0.0187,0.749,0.0731,0.0532,127.967
Another World - Kevin de Vries & SLVR Remix,70hIxHhQLcxmqwxfcYkoUf,Meduza,Another World (Kevin de Vries & SLVR Remix),0.564,0.841,11,-6.569,0,0.0324,0.00229,0.777,0.368,0.215,126.991
Ecstasy,7gT3poPl89krqi8qcBinyU,Meduza,MEDUZA,0.648,0.925,9,-6.553,1,0.0852,0.00142,0.831,0.558,0.322,126.071
Another World - HUGEL Remix,36uVlC2w68WFYnvEprzBBO,Meduza,Another World (HUGEL Remix),0.598,0.809,10,-4.821,0,0.0433,0.000737,0.0344,0.421,0.345,123.009
Power Over Me - MEDUZA Remix,494rSbjxSGfpm8s74CsSnh,Meduza,Power Over Me (MEDUZA Remix),0.67,0.803,9,-7.402,0,0.0369,0.133,0.0015,0.156,0.534,123.984
Friends,02GCklGc3OI3kfkZqttLyM,Meduza,MEDUZA,0.682,0.817,4,-5.171,1,0.0586,0.00725,3.8e-06,0.215,0.307,124.976
I Got Nothing,5gYuQutteTbnyTTAIUrzGd,Meduza,I Got Nothing,0.593,0.901,1,-6.908,1,0.0702,0.0685,0.212,0.185,0.41,124.97
Paradise - Topic Remix,4PZW5GQCtmdHAocDXLdU4j,Meduza,Paradise (Topic Remix),0.537,0.831,8,-5.777,0,0.0829,0.113,0.0665,0.0751,0.172,122.84
Bad Memories ft Elley Duhe and FAST BOY - David Guetta Remix,39zdHn7yXzrVB4zZLN4Zsh,Meduza,Bad Memories (David Guetta Remix),0.615,0.808,10,-3.348,0,0.041,0.0604,0.023,0.0738,0.135,124.969
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,Meduza,Piece Of Your Heart,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08
Freak,4w3dp65mVEKvTHeKZ7U2l8,Meduza,Freak,0.729,0.897,11,-8.427,1,0.0448,0.0758,0.0625,0.0843,0.0416,128.01
