track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Perished In Bloom,0Vbi6Mk4ZDdtraJnpYzmUc,Mink,Perished In Bloom,0.773,0.801,8,-6.807,1,0.0877,0.0789,0.175,0.072,0.749,162.967
Into the Night,0u1x6HLqZ45r7ekn7mOkTE,Mink,Into the Night,0.642,0.688,6,-9.484,0,0.0407,0.0388,0.0355,0.179,0.655,92.997
I'm Still Sad,63jEXBK0sUJAodepkajomH,Mink,I'm Still Sad,0.609,0.74,7,-6.528,0,0.0359,0.00572,0.0128,0.226,0.177,154.921
Red Wine and Blue,2AGNS5RKUpAEVqYhMSWUC3,Mink,Red Wine and Blue,0.672,0.449,1,-10.141,1,0.0451,0.352,0.0978,0.121,0.338,149.964
Nothing Hurts More,6GNu6mpdsHdJUOKUJa00Z1,Mink,Nothing Hurts More,0.614,0.494,1,-8.847,0,0.0284,0.0626,0.011,0.303,0.276,105.927
Honey,2RTtggo8je5eG47N336f3T,Mink,Honey,0.718,0.542,2,-9.182,1,0.0311,0.101,0.207,0.136,0.303,124.044
Inside Out,4Fn5ELfd5qPHQCI7VYo2X1,Mink,Inside Out,0.54,0.334,4,-14.582,1,0.034,0.792,0.576,0.0855,0.221,105.016
Gravel,4S8AwQtkGkxCOx7PSXFi9g,Mink,Gravel,0.342,0.375,6,-10.779,1,0.0482,0.115,0.000137,0.109,0.186,179.892
Youth,0F8OoW5rKYehhr6PnI2fHm,Mink,Youth,0.622,0.591,10,-9.581,0,0.028,0.00899,0.0733,0.101,0.708,155.084
Pain,4TY3LTIcTTqXQbciLVrjKY,Mink,Pain,0.678,0.556,10,-9.313,1,0.029,0.0133,0.0308,0.118,0.357,111.026
Marble,1ThBT8ctvz6s2tYJeP21sf,Mink,Marble,0.571,0.58,2,-10.577,0,0.0486,0.177,0.0803,0.109,0.123,92.849
Cuéntame,06K8GZypMCh66UcHMTDOVP,Mink,NY/LDN EP,0.783,0.913,1,-7.541,1,0.0674,0.000298,0.848,0.0937,0.497,126.002
Nim My Mei,3ypuZGMlaUhR0TrmcAoz7K,Mink,Burning Photographs,0.511,0.518,6,-6.361,0,0.0296,0.0202,0.00685,0.177,0.215,121.952
