track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Rush,4psDjgH2FkKazJonY7nD6E,Mish,Rush,0.629,0.836,9,-4.998,1,0.0638,0.0317,0.000747,0.0876,0.402,174.997
FEELIN' HIGH,5WeFchK0FRpzVv9Z3c6ulH,Mish,FEELIN' HIGH,0.482,0.964,6,-2.397,1,0.157,0.0213,0.000564,0.547,0.462,159.929
YEAHBOIII,0ylo3XIQYUzPYhTdfPWn4v,Mish,YEAHBOIII,0.417,0.955,7,-3.837,0,0.193,0.000481,0.00295,0.901,0.397,159.912
HYPNOTISED,3myc4hzNkPXqEkEo1rWHMm,Mish,HYPNOTISED,0.462,0.923,5,-2.015,1,0.241,0.00141,0.00015,0.663,0.184,159.978
RAVE LOVE,0iOaml3TqUmX79xX8AenDb,Mish,RAVE LOVE PT.2,0.463,0.849,5,-4.091,0,0.243,0.0031,3.96e-06,0.373,0.483,159.91
THE MF SICKDROP,7gxmogFiqxwaIcMfgEuKE7,Mish,RAVE LOVE PT.2,0.434,0.789,6,-4.395,0,0.118,0.0239,4.87e-05,0.339,0.192,159.782
Time To Shine,7lwYmR800nxBhrlbBsgnrT,Mish,Time To Shine,0.421,0.939,9,-3.112,0,0.0954,0.000314,5.58e-06,0.341,0.173,159.983
One And Only,5XNT0tPqnw6F3UCaBgC67Y,Mish,HEY X2,0.529,0.983,0,-1.213,0,0.0918,0.00996,7.26e-06,0.367,0.481,160.022
RESCUE,6js1hmElsi0KihSTWe4Gln,Mish,RESCUE,0.505,0.974,7,-1.434,1,0.194,0.00197,0.000975,0.393,0.45,160.046
LET'S F IT UP (LAMBO 2.5),79USHGXR7Oo3NbGuCmqoax,Mish,RAVE LOVE PT.2,0.631,0.912,7,-4.028,1,0.125,0.00118,0.00366,0.695,0.564,160.055
HATE OR LOVE IT,4zFKFvN6OtRsgg50RhFCNx,Mish,RAVE LOVE PT.2,0.5,0.956,1,-4.174,0,0.246,0.000758,0.0016,0.946,0.536,159.937
CAN'T STOP US NOW,1b6GY4a7wAapD2hPCXbBbF,Mish,CAN'T STOP US NOW,0.406,0.966,11,-0.529,0,0.13,0.00565,0.0,0.363,0.0766,160.071
I GO HARD,5dx4TDF8TH1NEv4AWLUINy,Mish,I GO HARD,0.506,0.949,1,-1.691,1,0.311,0.0663,0.000308,0.458,0.503,160.027
STAY (Move Your Body),0CzdwjV3pZsytLQ88zRTJn,Mish,RAVE LOVE PT.2,0.474,0.965,5,-3.046,0,0.187,0.000789,0.000394,0.927,0.312,159.962
RAVE IN PARADISE (Official Free Festival 2023 Anthem),5kpArdAAVGs59MtzMs88cC,Mish,RAVE IN PARADISE (Official Free Festival 2023 Anthem),0.477,0.892,10,-3.438,0,0.17,0.0066,0.0,0.876,0.426,159.81
DISCOVER THE MAYHEM (Official REBiRTH Festival 2024 Anthem),1Wv5JiJLCJL8xZ5PNH1IEB,Mish,DISCOVER THE MAYHEM (Official REBiRTH Festival 2024 Anthem),0.459,0.963,0,-3.513,1,0.356,0.00217,5.47e-06,0.473,0.19,160.012
TELL ME WHY,5WX5LOr8DZ15CG5gnEuyh1,Mish,TELL ME WHY,0.449,0.957,11,-2.407,0,0.155,0.00014,0.00132,0.284,0.0954,160.009
WE BURNING THE DANCEFLOOR,5WfDFDDF85kFNlgrcDNOfg,Mish,RAVE LOVE,0.481,0.963,6,-4.266,0,0.43,0.0259,0.000302,0.142,0.245,159.945
RAVE DAMAGE - RAVE LOVE LIVE EDIT,4qvCHt23rXAigAWiJcRuyg,Mish,RAVE LOVE PT.2,0.645,0.939,10,-3.733,0,0.353,0.0134,2.5e-05,0.137,0.286,159.74
Bitter Soul (feat. brodie),4fvIEuiviPnmdrTcr6k1Mv,Mish,Bitter Soul (feat. brodie),0.406,0.95,2,-1.991,0,0.55,0.167,1.91e-06,0.0911,0.211,172.605
