track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Star Glide,5bbNH85pbTNcwFcWMffmx4,Muzz,The Promised Land,0.42,0.964,7,-1.397,1,0.107,7.18e-05,0.000274,0.543,0.0716,174.881
Worth The Lie,5mk5IUHKpdL0MBr6IY69hV,Muzz,Worth The Lie,0.403,0.939,1,-1.673,1,0.21,0.000295,0.00545,0.275,0.0747,175.128
In The Night,5IaCABCJsT7PtekYLAHOw7,Muzz,The Cascade,0.43,0.99,2,-0.665,1,0.314,3.97e-05,0.00115,0.385,0.423,174.92
Unspoken - MUZZ & Oliverse Remix,7gI6SoPMfZOdDF0LaBKtLE,Muzz,Unspoken (MUZZ and Oliverse remix),0.491,0.949,10,-1.527,0,0.0704,0.0011,0.00143,0.409,0.487,174.06
Nothing Else Matters (feat. Cammie Robinson),0oAZgCm7aq794Wr9sjrCXJ,Muzz,Nothing Else Matters (feat. Cammie Robinson),0.335,0.878,10,-0.666,0,0.0438,0.00725,0.0,0.156,0.319,87.497
Not Even Love - MUZZ Remix,4C6BVbsJTydFx5moRR71Q3,Muzz,Not Even Love (MUZZ Remix),0.223,0.98,6,0.02,0,0.37,0.000416,1.44e-05,0.37,0.0787,174.932
...Ready For It?,7dMHikM2EFipQdSyDZbnsE,Muzz,...Ready For It?,0.499,0.978,11,0.128,0,0.0976,0.00285,0.0,0.322,0.323,175.034
Don't Stop,77Dn9E3WFNMzZGq7K1J6rR,Muzz,Don't Stop,0.511,0.997,0,0.95,1,0.0535,0.00079,0.557,0.245,0.15,175.023
Feeling Stronger - High Maintenance Remix,42ZwelVk9yQF4Twt9l43Ba,Muzz,Get Crazy / Feeling Stronger (The Remixes),0.434,0.95,5,-2.996,0,0.0383,0.000455,0.0128,0.431,0.532,174.96
Rain Dance,2kjE1Znpvkl5g6BrHAN8KG,Muzz,Rain Dance,0.503,0.991,0,0.213,1,0.073,0.000497,0.27,0.0587,0.597,175.058
Start Again - Lexurus & Dualistic Remix,4mCY3ezfbTUKYcS92pHq7K,Muzz,The X Saga,0.419,0.902,6,-4.583,0,0.0458,0.000311,0.0128,0.117,0.291,173.968
Horsepower - F.O.O.L & TOKYO ROSE Remix,6Vhd1f9ezZEVxc4BkZMyGX,Muzz,Horsepower (F.O.O.L & TOKYO ROSE Remix),0.598,0.765,2,-3.588,1,0.0365,0.00624,0.778,0.102,0.0395,109.982
Horsepower,2LZ6BnQwO8Zb98fAg02Cb4,Muzz,Horsepower,0.494,0.974,6,-1.204,1,0.185,2.89e-05,0.639,0.329,0.378,175.039
Play,3rb34lZrisPYPLPZBBxnC1,Muzz,F Minor Factory,0.409,0.995,1,-1.237,1,0.237,2.29e-05,0.0251,0.0871,0.15,175.069
Lost Forever,4Wf4BigZ1Sk7cmW3Q7OeFz,Muzz,Spectrum,0.382,0.956,7,-1.728,0,0.128,0.00013,0.0041,0.323,0.165,175.031
Children of Hell X,5T8f2DTdwCODsKP8qjCWWE,Muzz,The X Saga,0.497,0.952,5,0.271,1,0.0664,0.000176,0.827,0.311,0.0492,175.018
Spectrum,7uR1XGtSJA3CP0X3Zpjxhd,Muzz,Spectrum,0.34,0.865,0,-3.666,1,0.078,0.00121,0.42,0.137,0.0343,175.002
Break Away,5dQAOJuw12LEcMV0KTJIIR,Muzz,Spectrum,0.479,0.959,1,-2.057,1,0.0706,0.000472,0.029,0.878,0.355,174.989
Calling Out,6cgn5GW7AcYzaWIu46oSi9,Muzz,Calling Out,0.457,0.911,1,-3.315,1,0.0498,0.00339,0.592,0.0752,0.33,175.002
Bad Feeling,4z9FHZMqrK64IJLSfjNAP4,Muzz,Muzz,0.512,0.352,5,-9.093,1,0.0355,0.358,0.728,0.106,0.273,82.945
Children of Hell,2wiYtpMAAlGQOeUnR4D7y3,Muzz,F Minor Factory,0.466,0.983,1,-2.608,1,0.0601,0.000141,0.331,0.231,0.0539,174.983
Junction Seven,6vJd8ULr7og2MTTjET5NQX,Muzz,F Minor Factory,0.442,0.993,5,-1.07,0,0.157,0.000218,0.296,0.404,0.223,175.055
Pressure on the Masses,65OZE1cg3ETRiBeu3R5UbT,Muzz,Pressure on the Masses,0.422,0.99,11,-0.26,1,0.0708,0.000187,0.811,0.679,0.498,175.067
Crescendo,2ojIqYSnGPEz0BG5pLtDUa,Muzz,Crescendo,0.402,0.984,0,-1.135,1,0.138,0.000621,0.000395,0.521,0.378,174.916
Catharsis X,09yxJgFOojQHaEOACKZrPz,Muzz,The X Saga,0.471,0.964,9,0.385,0,0.0427,0.00122,7.33e-05,0.0656,0.118,175.02
Ghost Train - Muzz Remix,1qniqndmNiwkUJpffgE6PA,Muzz,Ghost Train (Muzz Remix),0.46,0.994,1,-1.289,1,0.0978,0.000796,0.589,0.355,0.335,174.923
Insignia,7x6y6kwAG1vKquOhWbzEJP,Muzz,Insignia,0.487,0.941,7,-5.141,0,0.0701,0.000224,0.24,0.35,0.0369,175.006
Higher Ground,0eLZf7bp815SzftuAYBXXe,Muzz,Higher Ground,0.481,0.96,6,-1.358,0,0.0467,0.000677,0.00235,0.141,0.348,175.078
Red Western Sky,7avEWN7rZTO36khcN8VDeq,Muzz,Muzz,0.462,0.814,5,-5.329,1,0.0523,0.0377,0.794,0.0774,0.491,122.792
New Age,3UZPq5FpcKGWpQcKL88ebf,Muzz,New Age,0.443,0.987,11,-1.307,1,0.0788,9.77e-05,0.0682,0.152,0.287,175.023
Catharsis,0B1ZPnAhuOU6xaI7F0uOSo,Muzz,The Promised Land,0.48,0.914,0,-2.151,1,0.0658,0.000788,0.0,0.0777,0.0497,87.479
Galvanize,1do4bX9hOYyP53We3hzC9g,Muzz,Galvanize,0.472,0.981,1,0.014,1,0.0655,0.000299,0.0414,0.18,0.729,175.077
The Warehouse,5p3NCS0PiNSqXapxAcuQqi,Muzz,The Warehouse,0.523,0.974,8,-0.742,0,0.0998,0.00115,0.00845,0.12,0.282,175.122
Letz Rock,1fTop27MoRvIdN1EwXCrqW,Muzz,Letz Rock,0.442,0.915,5,-3.095,0,0.0396,9.31e-06,0.417,0.747,0.398,175.003
Out There,5Kg5UL5qsNaaulK6geBSXw,Muzz,The Promised Land,0.498,0.963,5,-0.707,0,0.0659,0.000102,0.00782,0.127,0.165,175.003
Born For This - CITYWLKR Remix,0UicR4fovNzAej0LtW3xsX,Muzz,The X Saga,0.825,0.901,9,-4.127,1,0.47,0.00155,0.425,0.358,0.153,126.023
Nemesis,230SMGTzPIHm7UFBsGrC6Q,Muzz,The Promised Land,0.51,0.979,11,-0.614,0,0.0918,1.69e-05,0.506,0.803,0.217,175.044
Somewhere Else,3lpKTGwCyw7fIuQTY3nZy0,Muzz,The Promised Land,0.387,0.923,1,-2.893,1,0.13,0.000382,0.2,0.669,0.0383,175.049
Start Again,3Kl1wxncwCmaudU9QpgDIj,Muzz,The Promised Land,0.438,0.94,6,-1.418,0,0.076,0.000675,2.84e-05,0.706,0.261,160.003
Endgame,4oC3DsqZo3pn3FiZAUfFXP,Muzz,Endgame,0.231,0.908,5,-3.954,1,0.0776,0.000132,0.101,0.226,0.0335,175.078
