track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
FITNESS FIRST,64FZ6XLObgyJwDQWkVU07k,Notion,FITNESS FIRST,0.785,0.957,8,-4.647,1,0.117,0.034,0.0,0.244,0.938,145.019
The Days - NOTION Remix,2FAZskT9yRjp2Oow9szJD8,Notion,The Days (NOTION Remix),0.62,0.843,6,-5.321,0,0.0844,0.0062,4.63e-06,0.55,0.237,137.812
Hooked - Grafix Remix,3pRyzfeZ0wmgv7UcYMraAJ,Notion,Hooked (Grafix Remix),0.426,0.989,2,-3.124,1,0.0669,0.0102,0.335,0.323,0.328,174.051
FEEL LIKE ME,7fsyvxSJi1vkTzwO5eQFMo,Notion,FEEL LIKE ME,0.487,0.736,8,-4.218,1,0.107,0.00501,0.0208,0.0813,0.0616,135.736
GRAVITY,6fJjEGQx4CiMj9hL0LOM2H,Notion,FORWARDS,0.642,0.899,0,-5.19,1,0.0643,0.0777,0.697,0.131,0.0362,137.0
HOMIES (feat. April-Ess),0NsLDIkB66H08Hdl7iITTv,Notion,HOMIES (feat. April-Ess),0.776,0.666,9,-7.211,0,0.0376,0.00822,0.589,0.679,0.635,123.01
CHERRY,2Fw3qPPl0hydVhffY290sf,Notion,OUTSIDER,0.301,0.937,0,-2.344,1,0.13,0.00735,0.00495,0.084,0.491,174.904
TV DREAMS,105p1i2zBK2OKjVBqX4fWO,Notion,FORWARDS,0.931,0.818,8,-5.047,1,0.318,0.498,0.109,0.0692,0.737,134.037
Shook,3Z7SV2CmAmpTpdSQ83QUIe,Notion,Shook,0.776,0.957,0,-4.793,1,0.149,0.0107,0.0017,0.212,0.691,127.975
CIRCLES (feat. Paige Eliza),25x78KlzsKTGf2pMamaD2s,Notion,OUTSIDER,0.707,0.812,8,-3.662,1,0.132,0.0456,0.306,0.0777,0.544,116.942
TEMPORARY FRIENDS,4zWvbhGE9Kbm5y1HbX4Ev7,Notion,TEMPORARY FRIENDS,0.452,0.857,4,-5.433,0,0.0601,0.116,0.00156,0.114,0.327,140.033
UNCONDITIONAL,5Vu0SUCwoSyoINGvUUwONe,Notion,FITNESS FIRST,0.721,0.822,10,-5.661,1,0.111,0.0191,0.0628,0.17,0.173,139.009
Put It On Me (feat. Mila Falls),1VO8LC2PyM13d1LxE6KLSc,Notion,Put It On Me (feat. Mila Falls),0.748,0.583,9,-5.673,1,0.0556,0.00684,0.0,0.433,0.374,129.063
WAITING,1xztCqrg1X7wsFVhly6F1t,Notion,FITNESS FIRST,0.611,0.805,11,-5.11,0,0.191,0.0531,0.0,0.209,0.156,136.885
Hooked,4v7kKFlEDmpVToHOICsXaM,Notion,Hooked,0.783,0.789,6,-3.899,0,0.0797,0.135,0.33,0.213,0.853,128.019
THINK ABOUT U,2Pq3CoIZqQIYI73Ue0UWez,Notion,FORWARDS,0.835,0.651,6,-5.22,0,0.412,0.381,0.00176,0.531,0.596,134.997
TENTEN,6njivaRY1zUaaEZGf22unI,Notion,TENTEN,0.713,0.924,7,-5.218,1,0.276,0.0123,0.0,0.151,0.602,138.241
STYLING,0GafEkrRRmWCZaXMpXrnZe,Notion,FORWARDS,0.648,0.854,11,-4.876,0,0.036,0.00934,0.774,0.598,0.245,137.063
Burning,37mG6IjvmVd0bKf83D7ZGt,Notion,Burning,0.7,0.983,10,-2.914,0,0.0534,0.0289,0.159,0.246,0.635,127.009
Real (feat. Cecelia) - VIP Mix,3ze3ouuovH0xrJbll9DKWu,Notion,Real (feat. Cecelia) [VIP Mix],0.683,0.814,4,-3.405,0,0.0368,0.00486,0.0,0.25,0.459,128.053
SECRETS,2MHfZtevUlcxFLbyhtT4Q3,Notion,FORWARDS,0.484,0.837,1,-4.61,0,0.268,0.0419,0.000312,0.078,0.376,175.337
FOUND LOVE (feat. Carrie Baxter),5C29RTtzXBODKoZn0aB4zb,Notion,FOUND LOVE (feat. Carrie Baxter),0.754,0.795,2,-4.565,1,0.256,0.0986,0.271,0.0405,0.481,130.049
