track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
I've Arrived (with Tomike),2EPbupudXMt2oYC3iyl31o,Obskür,I've Arrived (with Tomike),0.64,0.804,7,-8.561,1,0.0328,0.0103,0.188,0.319,0.318,131.939
Bayside - Radio Edit,7hYW4hKuPkfaLbzTpg9hQB,Obskür,Bayside,0.688,0.903,1,-3.598,1,0.34,0.0281,2.12e-06,0.0855,0.711,123.292
In Da Club Quarantined X,17fd6xOo6cZYdeOMfKiFTn,Obskür,In Da Club Quarantined X,0.828,0.836,8,-4.592,1,0.0761,0.0543,0.283,0.0762,0.559,128.005
Daydreaming (feat. Baby D),2j33kcEPdSd6kygtGSXKJP,Obskür,Daydreaming,0.674,0.682,1,-9.205,0,0.0445,0.00394,0.678,0.258,0.245,129.972
Pump the Brakes - Obskür Remix,40EPAc523zWYMUZFsvE6Vr,Obskür,Pump the Brakes (Obskür Remix),0.868,0.544,6,-11.721,0,0.0772,0.00248,0.389,0.167,0.576,126.016
Another Life,1atQBPo7bjrx3JD3mrU30g,Obskür,Another Life EP,0.719,0.662,0,-10.843,1,0.0432,0.068,0.912,0.0839,0.169,133.985
Beautiful People - Obskür Remix,4xqtuTUaJMrzRv2NCJ7X72,Obskür,Beautiful People (Obskür Remix),0.832,0.677,11,-8.78,0,0.105,0.00338,0.0153,0.0494,0.384,128.017
Every Time (feat. Damon Trueitt),3gsyT1JpXx6QW1eTC4uh1l,Obskür,Every Time (feat. Damon Trueitt),0.689,0.643,0,-11.954,0,0.0385,0.0779,0.859,0.104,0.559,129.983
Check One,7JI4W4fvPwzoPGcRSKYeHw,Obskür,Falling Back,0.753,0.707,5,-11.576,1,0.0495,0.0927,0.622,0.121,0.488,134.024
The Dark (feat. Bklava),0ZGTKMUfj3pbKbTjMCCuEQ,Obskür,The Dark (feat. Bklava),0.714,0.625,10,-11.517,0,0.0458,0.227,0.743,0.131,0.294,127.977
Falling Back,6Vd1DMK1agDDFoAJyvSSaI,Obskür,Falling Back,0.699,0.798,1,-12.976,1,0.0439,0.192,0.939,0.108,0.188,133.955
Bayside,7GhnJwfACNTFXOlyByTWtK,Obskür,Bayside,0.861,0.909,1,-3.944,1,0.261,0.0121,1.42e-05,0.076,0.62,124.03
Can You Dig It,0NNhBuMpSGu6U6ARWSk9N8,Obskür,Another Life EP,0.852,0.572,10,-10.837,0,0.0775,0.236,0.56,0.121,0.604,133.018
Can’t Let Go - Obskür Remix,53sm3veyB0i1tK3HAtsw7e,Obskür,Can’t Let Go,0.667,0.817,10,-7.599,0,0.0573,0.0186,0.823,0.104,0.35,125.996
Possessions,3B7WWKratENpY54uYEacLP,Obskür,Pure Evil,0.727,0.706,9,-10.275,0,0.0733,0.0349,0.578,0.456,0.25,128.006
I've Arrived (with Tomike) (Extended),1NI6bPOvo6D7bVcYaYxvYZ,Obskür,I've Arrived (with Tomike) (Extended),0.708,0.68,7,-10.03,0,0.101,0.00651,0.258,0.0534,0.559,131.983
