track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
CLARITY,2hIr8XHBv6NG2TYKWX3Jhn,Ollie Lishman,CLARITY,0.738,0.939,2,-5.953,1,0.0619,0.0214,0.711,0.0877,0.622,146.985
GET JUMPING,08wxACq33P5I8OKzMdvlXI,Ollie Lishman,GET JUMPING,0.717,0.98,7,-6.018,1,0.138,0.000402,0.138,0.164,0.842,145.036
UNEED,20enCgiBFjbmLpvKG8gsAC,Ollie Lishman,UNEED,0.746,0.924,0,-5.091,1,0.355,0.0275,0.0557,0.209,0.18,145.016
SCARYMODE,3QpoS848aAawmCs1Q9cpgo,Ollie Lishman,SCARYMODE,0.627,0.982,1,-7.668,1,0.0585,0.0076,0.818,0.118,0.193,144.99
GO HARD,4vWpxetMxnTy0AgN1V0bgI,Ollie Lishman,GO HARD,0.758,0.969,4,-6.86,0,0.1,0.00559,0.885,0.103,0.583,144.985
It's Only True,2LBJbL1wHC4BuUiSuH9j6u,Ollie Lishman,It's Only True,0.666,0.978,6,-5.525,1,0.118,0.000252,0.448,0.157,0.801,146.957
HEAVY HITTAZ,54QdydSKXA17gfIle3BXzC,Ollie Lishman,HEAVY HITTAZ,0.738,0.898,7,-8.381,1,0.249,0.00484,0.286,0.774,0.298,144.987
2 THA 3,3lsA25LMGFSWEht6ysngKx,Ollie Lishman,POSITION CRITICAL,0.641,0.97,2,-4.781,1,0.11,5.02e-05,0.335,0.0951,0.312,143.982
MOVE OH,6D8AfPbTLjEDISmmN6Dazl,Ollie Lishman,POSITION CRITICAL,0.831,0.931,11,-8.69,0,0.295,0.023,0.85,0.106,0.364,146.996
ROCK 4 ME,1aVAg88TKuemMZhdzuDl02,Ollie Lishman,POSITION CRITICAL,0.709,0.994,10,-5.747,0,0.0705,0.000172,0.916,0.234,0.545,144.991
INFLATE,6ZBZaFH7iskj7Xp2aNQZao,Ollie Lishman,POSITION CRITICAL,0.676,0.989,11,-8.308,0,0.113,0.000934,0.836,0.189,0.248,146.986
NO OTHERS,7FDCDYaEQx6fPWJIGO1RNH,Ollie Lishman,POSITION CRITICAL,0.68,0.852,8,-11.444,0,0.0694,3.45e-05,0.914,0.376,0.484,145.022
2WIELD,3rDVoEzC8cu3CMTiPpHGV9,Ollie Lishman,2WIELD,0.742,0.956,11,-7.078,0,0.161,0.00047,0.841,0.0866,0.345,145.002
BACK WITH BASS,23HlDxKxOL6LC92epQKPCo,Ollie Lishman,BACK WITH BASS,0.785,0.79,8,-11.027,1,0.0905,0.106,0.847,0.166,0.341,144.997
DEEPER,1vOa6BRDcuFqbv7NyvMu0V,Ollie Lishman,DEEPER,0.796,0.867,9,-8.205,1,0.0639,0.000267,0.809,0.0825,0.408,144.989
RAW ENERGY,0IUZSSbb4eLLoEE5xPsGe7,Ollie Lishman,RAW ENERGY,0.727,0.941,1,-8.624,1,0.0837,0.0991,0.642,0.175,0.414,145.002
WALK ABOUT,51sh8Q7VYcknNufSo97UVF,Ollie Lishman,WALK ABOUT,0.701,0.866,7,-10.171,0,0.0405,0.000802,0.847,0.125,0.754,145.007
