track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Boundless Perception,7nKmO2dn10dxOvIvuYgkks,Player Dave,Where the Wind Blew Me,0.368,0.535,2,-10.85,0,0.0412,0.374,0.722,0.139,0.13,77.497
Narrow,54Ys41zXshiXCVlxENznb5,Player Dave,Narrow,0.463,0.484,3,-10.577,0,0.0486,0.0823,0.877,0.097,0.11,80.007
HD,62k14kzLnX7nNl5QTu9Y7v,Player Dave,Lab Group II,0.913,0.586,2,-5.236,1,0.151,0.0242,6.65e-06,0.105,0.382,135.044
Morph,7rdiGZW2jS0C04jk1lG3hV,Player Dave,Lab Group II,0.575,0.391,5,-11.53,1,0.479,0.0305,0.733,0.105,0.148,172.655
Gili Thoughts,791aCoqYHK9mva6AjdUpz1,Player Dave,Where the Wind Blew Me,0.539,0.535,0,-7.665,1,0.124,0.465,0.879,0.201,0.114,78.925
Sylvia,5XL1muzUEbM1BvRvmIdtro,Player Dave,Where the Wind Blew Me,0.795,0.372,4,-10.398,0,0.167,0.305,0.642,0.536,0.556,80.006
Yu,00EGZT3cVfYHUKEONXdk3Q,Player Dave,Yu,0.77,0.888,1,-7.625,1,0.0512,0.194,0.837,0.113,0.0447,127.002
Confetti,6BEF6HOcEtoXfDhVORyCwn,Player Dave,and then i started floating,0.756,0.362,1,-14.189,1,0.0618,0.37,0.926,0.106,0.0624,109.997
Fracture,7kalqxHYd1OHAaMjfAZAeP,Player Dave,Where the Wind Blew Me,0.784,0.654,1,-7.756,1,0.152,0.653,0.883,0.163,0.371,144.043
Not My Problems,64k0YsIsHom3BLxfd9GyAj,Player Dave,Where the Wind Blew Me,0.765,0.327,11,-8.476,0,0.0375,0.0606,0.0337,0.214,0.218,95.056
Wakanda,2K1MgcBfbQvbN5N24RvEoC,Player Dave,Wakanda,0.947,0.522,8,-5.63,0,0.133,0.034,0.0027,0.0927,0.44,133.011
Dream Logic,78Mtyh889cYAmv6B5AAHaE,Player Dave,Dream Logic,0.715,0.875,1,-7.42,0,0.0475,0.000739,0.834,0.0752,0.323,130.015
Observations,2ore1ygWFRqlmdHgehTYiM,Player Dave,Observations,0.667,0.442,10,-8.808,1,0.285,0.809,0.57,0.108,0.54,82.806
HD (feat. JAWNZA),4AELwTzxvrUtZ81UaSxJVj,Player Dave,HD (feat. JAWNZA),0.913,0.586,2,-5.236,1,0.151,0.0242,6.65e-06,0.105,0.382,135.044
Blink,1HjIbCloFTgTQ25u5GEdla,Player Dave,Blink,0.653,0.559,4,-10.65,0,0.0327,0.00798,0.956,0.104,0.0369,110.005
Indecisive,5iCFCjizEQ6cgNv0fHRA0K,Player Dave,Lab Group II,0.745,0.43,1,-7.119,0,0.0502,0.0413,0.396,0.23,0.259,129.954
Nowhere to Sleep,3XZCaW6sLSjqYlEsU5pQah,Player Dave,Nowhere to Sleep,0.658,0.58,5,-10.146,1,0.0421,0.517,0.793,0.123,0.0393,110.986
Trapped In LA,3khhcXLJKhf13TqOmQnGS3,Player Dave,Lab Group I,0.565,0.512,0,-9.115,0,0.0916,0.785,0.675,0.128,0.44,120.136
Pleasure Seeker - Player Dave Remix,7k3rBe2hWLzDtmJ2rVMfPS,Player Dave,Phantasmagorical,0.363,0.743,8,-6.141,0,0.0694,0.426,0.28,0.108,0.0659,68.781
revival,0FbwmMDRnIJCSKEHfTgJnD,Player Dave,broken up,0.743,0.408,5,-11.524,1,0.104,0.514,0.0992,0.136,0.272,114.957
Holy,7zfB67jJCsBJxPiBV2oE6b,Player Dave,Lab Group II,0.543,0.668,8,-10.296,1,0.03,0.0991,0.0457,0.234,0.153,140.024
Hush,1qebf1K8v1Y3GeoYXtLOpE,Player Dave,Hush,0.724,0.867,2,-5.688,1,0.0483,0.0542,0.902,0.0556,0.165,134.02
An Ode to March,6yxsUqa9G7WNwLRhs3XvMQ,Player Dave,Where the Wind Blew Me,0.614,0.592,5,-7.917,1,0.0695,0.454,0.821,0.323,0.306,164.818
Old News,1gPQkybPLnmkM3SEWpNDvg,Player Dave,Sundae Sauuce Presents: Morning Gelato,0.462,0.282,11,-11.244,1,0.0405,0.261,0.855,0.147,0.109,127.958
Leadership,6aRyuMo1ZOl7PHCcUMNEIE,Player Dave,Where the Wind Blew Me,0.497,0.475,4,-7.686,1,0.126,0.381,0.0177,0.17,0.236,149.95
Part of Me,0C2sXzF4Qw9BmfXXwS5ugH,Player Dave,Part of Me,0.588,0.788,7,-6.461,0,0.0486,0.00902,0.85,0.293,0.102,173.974
Missing Part,2t3tLKCRfbUQYxuvk3oBPr,Player Dave,Missing Part,0.723,0.44,8,-8.059,1,0.13,0.469,0.687,0.108,0.333,93.992
what we had,4acWKpRAAnUHa8t6Xgm9Cu,Player Dave,what we had,0.487,0.664,11,-6.108,1,0.0554,0.792,0.553,0.162,0.302,127.972
Watch Your Thoughts,1i1JxOzzx161YdzyjZjisu,Player Dave,V3.0 EBB & FLOW,0.758,0.414,9,-8.75,0,0.19,0.492,0.461,0.0841,0.36,92.961
Come Home,2M1JrzMdGlz0aAydfKYyH8,Player Dave,Come Home,0.762,0.704,6,-7.294,0,0.0444,0.0664,0.328,0.108,0.0684,129.979
Dumb,6NBiXZn8vnEAEJfJ7B6DeB,Player Dave,Where the Wind Blew Me,0.443,0.526,8,-8.211,1,0.0535,0.43,0.00268,0.0996,0.0796,114.486
Mutate,6HBzgLpCTBc8pS5HuoBeB0,Player Dave,Where the Wind Blew Me,0.294,0.258,9,-19.298,1,0.0865,0.623,0.838,0.0816,0.0364,66.504
Circling,2y9ZQZqyJQiFdJC8AEw9fg,Player Dave,Nowhere to Sleep,0.495,0.789,1,-8.823,1,0.0418,0.0023,0.782,0.199,0.0949,127.971
Handful,5LXYDKkVkb11XdUIL2WXJS,Player Dave,Handful,0.64,0.749,1,-9.25,0,0.213,0.229,0.00166,0.162,0.301,139.995
Forever,3WeekN4hLDdEYlNcwBJDPs,Player Dave,Forever,0.749,0.515,0,-6.477,1,0.397,0.755,0.215,0.193,0.133,77.888
Nasi Goreng,2C4suk34FYDiC0T7SwMLtX,Player Dave,Where the Wind Blew Me,0.628,0.508,11,-10.055,0,0.113,0.539,0.929,0.364,0.267,85.046
W.I.A. / The Break Up - Mixed,1D02XLO2NTmxKZduKGZSUz,Player Dave,"Body Language, Vol. 22 (DJ Mix)",0.76,0.77,2,-14.003,1,0.049,0.0693,0.783,0.147,0.357,120.034
Where the Wind Blew Me,6A1lUZiXScThqlMdHcA0kl,Player Dave,Where the Wind Blew Me,0.156,0.48,5,-12.917,1,0.0405,0.958,0.922,0.394,0.322,105.342
Better Days,4H8EjpKmqxtvM7IjbBckUy,Player Dave,Better Days,0.52,0.708,6,-6.38,1,0.0503,0.921,0.354,0.1,0.183,143.785
Playa,0CzzEZpcB9RaBmcN0tgOYE,Player Dave,Playa,0.834,0.583,9,-5.883,1,0.333,0.311,0.171,0.103,0.254,150.946
Daisy,0wYXRDc6vRTz7hSVugYPMZ,Player Dave,Daisy,0.765,0.794,1,-8.981,1,0.0435,0.0184,0.872,0.154,0.309,140.019
Something About Yu,1KStCdsxWrJCOJRYCRGHGv,Player Dave,Nowhere to Sleep,0.526,0.653,1,-9.304,1,0.0402,0.0164,0.247,0.105,0.0268,105.025
Hurting,1ah5XP7NLc96ibYwbXpYMB,Player Dave,Sundae Sauuce Presents: Extra Creamy,0.869,0.313,1,-16.286,1,0.103,0.711,0.871,0.342,0.291,127.005
Bellflower,44p2xxXsKD8cHmDVhfJ0ia,Player Dave,Bellflower,0.774,0.233,3,-15.874,1,0.158,0.403,0.167,0.0793,0.44,155.436
