track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Touch It (feat. Jazmine Johnson),74LWuJ28wzfUBCYxRWyd7i,plotergst,Touch It (feat. Jazmine Johnson),0.617,0.91,10,-4.847,1,0.386,0.419,0.000141,0.476,0.406,163.082
Transgender,2pgfgEF6CWsrPFF8HB6Xra,plotergst,Transgender,0.49,0.969,8,-3.863,0,0.0563,0.000801,0.323,0.129,0.0578,155.058
Teufel,0kdVqRkqbtBqhI4zVs0zdW,plotergst,Teufel,0.577,0.996,6,-5.891,1,0.173,0.00132,0.251,0.359,0.408,150.005
Open Your Eyes,3adEmuBPBZR04wFiIE9qHL,plotergst,Open Your Eyes,0.611,0.976,4,-5.016,0,0.103,0.206,0.000266,0.291,0.362,150.01
Like A G6 (with Naeleck),46Tjel8UJ2nR0uFgXkT9Y7,plotergst,Like A G6 (with Naeleck),0.54,0.965,3,-5.008,1,0.211,0.0289,0.0108,0.324,0.281,145.059
Numbin' My Feelings,3VCYw8SMFvbE644z69raqW,plotergst,Numbin' My Feelings,0.489,0.982,1,-4.811,1,0.0571,0.000921,0.295,0.0891,0.0368,141.94
Move It,2lfNpKFme8VsEUAddq1zOG,plotergst,Move It,0.712,0.852,11,-3.374,1,0.217,0.0175,0.0568,0.376,0.396,87.424
Jolene,1iUSupGwxSegT8RlPDJ3Cr,plotergst,Jolene,0.575,0.954,10,-5.494,0,0.0492,0.0137,0.881,0.148,0.248,149.996
Ecstasy,3VMsldQUJxPrpWcCy0vt7K,plotergst,Ecstasy,0.58,0.917,11,-5.677,1,0.0467,0.0195,0.686,0.346,0.128,127.993
Bad Trip (feat. NEIV) - Extended Mix,3cpo224XDoyNSqF2vVD18Y,plotergst,Bad Trip (feat. NEIV) [Extended Mix],0.602,0.927,1,-7.128,1,0.0676,0.00109,0.174,0.203,0.419,149.969
Bad Trip (feat. NEIV),6MZetERiER9W7H8Jp9C2O4,plotergst,Bad Trip (feat. NEIV),0.556,0.901,1,-7.148,1,0.0542,0.000765,0.638,0.349,0.374,150.003
Tonight - Extended Mix,5yuHxsKCEm3PPTIDS7Zbyh,plotergst,Tonight (Extended Mix),0.691,0.908,1,-5.448,1,0.054,0.00957,0.257,0.0427,0.411,126.01
Tonight,10E3RZH3FcO3bC8w7BHDwp,plotergst,Tonight,0.636,0.909,1,-5.435,0,0.041,0.0129,0.151,0.135,0.384,126.051
S*x Dr*gs and Alcohol (feat. Indox) - Extended Mix,75DqjHbvHW84m5brhyBc5p,plotergst,S*x Dr*gs and Alcohol (feat. Indox) [Extended Mix],0.799,0.924,0,-6.028,1,0.0815,0.00135,0.771,0.0584,0.647,125.996
S*x Dr*gs and Alcohol (feat. Indox),1WEFw9eoOYGRrH9T69C7dg,plotergst,S*x Dr*gs and Alcohol (feat. Indox),0.749,0.943,0,-5.945,1,0.121,0.00552,0.769,0.66,0.462,125.983
Bad Bitches,6yVnFujo7RtxAFnpksovuA,plotergst,Bad Bitches,0.691,0.906,8,-6.952,0,0.0434,0.00448,0.546,0.348,0.653,124.921
Pump That Shit,42s1OpdHOvdD4D1cF0qf66,plotergst,Pump That Shit,0.714,0.875,10,-6.427,0,0.0488,0.0311,0.153,0.242,0.523,125.065
All I Need,1VOb7XLSfW99WUQbPd4K9A,plotergst,All I Need,0.71,0.954,10,-6.201,0,0.0778,0.00791,0.824,0.393,0.458,124.999
Here For You,15TVx20Y2AfzOWdleFmhyf,plotergst,Here For You,0.634,0.89,7,-7.129,1,0.0548,0.0011,0.84,0.151,0.25,125.029
Here For You - Extended Mix,6S8FHCAUWivIEZHUPgJq8T,plotergst,Here For You,0.67,0.866,2,-7.339,1,0.0622,0.00111,0.812,0.0439,0.337,125.032
Feel Alright,12hyrFiJIUG6cEVf9JKNAd,plotergst,Feel Alright,0.664,0.758,10,-6.642,0,0.0421,0.0152,0.102,0.323,0.188,125.959
Dance,362Ny0CAGCvEUMzJwP8HFW,plotergst,Dance,0.766,0.816,4,-7.197,0,0.093,0.00523,0.09,0.271,0.15,125.981
Dance - Extended Mix,7JPbaquXcCB7JmH8GRkKdw,plotergst,Dance,0.791,0.77,11,-7.651,0,0.0845,0.00109,0.232,0.0345,0.329,125.953
80's Horror Machine,5Xr3uaHhuTf8GPtnpB5nRx,plotergst,80's Horror Machine,0.598,0.923,1,-6.34,1,0.0623,0.00121,0.404,0.0821,0.233,127.963
