track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
FLORAAA,6qI33Ts4EOQl65tMFnG0tO,pluko,BLEACH [Hi-Fi],0.52,0.806,0,-6.771,1,0.309,0.0522,0.00617,0.12,0.064,137.927
PLASTIC,6IOhmL97H7DoN493jGhQAQ,pluko,BLEACH [Hi-Fi],0.586,0.864,7,-3.833,0,0.0596,0.0343,0.0,0.0806,0.195,131.925
SWEET AT LAST,3C89n3tdOI0liCveHAIkEM,pluko,BLEACH [Hi-Fi],0.704,0.806,1,-5.265,1,0.042,0.00737,0.0933,0.131,0.351,130.983
RUN INTO MY ARMS,0RTHKL6kDu7gCQf4qnCfRV,pluko,BLEACH [Hi-Fi],0.735,0.952,11,-4.11,1,0.183,0.129,0.000893,0.398,0.359,131.981
OCEANA,5QKoa6tTNgIWvSqtJNlyf9,pluko,BLEACH [Hi-Fi],0.764,0.737,5,-4.512,0,0.0459,0.058,0.836,0.121,0.509,115.041
LOVELY2*,4Rlo7cdwguKcyxZhCkVxg1,pluko,BLEACH [Hi-Fi],0.404,0.861,9,-4.724,1,0.0384,0.00396,0.506,0.319,0.241,122.175
SAVE ME,4QCPEJed7XivGbCZbgmb2s,pluko,BLEACH [Hi-Fi],0.657,0.734,2,-6.985,1,0.0758,0.12,0.0,0.159,0.508,95.0
MGMT,1fBDSscNVokW68GQhBoiJx,pluko,BLEACH [Hi-Fi],0.212,0.486,0,-7.322,1,0.031,0.344,0.0138,0.187,0.163,113.113
THINKABME,3BX98BgjXPEYcBkdAOjjVd,pluko,BLEACH [Hi-Fi],0.463,0.668,11,-7.786,1,0.19,0.0772,0.0689,0.101,0.212,140.287
♌︎●︎♏︎♋︎♍︎♒︎♓︎⬧︎⧫︎♒︎♏︎□︎■︎●︎⍓︎⬥︎♋︎⍓︎□︎◆︎⧫︎♌︎,78RxiVnytv4qoWaF3uFpfi,pluko,BLEACH [Hi-Fi],0.307,0.796,6,-8.148,1,0.145,0.659,0.271,0.163,0.165,130.711
APRIL [eyes],5x1PMpETimgkzWQN7J2Tgs,pluko,BLEACH [Hi-Fi],0.669,0.689,10,-5.517,1,0.0758,0.0752,0.00217,0.433,0.646,140.086
XTRAAA,5HcVPAgz15hWwMREx1Eqy0,pluko,BLEACH [Hi-Fi],0.643,0.927,10,-4.616,0,0.0511,0.000514,0.851,0.31,0.28,133.985
PRETEND,0zHdogKIK8x3z24i0rhUEU,pluko,BLEACH [Hi-Fi],0.646,0.85,6,-3.678,1,0.0766,0.00817,0.0,0.0929,0.323,131.966
888 [forever],2Sj1ZwFdQ6vDQXER5ZPvNq,pluko,BLEACH [Hi-Fi],0.379,0.768,2,-6.388,1,0.0979,0.0148,0.176,0.199,0.196,145.11
