track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
leave it all behind,0fu9Vvp8bOBtB1IEv7JHsB,rad cat,all i need *,0.648,0.932,6,-3.66,0,0.114,0.000788,6.49e-05,0.107,0.333,150.037
all i need *,0kmqtv5cXAKg42HceNZfk1,rad cat,all i need *,0.788,0.884,5,-3.672,0,0.0666,0.00183,0.00245,0.603,0.425,126.012
reason,1f3DTHd6aFO1Pn6TE0wmk3,rad cat,all i need *,0.696,0.919,4,-3.82,0,0.0474,0.00271,0.18,0.0498,0.261,125.98
home,2fI5X5zU4cRhPxH8kR18DD,rad cat,all i need *,0.571,0.794,1,-5.341,1,0.093,0.0298,0.0143,0.228,0.445,124.958
Can't Sleep,2qZbQzwJClBh9rnGAlsvwY,rad cat,Can't Sleep,0.808,0.821,5,-5.28,0,0.112,0.0298,0.0,0.0829,0.535,119.987
One For Me,2u4Z5jwoAp0ckxF8t3ICuQ,rad cat,One For Me / Think About Me,0.861,0.888,9,-4.824,1,0.152,0.0078,0.0969,0.201,0.484,124.963
Think About Me,7iYbeg6YupcSQzc3wDUGIE,rad cat,One For Me / Think About Me,0.799,0.939,6,-5.098,0,0.222,0.00389,0.0483,0.0663,0.492,124.995
Meant to Last,10RVtrdS30I6joTACe10xQ,rad cat,Meant To Last,0.614,0.976,11,-4.006,1,0.0522,0.000931,0.000527,0.0972,0.299,123.013
Ain't Seen Nothing Like This (Arknights Soundtrack),6U7kWK1cfUQ2IoIaiG72Ix,rad cat,Ain't Seen Nothing Like This (Arknights Soundtrack),0.726,0.657,0,-9.306,1,0.306,0.0247,0.0,0.0773,0.766,122.137
Happy Never After,7dTXuy6Vrohr1Zkp9QgKzl,rad cat,Happy Never After,0.569,0.871,4,-4.605,0,0.125,0.00279,0.0,0.0962,0.223,129.961
"Sell Drugs, Buy Art",3mY0BQU2QENjiHrOJbDpkU,rad cat,"Sell Drugs, Buy Art",0.633,0.727,11,-7.933,1,0.0322,0.00707,2.45e-05,0.11,0.436,137.049
Diamond (with Gloria Kim),4ZGK9Za7FupKTyEfyG1FXy,rad cat,Diamond (with Gloria Kim),0.656,0.788,5,-2.971,0,0.0323,0.0004,0.0357,0.0982,0.375,99.993
How Could I,5LtGOZIxTcVtOKizpwvw1K,rad cat,Love & Illusions,0.425,0.817,1,-2.655,0,0.0809,0.00398,0.0,0.0772,0.339,99.326
Gone Hollywood,10llDn4BnPDjO5emWUzR20,rad cat,Love & Illusions,0.573,0.91,6,-3.848,0,0.344,0.0149,0.0,0.492,0.559,160.081
Promise,7EwGMtsRfPQVjaVEYDdFbV,rad cat,Love & Illusions,0.534,0.866,2,-4.286,0,0.205,0.0136,0.0,0.121,0.451,156.069
show off (with Dylan Matthew),2Lh6LwIsjgyWiZU9Il0iZs,rad cat,show off (with Dylan Matthew),0.705,0.78,4,-3.936,0,0.189,0.029,0.0,0.307,0.208,108.073
You Are Here - Rad Cat Remix,1cik9ByEtYI3RW6IhWC4yL,rad cat,You Are Here (Rad Cat Remix),0.739,0.596,0,-5.525,1,0.1,0.629,0.0,0.202,0.392,114.99
all good,60vq7UoLjeLpBm5JNLEA2Q,rad cat,all good,0.824,0.689,1,-8.015,1,0.0845,0.0617,0.0301,0.0657,0.693,109.997
All I Do,7813J5ZA6NYhqfkTOvJSLA,rad cat,All I Do,0.847,0.615,5,-6.409,0,0.132,0.0456,0.00483,0.118,0.332,106.005
