track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
SEE YOU DROP,7hBUvEg6V9TQPZgLie2krb,Ray Volpe,SEE YOU DROP,0.536,0.961,9,-2.008,1,0.0536,0.00101,0.619,0.477,0.151,150.037
SONG REQUEST,4ZlcezbAuIfO400BvhlvtD,Ray Volpe,SONG REQUEST,0.614,0.983,6,-2.133,0,0.0729,0.00235,0.327,0.69,0.266,130.018
Laserbeam - ÆON:MODE Remix,4taZ23hnXd59FeBaGhuapi,Ray Volpe,Laserbeam (ÆON:MODE Remix),0.554,0.989,1,-1.335,1,0.0829,0.000459,0.377,0.298,0.259,172.006
Battle Of The Bros,5NyWkSZGjDZhccNN7lhosH,Ray Volpe,World Domination EP,0.532,0.97,11,-2.435,1,0.057,0.000272,0.527,0.94,0.177,150.08
Laserbeam - YOOKiE Remix,0b4dnLN7y2oCaw9GkzXcKn,Ray Volpe,Laserbeam (Remixes),0.394,0.853,10,-4.69,0,0.0532,0.00258,0.787,0.0779,0.159,149.768
Oxygen - Ray Volpe Remix,5xdLM5xMEOCNXm6P2ZK48V,Ray Volpe,Evolution (The Remixes),0.543,0.785,1,-4.512,0,0.0504,0.00154,0.42,0.157,0.0383,150.007
What You Need,6HL2DDWGJIgqkNpndwyein,Ray Volpe,What You Need,0.471,0.776,5,-5.749,0,0.0387,0.00198,0.791,0.155,0.0378,140.097
Born To Survive - Wooli & Ray Volpe Remix,4gTVH3mTdA0J3BoxXthpZm,Ray Volpe,Rott N' Roll Pt. 2: Remixed,0.512,0.803,5,-5.027,0,0.0505,0.000272,0.0217,0.874,0.174,150.04
Growing Wild,4DJ2GcRrIPlRdCnefEOGVP,Ray Volpe,Growing Wild,0.286,0.868,4,-1.901,0,0.0862,0.0337,0.116,0.0988,0.0869,139.835
IT ISN'T ME,7KJ4sdjdKQdXgM47Ifd5RK,Ray Volpe,VOLPETRON ASCENDS EP,0.608,0.704,4,-4.08,1,0.0392,0.094,0.000956,0.178,0.234,145.063
ASCENSION,02GasgQz5JPjP2slW8dwrx,Ray Volpe,VOLPETRON ASCENDS EP,0.615,0.993,10,-2.451,1,0.153,0.0012,0.528,0.285,0.131,149.97
EAT SLEEP RAGE,2s7F8qjzm1XcMKG7O4GzCY,Ray Volpe,EAT SLEEP RAGE,0.524,0.933,8,-3.364,1,0.237,0.00147,0.0252,0.702,0.199,150.075
Old School,6ctmKiHf2CcHQLwT7g4jpc,Ray Volpe,Old School,0.538,0.713,1,-7.787,0,0.0433,0.000184,0.68,0.131,0.0387,144.987
Feeling This Way,7ykMS6DBrx2yVP6izrS2KR,Ray Volpe,Feeling This Way,0.52,0.958,1,-3.674,1,0.049,8.88e-05,0.561,0.135,0.167,150.031
DROP EM,6ul4s7dwLMYtGOkyIfMWEW,Ray Volpe,VOLPETRON ASCENDS EP,0.685,0.975,9,-2.838,1,0.0941,0.000942,0.834,0.11,0.171,130.023
Laserbeam - Sullivan King Remix,0VnfaVKFyKNQGm9Sk7RrOX,Ray Volpe,Laserbeam (Sullivan King Remix),0.424,0.99,3,-1.697,0,0.207,0.000203,0.213,0.295,0.0587,149.98
GAME OVER,3AcT4pRaCvKj6sDW57sgIS,Ray Volpe,GAME OVER,0.542,0.991,10,-2.286,0,0.139,5.23e-05,0.326,0.393,0.0404,150.056
