track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Tunnel Vision,2Mylb9ROYu94DkacXfc1OT,Restricted,Tunnel Vision,0.576,0.966,8,-4.179,1,0.0652,0.000275,0.503,0.0351,0.482,160.011
Insomnia,1P2X1qOXTAUk11bfMXDL7h,Restricted,Insomnia,0.625,0.996,9,-3.293,1,0.121,0.074,0.494,0.0836,0.0695,149.977
Stamp,4kiXuPhj4kh7O0l5JinFHn,Restricted,Stamp,0.781,0.568,9,-6.545,1,0.0697,0.014,0.237,0.175,0.309,128.004
The Chant (feat. Savage),1MBXjU9fWCvQJRqW99Zslc,Restricted,The Chant (feat. Savage),0.655,0.977,0,-2.738,1,0.269,0.0125,0.295,0.218,0.441,75.001
Insomnia - Extended Mix,0MKb1A7VD4EGdRjQzeSyE8,Restricted,Insomnia,0.659,0.998,11,-3.629,0,0.122,0.0295,0.644,0.057,0.108,149.957
Don't Be Scared,5Uv8aifDkSZQKOHOlr0bDI,Restricted,Don't Be Scared,0.662,0.936,11,-4.106,0,0.114,0.0283,0.316,0.343,0.562,150.043
Get Me Out,1Nk1SwXRTMNURYukaketJa,Restricted,Get Me Out,0.717,0.419,11,-10.132,1,0.0653,0.204,0.219,0.632,0.0555,127.981
Astronaut,35Aihe6HTINznnwxkzU7Ht,Restricted,Astronaut,0.67,0.745,1,-7.352,1,0.0518,0.0783,0.81,0.33,0.106,131.992
Move Your Body - Restricted Remix,2sB805guzcnXiM2iKHTmao,Restricted,Move Your Body (Restricted Remix),0.717,0.745,7,-8.49,1,0.0433,0.0251,0.0478,0.166,0.115,128.014
Miss You - Restricted Remix,5JqsDaNitcaqZLqZfSLeTJ,Restricted,Miss You (Restricted Remix),0.553,0.871,6,-7.506,0,0.418,0.0185,0.0167,0.601,0.119,141.953
The Embers,6G9RnQz0BlCfCse6LkdlgS,Restricted,The Embers,0.676,0.919,7,-5.692,1,0.0685,0.00135,0.756,0.314,0.154,128.014
REACT (feat. Ella Henderson) - Restricted Remix,3HkmfQQHWdIsueBqlGzYlS,Restricted,REACT (feat. Ella Henderson) [Restricted Remix],0.65,0.69,6,-9.659,0,0.146,0.0217,6.61e-06,0.122,0.213,140.08
With You (feat. Kelly Matejcic),0m31aM6veRDpdHXG7Cw3Wb,Restricted,With You (feat. Kelly Matejcic),0.608,0.564,0,-7.471,0,0.0348,0.263,9.48e-05,0.0789,0.367,127.981
Captain (whistle) - Restricted Remix,5uex3Mee1AWO6CFpTzRGPB,Restricted,Captain (whistle) [Restricted Remix],0.775,0.639,9,-11.127,1,0.282,0.156,0.00565,0.179,0.461,140.054
Dirty Rave,1K2hpzmr7kNnWQKOG9o1tj,Restricted,Dirty Rave,0.564,0.981,9,-4.175,1,0.128,0.000524,0.018,0.0411,0.403,150.014
Party People,2ABnWO87LfxTHsj2dewC7X,Restricted,Party People,0.623,0.961,2,-2.902,1,0.0652,0.00973,0.00162,0.418,0.141,155.005
Sensation,7bqTk1RRfajEw5fJf3CooS,Restricted,Sensation,0.602,0.677,8,-9.042,1,0.0844,0.0152,0.761,0.129,0.114,130.005
FCKN LOUD,3oyZ1lTk4FmRv6wmjkbXWs,Restricted,FCKN LOUD,0.541,0.989,2,-1.991,1,0.163,0.000284,0.178,0.368,0.214,160.086
Rapture,7CW9vZ6JMzh4UujelcbNQA,Restricted,Rapture,0.613,0.601,8,-7.975,1,0.0427,0.0409,0.00554,0.342,0.148,139.939
MBAPPÉ (Restricted & Sunset Bros Remix) [feat. JAY1 & KAHUKX],63VejDiw2j8qvNIHWcAVwN,Restricted,MBAPPÉ (Restricted & Sunset Bros Remix) [feat. JAY1 & KAHUKX],0.779,0.902,2,-5.55,1,0.103,0.182,0.0029,0.0824,0.541,140.09
Sleepless (feat. GoldFord),3NO0uDaqtPzSSU9GAj39hC,Restricted,Sleepless (feat. GoldFord),0.581,0.64,8,-8.133,1,0.0513,0.0608,3.9e-05,0.232,0.317,149.91
FACE 2 FACE,72xHjfgbAQ98I84wzTbINz,Restricted,FACE 2 FACE,0.476,0.987,11,-3.422,0,0.428,0.00189,0.02,0.419,0.202,160.055
Lover,6XQG1qMfjvf1K05XYxcx7N,Restricted,Lover,0.798,0.99,1,-4.401,0,0.0572,0.0121,0.652,0.108,0.792,141.957
Mosquito,3LrfpP5KX5Om7qF3cWxelC,Restricted,Mosquito,0.914,0.557,11,-6.126,0,0.195,0.0209,0.861,0.0845,0.179,128.019
