track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
You Don't Even Know Me,1AcoISuZA2tq5uFOwRA7yu,RIOT,You Don't Even Know Me,0.566,0.903,4,-0.484,0,0.0385,0.00243,8.31e-05,0.0996,0.0406,150.074
NMF,2tdkpdOhUP3RnVS2Snl7b4,RIOT,NMF,0.536,0.994,10,-1.409,0,0.149,0.00101,0.0478,0.106,0.198,149.732
Disorder (Rebirth),4RVDfCbycaRmyAAfxpSy9g,RIOT,Dogma Resistance,0.255,0.996,1,-0.601,1,0.35,9.19e-05,0.653,0.317,0.161,76.448
Take That (Bonus Track),5Oxx2ro8QfsTFWrKXSLbvA,RIOT,Dogma Resistance,0.622,0.878,5,-3.045,0,0.0673,0.000357,0.798,0.135,0.704,110.024
Overkill,7zKncUwLtKCMzwhEb3Jiqd,RIOT,Overkill,0.435,0.956,8,-1.369,0,0.144,0.000448,0.655,0.343,0.103,174.029
Down With Your Love,7Giip1UJawrbpp4HqzFBFY,RIOT,Down With Your Love,0.529,0.995,7,-0.503,1,0.0931,0.00428,0.179,0.41,0.268,149.987
High Voltage (with JT Foley),6b7noKS8HNmHhphZN643dD,RIOT,High Voltage (with JT Foley),0.435,0.924,1,-3.083,0,0.0624,0.00792,0.0,0.219,0.163,150.072
Fire Inside feat. RIOT - Ganja White Night Remix,0UEUDHGuZ76S9LWUPrBK8S,RIOT,Fire Inside (Ganja White Night Remix),0.749,0.775,1,-5.115,1,0.0336,0.000697,0.861,0.106,0.544,125.984
Road Racin',3SpHjSaBrC6POLzfnAnNMx,RIOT,Narita,0.251,0.924,10,-4.561,0,0.117,0.00306,0.0577,0.433,0.431,90.524
The Mob,4iikWl9Sw7B3ic1PJKFJyy,RIOT,Dogma Resistance,0.483,0.934,1,-1.715,1,0.213,0.000664,0.00374,0.129,0.128,149.539
Aiwa,28jGcr8y6DAMj9dPTC0lT1,RIOT,Dogma Resistance,0.582,0.938,7,-1.041,1,0.352,0.00247,0.233,0.767,0.369,150.115
Blackwater,4lE6N1E0L8CssgKEUCgdbA,RIOT,Dogma Resistance,0.33,0.953,2,-0.844,1,0.192,0.000167,0.884,0.377,0.182,90.017
Jungle Fury,3QIovv6ZrMWJvk6yAo71xX,RIOT,Dogma Resistance,0.5,0.968,1,-0.471,1,0.0702,0.00218,0.812,0.676,0.176,145.017
Swords and Tequila,3lJqE5AKrrFDFdhDyB0kqx,RIOT,Fire Down Under,0.347,0.939,2,-9.239,1,0.0648,8.89e-05,3.81e-05,0.232,0.356,89.401
