track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
ACID,24KFdeWtel3jLwZ399zwq2,Samplifire,ACID,0.512,0.996,11,-0.412,0,0.284,0.0117,0.873,0.427,0.0389,139.879
Toxic,7AHzzHjC26x5PL3NJU6UlU,Samplifire,Toxic,0.451,0.987,8,0.13,1,0.182,0.00433,0.0105,0.346,0.379,142.86
Power Alliance,7jbpjSAkXw829j8zGcTL2M,Samplifire,Power Alliance,0.556,0.939,2,-0.895,1,0.0437,0.0018,0.0753,0.191,0.0811,150.044
Wrong House,3Eb2qyRz5DsEJcZ0z56RBZ,Samplifire,Firestorm EP,0.764,0.984,1,-0.835,1,0.339,0.0281,0.365,0.22,0.545,139.95
Tonight - Samplifire Remix,5b9WTjW9lFPhJ8RXtvkzHP,Samplifire,Heritage (Remixes),0.761,0.986,4,-1.901,0,0.378,0.00244,0.383,0.12,0.408,140.068
MELLOFIRE,050CY7MuMkVwG6SQFGEeTQ,Samplifire,MELLOFIRE,0.455,0.996,1,-0.551,1,0.6,0.0184,0.215,0.132,0.196,139.71
Menticide,3B4wb5Tj6xXfJyzfE6CEk7,Samplifire,Menticide,0.76,0.998,11,-1.194,0,0.433,0.0272,0.463,0.736,0.278,140.169
CAVERNS,1GtzG33fc9ekheZAQrVSQi,Samplifire,CHOMP EP,0.604,0.931,1,-5.36,1,0.086,0.00581,0.632,0.363,0.0329,142.85
Creep Killa - VIP,3KD0ZLtnubvztEp9iYkRY7,Samplifire,Firestorm EP,0.671,0.971,10,-0.453,0,0.242,0.00708,5.45e-05,0.425,0.463,140.186
Berserker,196RsePgEaCLKncxvmWaHO,Samplifire,Berserker,0.406,0.962,2,-1.552,1,0.226,0.000412,0.252,0.361,0.0924,149.681
Break 'Em Down,5pjHmKKTapKSYZ2fZGiK96,Samplifire,VOYD Vol. I,0.643,0.927,1,0.229,1,0.135,0.00303,0.00375,0.0816,0.244,139.839
How We Roll,3M8gHbzXAUMlAsKGeRaeWg,Samplifire,Disciple Alliance Vol. 6,0.378,0.924,11,-2.646,0,0.275,0.0139,1.38e-05,0.233,0.158,74.561
PUNCH,2XsSNmF4uMSv7OIUjBjmV9,Samplifire,PUNCH,0.762,0.964,10,-1.126,0,0.431,0.0106,0.637,0.147,0.225,140.068
Shook,0DNSIbT3rxpx3lXnduxSu9,Samplifire,Shook,0.623,0.981,1,-1.283,1,0.44,0.295,0.942,0.345,0.171,139.751
Evolution - Samplifire Remix,51Jb0VYBhPjCK7CS3hE3iG,Samplifire,Evolution (The Remixes),0.588,0.987,4,-1.531,1,0.501,0.00308,0.0101,0.113,0.334,150.049
Rage,4efvHnBxgvaLqIUuMcnMCk,Samplifire,Rage,0.492,0.995,6,-3.098,0,0.433,0.00258,0.00402,0.665,0.148,145.024
Firestorm,6Y4a71PrnpvzXk7emURj2u,Samplifire,Firestorm EP,0.55,0.967,2,-2.026,1,0.191,0.00795,0.576,0.216,0.192,140.048
Shade of Morswood,6FexbbZDa77uPgROyHu3PP,Samplifire,The Gauntlet,0.647,0.862,2,-3.297,1,0.437,0.00846,0.00779,0.149,0.197,72.574
True Trench Times,6IkbuuGlMF3DGcsBnJIbgD,Samplifire,True Trench Times,0.683,0.98,0,-0.361,0,0.172,0.00349,0.047,0.159,0.11,72.519
GOOME,2xlkd2uQW8yfbh9r4eEhpb,Samplifire,GOOME,0.67,0.995,1,0.166,1,0.36,0.0293,0.865,0.19,0.545,72.51
Replay (SampliFire Remix),4v7NLoDKetGd6MaXcZ43oL,Samplifire,Thrive (The Remixes),0.516,0.944,6,-1.106,0,0.0561,0.0158,0.0,0.157,0.111,144.96
Let Me Go - SampliFire Remix,2m9WhFKQXt3EDc2nDxI7sc,Samplifire,Overthrown (The Thrones of Blood Remix Album),0.494,0.922,5,-1.663,0,0.128,0.0258,0.000655,0.203,0.355,144.985
Stompe,2jUgR3ZMPRixaKYbqQVnS9,Samplifire,Stompe,0.552,0.944,2,-1.281,1,0.3,0.0136,0.0204,0.299,0.17,139.664
Friction,1OJHM6F5CSiknysrxbydDi,Samplifire,Ragnarok EP,0.622,0.961,2,-1.378,1,0.231,0.00672,0.849,0.277,0.249,140.064
Ragnarok,5n5d39gcjEstUpM6kadJYF,Samplifire,Ragnarok,0.472,0.951,11,-0.941,1,0.12,0.0121,0.00714,0.237,0.218,75.119
Harald,3TDApB5wZHUithio173N3s,Samplifire,Loki EP,0.625,0.981,2,-1.585,1,0.24,0.0193,0.92,0.109,0.0977,140.036
Chef's Kiss - Samplifire Remix,32t3Ox3iewaT1he31MP89F,Samplifire,Veggie Friends (Remixes),0.652,0.999,11,-0.508,1,0.0667,0.0919,0.631,0.169,0.122,108.718
In Your Skull,48tv6gTp948dVjDnxYEPs3,Samplifire,In Your Skull,0.478,0.995,1,-1.091,1,0.268,0.0021,0.385,0.194,0.0586,110.947
Limit,01dIGwMZdUyz2EsX8KpEnY,Samplifire,Limit,0.411,0.991,2,-0.905,1,0.176,0.00587,0.792,0.437,0.353,112.239
Exposure - Samplifire Remix,2FLoMkBK4eBNsNpnnDFDRm,Samplifire,Exposure,0.483,0.979,1,-0.308,1,0.513,0.000171,0.185,0.172,0.224,149.987
Game Over,65ZGrd2jF1qIzpYyCmiyWQ,Samplifire,Termination EP,0.335,0.963,9,0.1,1,0.412,0.00973,0.0695,0.361,0.0636,150.02
Severe,314nBtJODXUuTLq5YCfyWs,Samplifire,Magnetic,0.601,0.995,10,-2.181,0,0.0732,0.000874,0.8,0.0819,0.437,150.014
Incantate,10lq0wRPNv7RVgIqDC89a9,Samplifire,Incantate,0.502,0.926,1,-1.143,1,0.0709,0.0543,0.659,0.133,0.0617,140.344
Le Club,3HKFVtqIS9Wr3iSfYCRWwK,Samplifire,Le Club,0.594,0.915,3,-2.189,0,0.104,0.000731,0.0177,0.766,0.363,130.218
Menticide - PYKE Remix,5LJ3OexUv3vPUjaL2ifF9a,Samplifire,Firestorm (Remixes),0.656,0.999,1,-0.521,1,0.322,0.0845,0.00117,0.738,0.147,140.057
Power Pack Vol. 2 [Sample Pack Demo],0qQlsmjCRnHwgEY2R7W2gf,Samplifire,Power Pack Vol. 2 [Sample Pack Demo],0.289,0.97,10,-1.696,1,0.515,0.0171,0.761,0.386,0.171,72.528
Menticide - Teddy Killerz Remix,3nqen5Wx8nMKUcYgxnlfvw,Samplifire,Firestorm (Remixes),0.513,0.984,11,-1.518,0,0.693,0.0173,0.00218,0.302,0.304,173.803
