track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Light,6jq6rcOikCZAmjliAgAmfT,San Holo,Light,0.57,0.763,1,-4.137,1,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088
BRING BACK THE COLOR (feat. AURORA),575i9kr1iypkCZyfJuoAlZ,San Holo,BRING BACK THE COLOR (feat. AURORA),0.626,0.902,7,-3.749,0,0.073,0.0058,0.0199,0.142,0.395,109.981
GLOW (feat. Au/Ra),3lqfTqap6aFMlYGEOyDZvt,San Holo,GLOW (feat. Au/Ra),0.608,0.772,9,-5.351,1,0.0488,0.0391,0.0,0.113,0.339,132.964
Can't Forget You (feat. The Nicholas),0DW3HWn2qCPc5e0Chh8cOU,San Holo,Can't Forget You (feat. The Nicholas),0.553,0.76,6,-5.288,0,0.0489,0.00282,0.00772,0.364,0.213,131.986
disappear (feat. artemis orion & dobi),5BzLCBy61N1a6la0MVtueV,San Holo,disappear,0.314,0.727,7,-6.773,1,0.0712,0.379,0.000257,0.392,0.232,134.559
Hold Fast,7Cvp538XhMepMI4Qeli9IP,San Holo,Victory,0.432,0.822,6,-6.388,0,0.102,0.0173,0.393,0.112,0.234,154.902
They Just Haven't Seen It,5RGyUMahvLvs62aheHvkNy,San Holo,New Sky,0.751,0.731,9,-4.896,0,0.0387,0.166,0.386,0.0743,0.266,136.978
TINY FLOWERS,1RTovR0Qfm4Xt7EnsdWaD7,San Holo,EXISTENTIAL DANCE MUSIC,0.573,0.749,8,-4.426,1,0.104,0.301,7.52e-06,0.394,0.48,160.054
The Future (with James Vincent McMorrow),2QFzRNykBAMmKfYzwhRgV8,San Holo,The Future (with James Vincent McMorrow),0.553,0.72,2,-5.003,0,0.053,0.172,3.15e-05,0.364,0.416,149.188
Honest - Midnight Kids Remix,442VuQw3fOKwvbxYLIDAUi,San Holo,Honest (Midnight Kids Remix),0.438,0.725,8,-5.845,0,0.0856,0.326,6.57e-06,0.142,0.342,149.934
black and white,4b7qJ5Kw2axTBKWd2hhE42,San Holo,bb u ok?,0.395,0.575,2,-5.039,1,0.0586,0.307,0.0,0.131,0.193,154.705
Hiding [Original Mix] - Hiding (feat. The Nicholas) [Original Mix],6nseSOaIbhkgr3jEZl1QYm,San Holo,Cosmos,0.71,0.771,9,-7.353,1,0.12,0.0298,0.09,0.187,0.555,156.964
Summertime,21CBWF1OV9OrAz9votwzVN,San Holo,New Blood,0.632,0.615,10,-6.582,0,0.0408,0.0243,0.000299,0.117,0.114,108.015
SILENCE IN MY MIND (feat. Sofie Winterson),6BUe2sa7moeDQnZkS94bII,San Holo,EXISTENTIAL DANCE MUSIC,0.453,0.874,3,-4.531,1,0.0383,0.0828,8.89e-05,0.268,0.209,149.885
Light - Taska Black Remix,1UaIlO5RJssqKoFIVNZ8oS,San Holo,Light (Remixes),0.353,0.659,1,-6.738,1,0.0362,0.178,0.000138,0.145,0.093,149.878
Out Of Options (feat. midwxst),4VJRH6rxf9BkGYUsadAXdN,San Holo,Out Of Options (feat. midwxst),0.382,0.79,10,-3.86,0,0.121,0.31,0.0,0.397,0.346,172.044
i feel ALIVE,4rqaLU3Lr8a1MBjD5sfi7g,San Holo,i feel ALIVE,0.461,0.858,11,-2.459,1,0.0888,0.156,6.37e-05,0.0873,0.486,150.085
find your way,2eeUCAr4iexxEXTMlCl4Mm,San Holo,bb u ok?,0.42,0.598,1,-7.962,1,0.0569,0.295,0.0,0.125,0.394,77.347
ALL THE HIGHS,3xU4XbMp9L8noYTUw7y7gv,San Holo,EXISTENTIAL DANCE MUSIC,0.559,0.733,3,-6.189,1,0.0474,0.139,0.014,0.114,0.448,144.944
IT HURTS!,3H8h60jhdQNu5s9HHTLdFr,San Holo,bb u ok?,0.483,0.632,2,-5.624,1,0.0351,0.0419,0.000622,0.422,0.363,146.936
Honest,1k3J7o5b0tDUzbllLycVUJ,San Holo,Honest,0.45,0.771,11,-4.588,1,0.106,0.433,0.0,0.204,0.41,150.024
shibuya (feat. San Holo),7BsPyswBtiM1PbPnUnuNzE,San Holo,effloresce,0.445,0.765,4,-4.186,1,0.0317,0.454,0.184,0.186,0.332,126.018
bb u ok?,1ygsq8SJabjBmtPJFIVQgF,San Holo,bb u ok?,0.422,0.747,11,-6.215,0,0.135,0.356,0.00245,0.548,0.446,155.624
