track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
C-Quence Of Calamities - Sedef Adasi Remix,7E7LJpIEOCSvdUdYgKP3Cz,Sedef Adasï,C-Quence Of Calamities (Sedef Adasi Remix),0.787,0.552,1,-13.153,1,0.114,0.000315,0.744,0.103,0.0894,136.988
C-quence Of Calamities,0GIem2o2Zz915Vn8PakwQU,Sedef Adasï,C-Quence Of Calamities (Sedef Adasi Remix),0.712,0.736,10,-8.612,0,0.0454,0.00329,0.101,0.117,0.184,137.976
Freq AM - Sedef Adasi Raw Version,0TjKAxEr0x9PNAQGfoJB3W,Sedef Adasï,Freq AM (Sedef Adasi Remixes),0.802,0.794,1,-11.078,0,0.042,0.00482,0.8,0.0973,0.923,128.026
Freq AM - Sedef Adasi Acid Version,1P0Y13tYoqlu3HG6oPTphl,Sedef Adasï,Freq AM (Sedef Adasi Remixes),0.8,0.813,4,-11.036,1,0.0424,0.00458,0.836,0.0991,0.947,128.002
Gel Gidelim,5D9d8bFORW3Dn8RJynaCbl,Sedef Adasï,Fantasy Zone,0.741,0.775,1,-8.835,1,0.0484,0.00024,0.767,0.0859,0.82,129.99
Mermaids On Acid,6FndyUUsyBIR1gCKGGHyJe,Sedef Adasï,Fantasy Zone,0.794,0.804,7,-10.72,1,0.04,0.00032,0.909,0.139,0.158,130.011
Turbo Ride,1jKLVbaoE2Rg6mq7W978Dt,Sedef Adasï,Fantasy Zone,0.797,0.942,10,-8.932,0,0.0575,9.86e-06,0.945,0.0938,0.329,131.962
Anonymous Force,7tDbGVRJIVuChmaioopYDg,Sedef Adasï,Fantasy Zone,0.756,0.697,1,-9.427,1,0.0406,0.000188,0.763,0.152,0.222,129.978
Spirit Trancemission,5yP6JV9CFInJG11x4ZQS9c,Sedef Adasï,Spirit Trancemission,0.795,0.76,8,-9.601,1,0.0625,0.00887,0.905,0.0908,0.945,129.995
Clouds,3lKWmAMpLDHNp5XWIAkDUR,Sedef Adasï,Clouds,0.814,0.772,4,-17.382,0,0.0601,0.0269,0.916,0.0851,0.269,119.998
