track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Breaking Me,7wCt4CbJlsOH2QVB9mxsZv,Seven Lions,Asleep in the Garden of Infernal Stars,0.564,0.842,11,-4.293,1,0.0483,0.143,1.03e-06,0.322,0.349,130.012
Not Even Love - MUZZ Remix,4C6BVbsJTydFx5moRR71Q3,Seven Lions,Not Even Love (MUZZ Remix),0.223,0.98,6,0.02,0,0.37,0.000416,1.44e-05,0.37,0.0787,174.932
Sunshine,1AavLJdHNs4ZduRV0YLXmu,Seven Lions,Sunshine,0.564,0.96,8,-2.25,1,0.111,0.0232,0.0,0.335,0.396,139.98
Falling Away - Festival Mix (Radio Edit),6t8d3jLQMN3C5JDkOjIhnf,Seven Lions,Creation,0.476,0.83,7,-3.918,0,0.0564,0.0022,0.0,0.807,0.211,127.997
See The End,1dDDVfAfms7M6VLLKmubaJ,Seven Lions,See The End,0.497,0.656,7,-6.716,1,0.0374,0.0141,0.0,0.0577,0.0884,127.975
Worlds Apart (feat. Kerli),57CFIKmALHxvzvMRsK8Kgp,Seven Lions,Worlds Apart (feat. Kerli),0.415,0.723,0,-8.013,0,0.043,0.0173,0.000155,0.121,0.209,139.935
Thrice Woven,5TnVZsHM8l1LkfgL7YaTyk,Seven Lions,Asleep in the Garden of Infernal Stars,0.409,0.737,9,-5.638,0,0.0554,0.0103,1.27e-05,0.0774,0.192,143.92
From Beyond,6dP5IazfBLbxDAu8fyfWBb,Seven Lions,Asleep in the Garden of Infernal Stars,0.502,0.967,1,-3.856,1,0.099,0.000119,0.887,0.308,0.131,174.039
Horizon,2oRsK0Acrh7YRIKWSW2dEa,Seven Lions,Horizon,0.384,0.755,10,-5.381,0,0.101,0.019,0.000183,0.186,0.116,169.984
Asleep in the Garden of Infernal Stars,4LZFtGK3j0IUpCshGH1yaQ,Seven Lions,Asleep in the Garden of Infernal Stars,0.637,0.946,1,-5.32,1,0.0658,0.00329,0.425,0.108,0.147,125.008
Breathe It Out Slowly,5QZCO4rt9Ddg4AbKGPeijD,Seven Lions,Asleep in the Garden of Infernal Stars,0.431,0.77,9,-6.016,1,0.0364,0.406,0.000854,0.0677,0.24,149.882
Delusional,6iICxqjSoBLXBG8fSZcso9,Seven Lions,Asleep in the Garden of Infernal Stars,0.668,0.709,7,-7.199,1,0.039,0.0151,0.00147,0.152,0.0385,127.975
Freesol,4Vxynno5qLZc1dcZCqsZyl,Seven Lions,Where I Won't Be Found,0.408,0.727,0,-5.171,0,0.104,0.0987,9.11e-06,0.118,0.424,74.827
Light In The Dark - Cyclops Remix,5Ob8kX0HhgzC0HX7I3K0Ot,Seven Lions,Find My Way (Deluxe),0.482,0.776,10,-2.449,1,0.0416,0.00263,0.000126,0.334,0.0533,145.006
Don’t Leave,3nbnyZb8F60d9vHLm8RX9N,Seven Lions,Don't Leave,0.523,0.716,11,-5.861,1,0.0355,0.0045,0.000669,0.299,0.386,131.972
Cold Skin - MitiS Remix,22szgJ9WufVHgefSgOD6Dv,Seven Lions,Cold Skin (The Remixes),0.519,0.874,10,-4.219,1,0.0389,0.144,0.0016,0.0548,0.166,145.944
Past You,5y106KK7NVdWzbNkrwwB0a,Seven Lions,Asleep in the Garden of Infernal Stars,0.441,0.828,0,-3.982,1,0.0457,0.0169,0.0,0.175,0.165,128.016
Not Even Love,65s9dLrylbHp60IYIcUZEz,Seven Lions,Not Even Love,0.472,0.841,6,-4.236,0,0.052,0.0132,0.0,0.108,0.254,129.799
Rush Over Me,3JAuRdjjPOzKMvcT24Uxiq,Seven Lions,Rush Over Me,0.441,0.753,0,-4.074,1,0.0438,0.0702,0.0,0.027,0.25,135.016
Need Your Love (with Noah Kahan),1vsQb8n0icvMsFnL9663LM,Seven Lions,Gravity,0.581,0.76,0,-3.962,1,0.0406,0.16,0.0,0.183,0.523,104.099
Need Your Love (feat. Noah Kahan) - Nurko Remix,6vbjSAAx54x9gt46Tte9No,Seven Lions,Need Your Love (feat. Noah Kahan) [Remixes],0.37,0.725,0,-5.911,1,0.079,0.214,0.0,0.176,0.193,115.27
Serpent of Old (feat. Ciscandra Nostalgia),4NQ4fDehLC8QRTts4jXaYP,Seven Lions,Serpent Of Old (feat. Ciscandra Nostalghia),0.648,0.65,8,-6.428,1,0.188,0.038,0.128,0.113,0.216,109.975
Falling Away,0Gcj2vsg4VBmkArxOEfrEs,Seven Lions,Falling Away,0.617,0.817,7,-5.156,0,0.0337,0.0257,0.000725,0.76,0.118,128.008
Easy Lover (feat. Hilda),36s5orLQjAigIsH5TrgH8x,Seven Lions,Easy Lover,0.616,0.834,5,-6.398,0,0.0341,0.00805,0.00737,0.416,0.278,136.999
Cold Skin,6o475bolVDoECc4O5rKrqE,Seven Lions,Cold Skin,0.393,0.695,7,-6.887,0,0.0444,0.00446,0.00219,0.0986,0.061,143.913
Tokyo (feat. XIRA) - Seven Lions Remix,2crv7NktXFd8iTyDPLDYwR,Seven Lions,Tokyo (feat. XIRA) [The Remixes],0.47,0.951,5,-4.429,1,0.055,0.00175,1.87e-05,0.35,0.242,146.924
Cold Hearted,1M4WM9HnZSTtjbdBMlOeJk,Seven Lions,Cold Hearted,0.436,0.938,2,-3.534,1,0.0917,0.000521,0.00907,0.344,0.131,149.993
Higher Love,4L5FRe68MeXk40tnlgFAH0,Seven Lions,Higher Love,0.508,0.762,2,-4.959,0,0.0357,0.0727,0.0,0.586,0.296,129.947
Sahara Love - Seven Lions Remix,6KjTXwntv8paBCL3El9TnV,Seven Lions,Sahara Love,0.224,0.66,6,-5.631,0,0.0397,0.0416,4.17e-05,0.079,0.149,143.016
Falling Away - MitiS Remix,5FpzRMunoTVNgIdXbMS0jE,Seven Lions,Falling Away (Remixes),0.457,0.794,10,-6.729,1,0.0345,0.0181,0.00823,0.0853,0.215,141.974
Freesol - Dabin Remix,0fqexEdY3wxIzYNNGGmZAJ,Seven Lions,Where I Won't Be Found (Remixes),0.375,0.666,0,-5.33,0,0.0593,0.0171,0.0,0.364,0.244,170.056
Creation,4vfdACbOXF6IXIPrH2u5dI,Seven Lions,Creation,0.52,0.839,9,-4.94,0,0.384,0.00254,8.8e-06,0.0861,0.365,130.009
Beautiful - Seven Lions Remix,04iHVklxJXxyVbuDsmMLwd,Seven Lions,Beautiful,0.482,0.764,10,-4.826,0,0.0656,0.00167,0.00355,0.188,0.216,142.045
Slow Dive,7b4dZRkogHXDQQgZyN6BEN,Seven Lions,Where I Won't Be Found,0.494,0.67,2,-4.705,0,0.043,0.061,0.0,0.127,0.152,149.992
Leaving Earth,5TiJIieCsjUMFbQJiYUOwH,Seven Lions,Creation,0.155,0.472,6,-9.951,0,0.0347,0.0983,0.838,0.074,0.0355,185.992
Silent Skies,5qNOv0qc1zjXRmAgGTsFXO,Seven Lions,Where I Won't Be Found,0.45,0.79,1,-5.682,0,0.0648,0.00435,0.0,0.561,0.311,140.07
Stop Thinking (Tritonia 402),0IReCCXtTolAsPMvmlOIg7,Seven Lions,Tritonia 402,0.407,0.609,9,-6.476,1,0.0382,0.353,3.85e-06,0.229,0.214,169.944
Where I Won't Be Found,5tdgjLEfQZcaByhmOqMYRe,Seven Lions,Where I Won't Be Found,0.569,0.767,0,-3.634,1,0.0461,0.0919,0.0,0.3,0.274,129.931
Not Even Love - Armin van Buuren Remix,6NhDKaW4gbPCrSUnUSw6nd,Seven Lions,Not Even Love (Armin van Buuren Remix),0.565,0.976,6,-3.781,0,0.0595,0.00138,0.0178,0.205,0.0385,141.963
Over Now,606Z051kpzw0rrcBCYCTtR,Seven Lions,Over Now,0.315,0.682,7,-6.402,0,0.0434,0.038,0.0,0.457,0.12,128.031
A Crown of Seven Suns,2PeBYUjpjNceDA76ZRvToE,Seven Lions,Asleep in the Garden of Infernal Stars,0.296,0.114,9,-21.299,0,0.0412,0.897,0.895,0.604,0.0546,71.454
The Great Divide - Seven Lions Remix,2A7Y6Q3EkKEz9Eq8ccMMPy,Seven Lions,The Great Divide (The Remixes),0.46,0.785,1,-6.361,0,0.0596,0.00134,0.000313,0.612,0.152,140.087
