track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Out Of Ten - Shingo Nakamura & before saudade Remix,6EU7osUcQJSBc5dHiNTlPj,Shingo Nakamura,Out Of Ten (Shingo Nakamura & before saudade Remix),0.686,0.672,6,-9.537,1,0.039,0.304,0.0216,0.067,0.221,120.035
Come Closer,45Vgw12kFugNF15bLJqCwm,Shingo Nakamura,Solace,0.687,0.649,10,-9.238,0,0.0341,0.0327,0.643,0.0783,0.234,121.021
Lily Garden,7wRqT3udwo3luOmcQhYpzB,Shingo Nakamura,Lily Garden,0.837,0.621,8,-11.206,1,0.0846,0.539,0.888,0.103,0.231,117.987
Phenomena,6CBnwiXpCc3RH8zQRlC6s4,Shingo Nakamura,Glow,0.595,0.902,8,-8.009,0,0.0351,0.00135,0.909,0.242,0.0812,119.999
Prism,4Mab2bqF9kXQwvKcoJRPbz,Shingo Nakamura,Prism,0.599,0.783,1,-8.976,1,0.0392,0.163,0.831,0.11,0.319,117.966
Time,0Udei2RHAC8Ocg1k0OA10L,Shingo Nakamura,Solace,0.699,0.645,3,-9.095,1,0.0362,0.0566,0.689,0.09,0.128,118.989
"Tribute, Chapter III",1RxPzrpk6MYzPZB7RijbDs,Shingo Nakamura,Glow,0.689,0.887,3,-7.17,0,0.0335,0.00294,0.897,0.452,0.198,121.992
Take Me Away,5N005JHBSGHp98gh8Hrg8A,Shingo Nakamura,Solace,0.589,0.82,9,-7.518,1,0.0312,0.00771,0.796,0.358,0.113,122.009
Worlds Apart,43clOQYz4Jhr7AuU1hOS78,Shingo Nakamura,Worlds Apart,0.626,0.687,6,-10.418,1,0.0288,0.0203,0.84,0.138,0.19,120.015
Golden Leaves,2zsqByaznN4gXEqC7y280D,Shingo Nakamura,Solace,0.63,0.635,10,-9.527,0,0.0305,0.031,0.879,0.108,0.179,118.001
Thousands Of Sounds,10SiPgVnf7U6phZcpIeOlz,Shingo Nakamura,Sapporo,0.765,0.828,8,-7.318,0,0.0643,0.00738,0.83,0.0438,0.373,126.001
Underneath,5PgEaW4FUErEGLoeElkEjY,Shingo Nakamura,Solace,0.672,0.824,11,-8.588,1,0.0411,0.00469,0.479,0.11,0.488,118.033
Lifeforce,6WZlq7JetbqyFy07NvForB,Shingo Nakamura,Lifeforce,0.478,0.917,5,-8.304,0,0.0383,0.00064,0.813,0.265,0.489,123.037
Hakodate,6967HUdKX3qhf9aeRnpwfz,Shingo Nakamura,Sapporo,0.73,0.635,0,-8.266,1,0.0444,0.00857,0.845,0.117,0.343,123.98
Move On,6CSTZXJaLBAqGDiyhMENDt,Shingo Nakamura,Sapporo,0.667,0.876,6,-9.391,1,0.0444,0.103,0.725,0.0577,0.59,126.004
Foggy Morning,2K3CQS80oYdLDLEmQnEk8B,Shingo Nakamura,Foggy Morning,0.693,0.75,2,-9.048,1,0.0334,0.0131,0.787,0.104,0.155,120.001
Falling Off - Club Mix,6o98BHCAJs67DTIfhg7ung,Shingo Nakamura,Falling Off (Club Mix),0.647,0.794,2,-6.888,0,0.0317,4.66e-05,0.842,0.104,0.197,123.025
Fauna - Original Mix,0UNc0CCy5VI9O7P9zc0xH8,Shingo Nakamura,Days,0.568,0.771,8,-8.709,0,0.0448,0.222,0.77,0.369,0.263,122.009
Heaven Knows - Shingo Nakamura Remix,3QZi6xGefltK1Rj948SoAU,Shingo Nakamura,Heaven Knows (Shingo Nakamura Remix),0.631,0.785,5,-9.009,1,0.0389,0.142,0.908,0.168,0.146,118.003
Falling Off,7GYxHLn7wr35VDBQuwY7Au,Shingo Nakamura,Falling Off,0.594,0.687,0,-11.893,1,0.0336,0.0164,0.909,0.111,0.084,119.003
Oregon - RNX Mix,2tqQahufssE3BFMNX5frgk,Shingo Nakamura,Oregon,0.832,0.569,6,-9.37,1,0.088,0.0518,0.877,0.103,0.358,119.998
Lumen - Sightlok Remix,2xDq5LHlqyrTAyo377caDv,Shingo Nakamura,Lumen (Sightlok Remix),0.637,0.747,4,-6.939,0,0.037,0.0937,0.698,0.504,0.32,120.004
Glow,1nuY233IbDmzXT8g4RR3IY,Shingo Nakamura,Glow,0.527,0.944,3,-6.4,0,0.0409,0.00651,0.809,0.0779,0.075,125.015
Solace,2a2ue6juHldn6FAgzflCYs,Shingo Nakamura,Solace,0.666,0.662,9,-9.187,1,0.0307,0.0213,0.00266,0.343,0.388,117.996
Ethereal Concepts - Shingo Nakamura Remix,1IKF4F13znwgjegbk5U7QD,Shingo Nakamura,Ethereal Concepts,0.704,0.681,7,-9.812,1,0.0423,0.0753,0.849,0.0548,0.368,122.0
The Four,15sBkkT2TACCiI5kjCp3wu,Shingo Nakamura,Silk Music Pres. Shingo Nakamura 02,0.733,0.602,9,-8.116,1,0.0477,0.00888,0.876,0.0687,0.592,127.997
