track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Rawline 98,7KQmzuHLxw8Td8qADpMaR2,Sidney Charles,Reso Riddim EP,0.631,0.956,0,-9.032,1,0.0448,5.47e-05,0.847,0.0364,0.818,132.071
"Trip Advisor (Rhythm, Snare, Bass)",5kimJnpTUUYKMs8wccI0w2,Sidney Charles,Trip Advisor EP,0.724,0.916,5,-6.791,0,0.0567,0.000497,0.72,0.0968,0.406,133.01
Charles List,6Y15zfIyNgpixjpBvbav54,Sidney Charles,Reso Riddim EP,0.762,0.885,6,-8.526,0,0.0366,0.00133,0.264,0.128,0.826,131.047
Space Bass,4FpxPGIOtnJ3JsLFagPoBH,Sidney Charles,Space Bass,0.715,0.866,1,-6.509,1,0.0505,0.0549,0.302,0.0656,0.715,131.003
Reso Riddim,3gGEy7cLjmQbJuiLP9pHz9,Sidney Charles,Reso Riddim EP,0.765,0.929,9,-8.288,1,0.0503,0.00657,0.86,0.0572,0.653,131.009
Canvas,4nIITnDcwOD5NTCBaLoU7G,Sidney Charles,Trip Advisor EP,0.789,0.958,5,-6.896,0,0.0433,0.0102,0.872,0.063,0.588,131.048
Hurricane,1pY0xt2c2NCnkEYbuWQjUG,Sidney Charles,Going Down,0.84,0.917,11,-5.37,0,0.0598,0.00458,0.667,0.386,0.523,123.995
Rave Culture,54bX2wKc8t8eRZnJbGPp0g,Sidney Charles,Rave Culture,0.813,0.905,0,-6.583,1,0.0568,7.73e-05,0.751,0.0733,0.778,131.981
House 2 Heal,4Ig3WASaviExXgFSADDRw7,Sidney Charles,House 2 Heal,0.697,0.977,6,-7.003,0,0.0818,0.000433,0.354,0.324,0.414,129.009
Turnover,5l6ipCZdNaa6hXM8HgClDn,Sidney Charles,Sonar Plexus EP,0.804,0.749,5,-8.921,0,0.0596,0.0233,0.834,0.0699,0.515,127.009
Keep Rocking,48J0TwOzrkQSx7RLfGXM8r,Sidney Charles,Groove Avenue EP,0.698,0.959,11,-8.67,0,0.0437,0.00134,0.738,0.324,0.563,128.978
Hausmeister,6xECQG3vyZxMOuJ3003cCm,Sidney Charles,Hausmeister EP,0.717,0.975,0,-7.431,0,0.0504,0.00121,0.863,0.0535,0.915,128.023
No Way Out,3RZllw04hbLIT58VLchhHG,Sidney Charles,No Way Out,0.777,0.889,11,-8.661,0,0.0467,0.00104,0.893,0.0806,0.736,132.028
Low End Theory,7Gx6AOsYlN1BgV5XpcNigL,Sidney Charles,Low End Theory EP,0.797,0.905,11,-7.53,0,0.038,0.0277,0.744,0.235,0.652,129.995
Grindin,16voGobt01ArzEksTuTpbf,Sidney Charles,ENDZ044,0.794,0.978,10,-8.424,0,0.067,0.0466,0.873,0.159,0.598,129.005
Disco Bumpin,4toFE3PDGTpwajGKEAEvA8,Sidney Charles,Low End Theory EP,0.785,0.953,7,-6.729,1,0.0553,0.00192,0.744,0.0687,0.673,130.02
Organica,42xkPayW1m1DFyKJ8JV7kM,Sidney Charles,Organica,0.797,0.919,10,-7.279,0,0.0725,0.0118,0.863,0.0707,0.562,128.994
House Lesson,42QyEJINH4Tb0MPH9XlKuZ,Sidney Charles,House Lesson,0.82,0.89,11,-6.303,0,0.0919,0.00235,0.124,0.0462,0.603,122.996
Warehouse Anthem,78qaqaqks8zqICL3cQimEK,Sidney Charles,Going Down,0.729,0.808,11,-8.184,0,0.0671,0.0472,0.807,0.18,0.083,125.011
Warehouse Romance,7G4v4mBxtyuX7p3gPmzEgc,Sidney Charles,Warehouse Romance,0.844,0.623,0,-8.646,0,0.0508,0.268,0.844,0.154,0.243,123.058
Fnk Hrd,6kwp8PRqFeXudDRGvp6Q3M,Sidney Charles,Fnk Hrd EP,0.787,0.971,0,-5.197,1,0.0649,0.00135,0.922,0.0481,0.511,126.011
Ruffline,6P71pMTN1Drk8DZi3aH743,Sidney Charles,Ruffline EP,0.827,0.869,8,-6.402,1,0.0573,0.00515,0.381,0.195,0.639,123.009
Patience - Sidney Charles Remix Edit,13kqft6uyU0kbeG869Erxt,Sidney Charles,Patience EP,0.796,0.935,11,-6.132,0,0.0661,0.0527,0.769,0.0665,0.318,127.044
Body Pump,5aON49F3NJJloefThDI2ya,Sidney Charles,Rave Culture,0.798,0.881,9,-7.667,0,0.0465,0.000383,0.878,0.111,0.855,131.001
Raw Rhythm,33sKOMH2WDo3Fc21n12jwA,Sidney Charles,Raw Rhythms EP,0.806,0.944,1,-6.972,0,0.072,0.00134,0.917,0.0678,0.632,125.016
Dancefloor Equality,62kI6Ptq0YTkpH7absRUcu,Sidney Charles,Hausmeister EP,0.806,0.925,0,-9.052,1,0.0775,0.0253,0.755,0.108,0.636,129.027
Pacific Rhythm,2PTRyKKGalMpOp4JjhR8Wq,Sidney Charles,Space Bass,0.8,0.918,10,-7.474,0,0.0484,0.000639,0.908,0.0743,0.527,129.008
Make Me Moove,21TAK4nlB1zsYbJhl0yvSr,Sidney Charles,Soultrade EP,0.805,0.729,11,-8.705,0,0.082,0.00178,0.623,0.062,0.436,122.0
Mono Pulse,4sUZgqahQlXH44OTZ5JdlT,Sidney Charles,Mono Shuffle EP,0.802,0.898,11,-7.295,0,0.0527,0.00115,0.92,0.0631,0.22,127.997
Beyond Infinity,2gfpMeB6gPJ4uRDe8pSN7d,Sidney Charles,Trip Advisor EP,0.76,0.971,10,-6.612,0,0.0453,0.00087,0.84,0.225,0.351,130.999
Swing Theory - Radio Edit,1hdg5jyymn9UVOoqi9FY9o,Sidney Charles,Swing Theory EP,0.797,0.884,6,-7.339,0,0.0558,0.0185,0.891,0.0741,0.555,128.988
Don't Go - Doctor Dru Remix,4J6iuBTX9YNvhRnhyd9Yva,Sidney Charles,Don't Go,0.862,0.573,2,-8.122,0,0.0514,0.00514,0.43,0.0443,0.552,121.0
We Keep On Groovin,0fxS5Cf1BMOxZZY6XJtDfV,Sidney Charles,Low End Theory EP,0.794,0.917,5,-6.654,0,0.0416,0.00113,0.625,0.154,0.705,131.004
Rave Fever,5x4luLTvGG0QcT6DRzA7ai,Sidney Charles,Rave Fever EP,0.784,0.971,11,-7.702,0,0.0599,0.00133,0.86,0.109,0.68,129.022
