track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Bassgod,1NmLOlgJamGPEaPmX2sjuV,Sihk,Bassgod,0.7,0.923,1,-4.455,1,0.0679,0.0017,0.625,0.0934,0.699,160.017
Head in My Hands,3TmiYH4HvDzhllkWv92Ifk,Sihk,Head in My Hands,0.708,0.73,9,-7.582,1,0.0738,0.798,6.46e-06,0.0969,0.333,110.097
The Emo Song (feat. Sihk),6EVtAgOJw0NHlLXltpn41u,Sihk,The Emo Song (feat. Sihk),0.708,0.596,7,-7.984,1,0.0268,0.0802,0.0,0.114,0.124,113.997
Drop The Bass,3vnRA6f4ptSnprGnhU5kL1,Sihk,Drop The Bass,0.659,0.999,4,0.288,0,0.3,0.0479,0.772,0.274,0.26,169.952
Power Trip,46PLpd6KLcaVyLcf7rysqe,Sihk,Power Trip EP,0.646,0.907,1,-1.744,0,0.21,0.0511,5.12e-06,0.912,0.499,150.125
Outta Here,5rNTq1vr12Iat2C34SuJ35,Sihk,Outta Here,0.525,0.968,0,-1.497,1,0.108,0.00436,0.673,0.814,0.439,169.978
Next Level,3r6f3nfgN2UPmhcE25P2tr,Sihk,Send Nudes,0.683,0.94,11,-3.902,1,0.221,0.0767,0.293,0.0725,0.295,74.981
Get Down,4RLjDNYo3wcJaU9Uv4kSnb,Sihk,BARONG FAMILY: Best of 2024,0.623,0.996,7,-2.436,1,0.181,0.0013,0.593,0.311,0.523,169.967
Rendang,1TVQ0Lh04bXVXmZWmuWwoJ,Sihk,Rendang,0.572,0.869,5,-6.899,1,0.0572,0.000139,0.739,0.253,0.342,155.039
Where Are My Friends,0F1C1Qwkzku4EQvA4yeK27,Sihk,Where Are My Friends,0.622,0.819,1,-2.368,1,0.0537,0.000333,0.274,0.103,0.528,160.051
Hardcore Drip,5AKNPzHMM6bKbBRTPcJkAP,Sihk,Final Destination,0.674,0.963,1,-2.361,1,0.276,0.114,0.000982,0.0965,0.331,175.071
Fever Dream,6HMUOvnq6qlJQZ1gXgORqm,Sihk,"Barong Family: Shanghai Nights, Pt. 2",0.583,0.99,8,-2.285,1,0.0702,0.00638,0.000136,0.953,0.246,150.046
Do You Remember,2tK4RXCGwnRMy3L0M2ztlC,Sihk,Do You Remember,0.184,0.788,5,-4.958,0,0.0862,0.0133,8.97e-05,0.236,0.0403,174.877
LATHI (with Sara Fajira) [Sihk Remix],5LidKtruIt7lqbXBaa0YTi,Sihk,LATHI (Remixes),0.483,0.975,10,-1.82,0,0.333,0.000517,0.0106,0.133,0.17,175.033
pixie dust - Sihk Jawbreaker Remix,2BipYiVwCeeZw3Zb9B32dO,Sihk,pixie dust (Sihk Jawbreaker Remix),0.475,0.972,2,-4.474,1,0.0396,0.000588,0.825,0.407,0.342,170.081
Destroy Everything,4UEFs3cWB3F71Men8iRrml,Sihk,Destroy Everything,0.421,0.998,6,-1.811,0,0.101,0.00039,0.759,0.261,0.139,169.968
Let Me Go,7MDSVjtofluacrZryO9YJL,Sihk,"Barong Family: Shanghai Nights, Pt. 1",0.571,0.994,6,-2.461,0,0.0706,0.000335,0.64,0.0704,0.714,159.992
Tom Yam Disco,0aNdkMHwwl9Di9oJUAZ5Uf,Sihk,Barong Family: Hard in Bangkok,0.585,0.999,1,-1.859,0,0.111,0.000486,0.794,0.0343,0.232,150.05
Immortal Peach Garden (Gianni Marino & Sihk Remix),30NSjpF9VSnQgicCzLA1pi,Sihk,Immortal Peach Garden (Remixes),0.645,0.672,10,-6.468,0,0.0397,0.0782,0.893,0.27,0.314,95.043
Get Up,2mCLs77s6BmP7DUMUaHxsp,Sihk,Get Up,0.442,0.979,10,-3.428,0,0.0749,0.000813,0.894,0.0966,0.172,169.925
"DO YOU LIKE BASS? - KMKZ, Bleu Clair, Sihk Remix",1UxEOGl2tkn0aHJn9AAOvD,Sihk,DO YOU LIKE BASS? (Remixes),0.648,0.966,1,-4.143,1,0.341,0.0192,0.000724,0.0805,0.416,149.982
Spicy Curry,1p11nojW2cJQM9C0gAk5Tn,Sihk,Barong Family: Hard in Bangkok,0.622,0.957,0,-3.204,1,0.143,0.00188,0.848,0.666,0.554,150.012
WTF,2O3fMpoRrpFL1ZP5mJvv5a,Sihk,bb3000,0.492,0.993,1,-2.599,0,0.0529,0.000828,0.895,0.128,0.176,175.037
