track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Doin' it featuring MC DT,4bdbgZDx6LkHTNyy5PZW9h,Silva Bumpa,Doin' It feat. MC DT,0.752,0.992,1,-5.005,1,0.0593,0.105,0.745,0.122,0.762,138.011
Feel This Way,2libVw5xnVwelZ69K47bDz,Silva Bumpa,Feel This Way,0.678,0.902,9,-5.155,1,0.041,0.0138,0.134,0.0645,0.744,132.98
House Nation,5JYz04bGm0WH4EKBvVlbWT,Silva Bumpa,Check Dis Out,0.734,0.941,1,-3.898,1,0.0523,0.0284,0.0504,0.0398,0.486,140.008
Wrap It Up,3aekCCcYbuxo93ZYBBjT6s,Silva Bumpa,Check Dis Out,0.845,0.936,7,-4.215,1,0.0616,0.0122,0.0194,0.685,0.922,136.951
Body On Me,1KRBlaECw1dey77CtcfUXn,Silva Bumpa,Body On Me,0.758,0.923,11,-4.241,0,0.0421,0.0206,0.259,0.182,0.736,136.02
Without U - Radio Edit,0IEXxwsZk1qf39V1xR4bWE,Silva Bumpa,Without U,0.747,0.951,6,-2.978,1,0.0594,0.065,0.00025,0.087,0.805,139.003
Runnin',1PcJZFKTbgVjIozoJufyJy,Silva Bumpa,Runnin',0.727,0.93,0,-6.369,1,0.0456,0.0366,0.649,0.0597,0.854,136.978
Passion,18AyZRURPxEXMSqBAV3G1n,Silva Bumpa,What About The DJ?,0.826,0.915,1,-2.912,1,0.151,0.262,0.438,0.132,0.741,134.985
Check Dis Out,6gZ7DAxV3Y3e41rk5GBMzN,Silva Bumpa,Check Dis Out,0.781,0.967,1,-3.555,1,0.0528,0.00446,0.815,0.337,0.884,136.998
Body Right,4QVqUeY0ajljhw0U525HQg,Silva Bumpa,Body Right,0.858,0.539,11,-7.622,0,0.221,0.0913,0.612,0.0558,0.708,134.039
All My People - Silva Bumpa Remix,3JNs8UEqHhv0TA0FBggRig,Silva Bumpa,All My People (Silva Bumpa Remix),0.766,0.951,8,-2.969,0,0.0909,0.0646,0.00578,0.0705,0.832,137.015
BWU,606wX4SIVeYvA8t28gytnt,Silva Bumpa,HARD13,0.839,0.793,11,-7.506,0,0.294,0.00348,0.912,0.368,0.506,142.027
Rush On Me,5RQN70auwABiJpNtsaV7IJ,Silva Bumpa,Check Dis Out,0.697,0.983,11,-2.317,0,0.0484,0.0563,0.925,0.0477,0.617,139.989
Next 2 Me,3esNLJoUlJFYDJz0hBNx3Y,Silva Bumpa,HARD13,0.822,0.803,11,-5.516,0,0.145,0.00501,0.819,0.137,0.726,132.991
Get 2 Know - Organ Mix,2EspU2hBhIIiWODhnqr4eE,Silva Bumpa,HARD13,0.793,0.774,0,-6.669,1,0.101,0.03,0.0335,0.652,0.462,136.0
Songs Of Praise - Radio Edit,5yScrYiU6UpA2UgeS8PFCP,Silva Bumpa,Songs Of Praise,0.829,0.874,11,-3.736,0,0.26,0.122,4.93e-06,0.0714,0.413,137.944
Dreaming,4iPWpUyBTrQ4zhMYF2nRQM,Silva Bumpa,Dreaming,0.645,0.785,11,-6.821,0,0.054,3.58e-05,0.905,0.484,0.809,135.907
What About The DJ?,1qv0AJdAPccmzNXXGekffR,Silva Bumpa,What About The DJ?,0.835,0.974,11,-4.28,0,0.131,0.000457,0.878,0.0808,0.868,138.011
Test,5RR7GRfkG47TMQshEiKKX5,Silva Bumpa,HARD13,0.785,0.92,2,-6.619,1,0.107,0.00793,0.389,0.736,0.798,137.012
Rock 2 Da Beat,46Bx0bLmenXOfQDWCIXJuP,Silva Bumpa,What About The DJ?,0.722,0.939,9,-3.166,1,0.0979,0.0159,0.853,0.0708,0.365,137.922
